rebalance_date,regime_state,active,gross_return,cost,turnover,net_return,n_positions,selected_tickers
2019-05-31,bear,False,0.0,0.0,0.0,0.0,0,
2019-06-28,neutral,False,0.0,0.0,0.0,0.0,0,
2019-07-31,neutral,False,0.0,0.0,0.0,0.0,0,
2019-08-30,neutral,False,0.0,0.0,0.0,0.0,0,
2019-09-30,neutral,False,0.0,0.0,0.0,0.0,0,
2019-10-31,neutral,False,0.0,0.0,0.0,0.0,0,
2019-11-29,bull,True,0.008163843250142981,0.000125,0.025,0.008038843250142981,3,"TSLA,DPZ,CROX"
2019-12-31,neutral,False,0.0,0.000125,0.025,-0.000125,0,
2020-01-31,neutral,False,0.0,0.0,0.0,0.0,0,
2020-02-28,bear,False,0.0,0.0,0.0,0.0,0,
2020-03-31,deep_bear,False,0.0,0.0,0.0,0.0,0,
2020-04-30,bear,False,0.0,0.0,0.0,0.0,0,
2020-05-29,neutral,False,0.0,0.0,0.0,0.0,0,
2020-06-30,bull,True,0.004063557204161097,0.000125,0.025,0.0039385572041610965,3,"MELI,MANH,EBAY"
2020-07-31,bull,True,0.0004385207833830331,0.00016666666666666666,0.03333333333333333,0.0002718541167163665,3,"MELI,LPX,CACC"
2020-08-31,neutral,False,0.0,0.000125,0.025,-0.000125,0,
2020-09-30,neutral,False,0.0,0.0,0.0,0.0,0,
2020-10-30,neutral,False,0.0,0.0,0.0,0.0,0,
2020-11-30,neutral,False,0.0,0.0,0.0,0.0,0,
2020-12-31,bull,True,-0.0021375434498291886,0.000125,0.025,-0.0022625434498291888,3,"MAR,JLL,EEFT"
2021-01-29,neutral,False,0.0,0.000125,0.025,-0.000125,0,
2021-02-26,neutral,False,0.0,0.0,0.0,0.0,0,
2021-03-31,bull,True,0.0019671679879257084,0.000125,0.025,0.0018421679879257083,3,"AWI,FCN,SFM"
2021-04-30,bull,True,0.0008153157773575301,0.00016666666666666666,0.03333333333333333,0.0006486491106908634,3,"AWI,AGO,CBOE"
2021-05-28,bull,True,0.0004729139525150633,0.00025,0.05,0.00022291395251506328,3,"SBAC,TRU,RGLD"
2021-06-30,bull,True,0.004614334442206604,0.00016666666666666666,0.03333333333333333,0.004447667775539938,3,"RMD,TRU,EFX"
2021-07-30,neutral,False,0.0,0.000125,0.025,-0.000125,0,
2021-08-31,bull,True,-1.4855408033393273e-05,0.000125,0.025,-0.00013985540803339327,3,"RGEN,NOW,MASI"
2021-09-30,neutral,False,0.0,0.000125,0.025,-0.000125,0,
2021-10-29,bull,True,2.0572781333206853e-05,0.000125,0.025,-0.00010442721866679315,3,"U,FSLR,OPEN"
2021-11-30,neutral,False,0.0,0.000125,0.025,-0.000125,0,
2021-12-31,bull,True,-0.0026895048485123018,0.000125,0.025,-0.002814504848512302,3,"KNSL,VST,DLTR"
2022-01-31,neutral,False,0.0,0.000125,0.025,-0.000125,0,
2022-02-28,bear,False,0.0,0.0,0.0,0.0,0,
2022-03-31,neutral,False,0.0,0.0,0.0,0.0,0,
2022-04-29,bear,False,0.0,0.0,0.0,0.0,0,
2022-05-31,bear,False,0.0,0.0,0.0,0.0,0,
2022-06-30,bear,False,0.0,0.0,0.0,0.0,0,
2022-07-29,bear,False,0.0,0.0,0.0,0.0,0,
2022-08-31,bear,False,0.0,0.0,0.0,0.0,0,
2022-09-30,bear,False,0.0,0.0,0.0,0.0,0,
2022-10-31,bear,False,0.0,0.0,0.0,0.0,0,
2022-11-30,neutral,False,0.0,0.0,0.0,0.0,0,
2022-12-30,bear,False,0.0,0.0,0.0,0.0,0,
2023-01-31,neutral,False,0.0,0.0,0.0,0.0,0,
2023-02-28,neutral,False,0.0,0.0,0.0,0.0,0,
2023-03-31,bull,True,-0.0006431176381387434,0.000125,0.025,-0.0007681176381387434,3,"MPWR,WST,STM"
2023-04-28,neutral,False,0.0,0.000125,0.025,-0.000125,0,
2023-05-31,bull,True,7.680383823435168e-05,0.000125,0.025,-4.819616176564832e-05,3,"GOOG,GOOGL,ENTG"
2023-06-30,bull,True,0.0004677819813677217,0.00016666666666666666,0.03333333333333333,0.00030111531470105506,3,"ENTG,LAD,GTLS"
2023-07-31,bull,True,-0.0004373222883670502,8.333333333333333e-05,0.016666666666666666,-0.0005206556217003835,3,"ENTG,WMS,GTLS"
2023-08-31,bull,True,-0.0035000000000000005,8.333333333333333e-05,0.016666666666666666,-0.0035833333333333338,3,"MTDR,GTLS,WMS"
2023-09-29,bear,False,0.0,0.000125,0.025,-0.000125,0,
2023-10-31,bear,False,0.0,0.0,0.0,0.0,0,
2023-11-30,neutral,False,0.0,0.0,0.0,0.0,0,
2023-12-29,bull,True,0.0012949325090969583,0.000125,0.025,0.0011699325090969584,3,"FHN,GEN,EWBC"
2024-01-31,neutral,False,0.0,0.000125,0.025,-0.000125,0,
2024-02-29,neutral,False,0.0,0.0,0.0,0.0,0,
2024-03-28,strong_bull,True,-0.00630877407440354,0.00025,0.05,-0.0065587740744035405,3,"CROX,MTZ,DIS"
2024-04-30,neutral,False,0.0,0.00025,0.05,-0.00025,0,
2024-05-31,neutral,False,0.0,0.0,0.0,0.0,0,
2024-06-28,neutral,False,0.0,0.0,0.0,0.0,0,
2024-07-31,neutral,False,0.0,0.0,0.0,0.0,0,
2024-08-30,neutral,False,0.0,0.0,0.0,0.0,0,
2024-09-30,neutral,False,0.0,0.0,0.0,0.0,0,
2024-10-31,neutral,False,0.0,0.0,0.0,0.0,0,
2024-11-29,bull,True,-0.0022462904620604235,0.000125,0.025,-0.0023712904620604236,3,"GTLS,SAIA,PCOR"
2024-12-31,neutral,False,0.0,0.000125,0.025,-0.000125,0,
2025-01-31,neutral,False,0.0,0.0,0.0,0.0,0,
2025-02-28,neutral,False,0.0,0.0,0.0,0.0,0,
2025-03-31,bear,False,0.0,0.0,0.0,0.0,0,
2025-04-30,bear,False,0.0,0.0,0.0,0.0,0,
2025-05-30,neutral,False,0.0,0.0,0.0,0.0,0,
2025-06-30,bull,True,0.003809956218637222,0.000125,0.025,0.0036849562186372217,3,"CEG,DLTR,ATI"
2025-07-31,bull,True,-0.0006515017998086316,0.00016666666666666666,0.03333333333333333,-0.0008181684664752983,3,"FSLR,RRX,DLTR"
2025-08-29,bull,True,0.0044792363688290855,0.00025,0.05,0.004229236368829085,3,"MEDP,TER,DHI"
2025-09-30,neutral,False,0.0,0.000125,0.025,-0.000125,0,
2025-10-31,neutral,False,0.0,0.0,0.0,0.0,0,
2025-11-28,bull,True,-0.0007303504390640234,0.000125,0.025,-0.0008553504390640234,3,"UTHR,WAT,FICO"
2025-12-31,neutral,False,0.0,0.000125,0.025,-0.000125,0,
2026-01-30,neutral,False,0.0,0.0,0.0,0.0,0,
2026-02-27,neutral,False,0.0,0.0,0.0,0.0,0,
2026-03-31,bear,False,0.0,0.0,0.0,0.0,0,
