rebalance_date,ticker,action,reason,stage,score,bad_months,distribution_risk,theme_event_risk,theme_structural_growth,period_forward_return,risk_adjusted_forward_return
2019-04-30,ALGN,enter,monster_scout,scout,1.3775872145854384,0,0.5299106625000946,0.35,0.35,,
2019-04-30,CDNS,enter,monster_scout,scout,1.3547328844484254,0,0.4061809542536485,0.35,0.35,,
2019-04-30,ADBE,enter,monster_scout,scout,1.2993290022231656,0,0.151809073128744,0.15,1.0,,
2019-04-30,ALGN,exit,monthly_hard_stop_proxy,scout,1.3775872145854384,,,,,-0.1456680915583611,-0.08
2019-04-30,CDNS,exit,monthly_hard_stop_proxy,scout,1.3547328844484254,,,,,-0.0883620380174052,-0.08
2019-05-31,ADBE,hold,hold,scout,0.5750902202568717,0,0.5259785323702689,0.15,1.0,,
2019-05-31,SBAC,enter,monster_scout,scout,0.9861917010639445,0,0.5259785323702689,0.35,0.35,,
2019-05-31,BR,enter,monster_scout,scout,0.9642403917692768,0,0.5259785323702689,0.35,0.35,,
2019-05-31,MKTX,enter,monster_scout,scout,0.8982975126275825,0,0.5259785323702689,0.35,0.35,,
2019-06-28,ADBE,hold,hold,confirm,1.1444497001523362,0,0.0516149525445256,0.15,1.0,,
2019-06-28,SBAC,hold,hold,scout,0.6833288502478492,0,0.0516149525445256,0.35,0.35,,
2019-06-28,BR,hold,hold,confirm,0.8654600079295678,0,0.1619163951527758,0.35,0.35,,
2019-06-28,MKTX,hold,hold,confirm,0.9050235955640668,0,0.2870084068096478,0.35,0.35,,
2019-06-28,HEI,enter,monster_scout,scout,1.0813938806878687,0,0.509923840889344,0.35,0.35,,
2019-06-28,NOC,enter,monster_scout,scout,1.0089842095035368,0,0.0516149525445256,0.78,0.1,,
2019-06-28,MSCI,enter,monster_scout,scout,1.007269447856424,0,0.1446531874058526,0.35,0.35,,
2019-07-31,ADBE,hold,hold,winner,0.9000736051562384,0,0.2846848712565041,0.15,1.0,,
2019-07-31,SBAC,hold,hold,confirm,0.8064242226562063,0,0.2846848712565041,0.35,0.35,,
2019-07-31,BR,hold,watch_stale,confirm,0.12729556782955936,1,0.2846848712565041,0.35,0.35,,
2019-07-31,MKTX,hold,hold,confirm,0.5454576725701669,0,0.2846848712565041,0.35,0.35,,
2019-07-31,HEI,hold,hold,confirm,0.9873560139243899,0,0.3528985079091854,0.35,0.35,,
2019-07-31,NOC,hold,hold,confirm,0.898383136870752,0,0.2846848712565041,0.78,0.1,,
2019-07-31,MSCI,hold,watch_stale,scout,0.07634541921221105,1,0.2846848712565041,0.35,0.35,,
2019-08-30,ADBE,hold,hold,winner,0.44946978305194135,0,0.2296455592676155,0.15,1.0,,
2019-08-30,SBAC,hold,hold,confirm,0.6561647783140563,0,0.2296455592676155,0.35,0.35,,
2019-08-30,BR,exit,stale_leader_review_exit,confirm,,,,,,,
2019-08-30,MKTX,hold,hold,confirm,0.6575018003062207,0,0.4491751848605779,0.35,0.35,,
2019-08-30,HEI,hold,hold,winner,0.9315032213228541,0,0.2296455592676155,0.35,0.35,,
2019-08-30,NOC,hold,hold,confirm,0.7750406398391521,0,0.2296455592676155,0.78,0.1,,
2019-08-30,MSCI,hold,hold,scout,0.6144306772998426,0,0.2296455592676155,0.35,0.35,,
2019-08-30,MU,enter,monster_scout,scout,1.308898663684038,0,0.2296455592676155,0.15,1.0,,
2019-08-30,SBAC,exit,monthly_hard_stop_proxy,confirm,0.6561647783140563,,,,,-0.1018370684711296,-0.08
2019-08-30,MKTX,exit,monthly_hard_stop_proxy,confirm,0.6575018003062207,,,,,-0.1984509094726095,-0.08
2019-08-30,HEI,exit,monthly_hard_stop_proxy,winner,0.9315032213228541,,,,,-0.1647471630378197,-0.08
2019-08-30,MSCI,exit,monthly_hard_stop_proxy,scout,0.6144306772998426,,,,,-0.0801288523102209,-0.08
2019-09-30,ADBE,hold,watch_stale,winner,-0.16770684947426495,1,0.1942480183164893,0.15,1.0,,
2019-09-30,NOC,hold,hold,winner,0.8885237609375461,0,0.1942480183164893,0.78,0.1,,
2019-09-30,MU,hold,watch_stale,scout,0.3310860187952605,1,0.1942480183164893,0.15,1.0,,
2019-09-30,SYY,enter,monster_scout,scout,1.1351268395253278,0,0.1942480183164893,0.35,0.35,,
2019-09-30,EW,enter,monster_scout,scout,1.1162324925537332,0,0.1942480183164893,0.35,0.35,,
