rebalance_date,ticker,Name,sector,weight,target_weight,leader_selection_score,leader_tier,leader_state,warning_streak,exit_streak,market_leader_tape_score,sector_leadership_score,future_winner_confirmation_score,smart_money_confirmation_score,smart_money_confirmation_boost,smart_money_evidence_confidence,leader_chase_risk_score,chase_risk_weight_scale,effective_single_weight_cap,liquidity_capacity_score,liquidity_capacity_weight_cap,risk_mode,market_regime,gross_exposure_cap,risk_overlay_reason,benchmark_risk_score,selection_reason,residual_cash_reason,was_prev_holding,holding_months,portfolio_kind,variant_id,target_n,target_stock_names,weighting_mode,active_rebalance_interval_months,single_cap,subindustry_cap,theme_cap,rs_spy_1w,rs_qqq_1w,rs_smh_1w,rs_soxx_1w,rs_spy_1m,rs_spy_3m,rs_spy_6m,rs_qqq_1m,rs_qqq_3m,rs_qqq_6m,rs_smh_1m,rs_smh_3m,rs_smh_6m,rs_soxx_1m,rs_soxx_3m,rs_soxx_6m,rs_benchmark_1w,rs_benchmark_1m,rs_benchmark_3m,rs_benchmark_6m,rs_semis_1w,rs_semis_1m,rs_semis_3m,rs_semis_6m,rs_price_coverage_flag,crisis_governed_target_book,research_only,governor_mode,crisis_score,raw_crisis_score,crisis_zone,target_cash_floor,event_reason,cash_hard_gate_enabled,cash_hard_gate_allowed,cash_hard_gate_reason,liquidity_confirmation_score,market_trend_damage_score,credit_stress_score,shakeout_guard_score
2019-06-28,CASH,Cash,Cash,0.09999999999999992,0.0999999999999999,0.0,CASH,CASH,,,,,,,,,,,,,,benchmark_guard,cash,0.0,risk_on,0.0,residual_cash_from_caps,position_caps_or_liquidity_caps_left_cash,,,concentrated,concentrated_N5_cap30_sub70_risk,5,5,market_leader_score_power,1,0.3,0.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,conservative,0.021225719021975644,0.021225719021975644,normal,0.0,base_rebalance,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-06-28,CHDN,CHURCHILL DOWNS INC,Consumer Discretionary,0.10000000000000003,0.1,1.2951609344876691,DUAL_LEADER,HOLD,0.0,0.0,2.174744065471333,0.1780995156169636,0.5155839183514317,0.1392465545961678,1.7283277891935485,1.0,0.1193231681436479,1.0,0.1,-0.9847732467362786,0.1,benchmark_guard,risk_on,1.0,risk_on,0.0,"DUAL_LEADER,confirmed_by_evidence,strict_dual_benchmark",position_caps_or_liquidity_caps_left_cash,0.0,1.0,concentrated,concentrated_N5_cap30_sub70_risk,5,5,market_leader_score_power,1,0.3,0.7,1.0,0.0285237337698981,0.0326374580523667,-0.0031555811842221,0.0251223626676186,0.1470669561445425,0.2529857383813081,0.2620304261181105,0.1435801198929858,0.2522513947096918,0.2299732163500505,0.0800107740847066,0.248800132383067,0.1870370544439539,0.1980218987268729,0.3018440770580448,0.4556609148201875,0.0305805959111324,0.1453235380187642,0.2526185665454999,0.2460018212340805,0.0109833907416982,0.1390163364057898,0.2753221047205559,0.3213489846320707,True,True,True,conservative,0.021225719021975644,0.021225719021975644,normal,0.0,base_rebalance,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-06-28,HEI,HEICO CORP,Industrials,0.30000000000000004,0.3,1.900733576451804,DUAL_LEADER,HOLD,0.0,0.0,3.3725274770870657,1.4201940805151865,0.6642503676656079,0.0223196259096383,0.0,1.0,0.178852659238765,1.0,0.3,-0.0280407337766759,1.0,benchmark_guard,risk_on,1.0,risk_on,0.0,"DUAL_LEADER,confirmed_by_evidence,strict_dual_benchmark",position_caps_or_liquidity_caps_left_cash,0.0,1.0,concentrated,concentrated_N5_cap30_sub70_risk,5,5,market_leader_score_power,1,0.3,0.7,1.0,0.0471469289800664,0.051260653262535,0.0154676140259462,0.043745557877787,0.2258068015226972,0.370427635575236,0.5527831099626717,0.2223199652711405,0.3696932919036197,0.5207259001946116,0.1587506194628614,0.366242029576995,0.477789738288515,0.2767617441050276,0.4192859742519728,0.7464135986647487,0.0492037911213007,0.2240633833969189,0.3700604637394279,0.5367545050786416,0.0296065859518666,0.2177561817839445,0.3927640019144839,0.6121016684766318,True,True,True,conservative,0.021225719021975644,0.021225719021975644,normal,0.0,base_rebalance,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-06-28,KBR,KBR INC,Industrials,0.10000000000000003,0.1,1.3620053802800125,DUAL_LEADER,HOLD,0.0,0.0,1.8661624820482896,2.1258891585640147,0.629810690523784,0.0433304838951418,0.0,1.0,0.1025457516071195,1.0,0.1,-1.0345561154823115,0.1,benchmark_guard,risk_on,1.0,risk_on,0.0,"DUAL_LEADER,confirmed_by_evidence,strict_dual_benchmark",position_caps_or_liquidity_caps_left_cash,0.0,1.0,concentrated,concentrated_N5_cap30_sub70_risk,5,5,market_leader_score_power,1,0.3,0.7,1.0,0.0197009631763879,0.0238146874588565,-0.0119783517777323,0.0162995920741084,0.0932369241520738,0.2772399694800025,0.4871806148015116,0.089750087900517,0.2765056258083862,0.4551234050334516,0.0261807420922379,0.2730543634817615,0.412187243127355,0.1441918667344042,0.3260983081567392,0.6808111035035886,0.0217578253176222,0.0914935060262954,0.2768727976441943,0.4711520099174816,0.002160620148188,0.085186304413321,0.2995763358192503,0.5464991733154718,True,True,True,conservative,0.021225719021975644,0.021225719021975644,normal,0.0,base_rebalance,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-06-28,RGEN,REPLIGEN CORP,Health Care,0.10000000000000003,0.1,1.555043027395685,DUAL_LEADER,HOLD,0.0,0.0,3.1627899807744835,1.161768739552547,0.6305845021572445,0.029825489744117,0.0,1.0,0.2054021965303273,1.0,0.1,-0.6400902170060923,0.1,benchmark_guard,risk_on,1.0,risk_on,0.0,"DUAL_LEADER,confirmed_by_evidence,strict_dual_benchmark",position_caps_or_liquidity_caps_left_cash,0.0,1.0,concentrated,concentrated_N5_cap30_sub70_risk,5,5,market_leader_score_power,1,0.3,0.7,1.0,0.0384446755414863,0.0425583998239549,0.006765360587366,0.0350433044392068,0.1723583841322011,0.4153664625349722,0.4808287725918194,0.1688715478806444,0.4146321188633559,0.4487715628237594,0.1053022020723652,0.4111808565367312,0.4058354009176628,0.2233133267145315,0.4642248012117089,0.6744592612938964,0.0405015376827206,0.1706149660064227,0.4149992906991641,0.4648001677077894,0.0209043325132864,0.1643077643934484,0.4377028288742201,0.5401473311057796,True,True,True,conservative,0.021225719021975644,0.021225719021975644,normal,0.0,base_rebalance,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-06-28,SHOP,Shopify,Software,0.30000000000000004,0.3,1.4533960365082534,DUAL_LEADER,HOLD,0.0,0.0,1.3151497302267223,2.041337033407521,0.6642503676656079,0.1400084550546261,1.7426660838586323,1.0,0.1263545006840287,1.0,0.3,0.8582212995702472,1.0,benchmark_guard,risk_on,1.0,risk_on,0.0,"DUAL_LEADER,confirmed_by_evidence,strict_dual_benchmark",position_caps_or_liquidity_caps_left_cash,0.0,1.0,concentrated,concentrated_N5_cap30_sub70_risk,5,5,market_leader_score_power,1,0.3,0.7,1.0,-0.0782875342506328,-0.0741738099681642,-0.109966849204753,-0.0816889053529122,0.0117862448699994,0.4264427378854305,1.055357974096513,0.0082994086184426,0.4257083942138142,1.0233007643284533,-0.0552699371898364,0.4222571318871895,0.9803646024223568,0.0627411874523298,0.4753010765621672,1.2489884627985903,-0.0762306721093985,0.010042826744221,0.4260755660496224,1.0393293692124832,-0.0958278772788326,0.0037356251312467,0.4487791042246783,1.1146765326104735,True,True,True,conservative,0.021225719021975644,0.021225719021975644,normal,0.0,base_rebalance,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-07-31,CASH,Cash,Cash,0.09999999999999992,0.0999999999999999,0.0,CASH,CASH,,,,,,,,,,,,,,benchmark_guard,cash,0.0,risk_on,0.0,residual_cash_from_caps,position_caps_or_liquidity_caps_left_cash,,,concentrated,concentrated_N5_cap30_sub70_risk,5,5,market_leader_score_power,1,0.3,0.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,conservative,0.0449568852560331,0.0449568852560331,normal,0.0,base_rebalance,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-07-31,CHDN,CHURCHILL DOWNS INC,Consumer Discretionary,0.10000000000000003,0.1,0.4487432392040024,DUAL_LEADER,WARNING,1.0,0.0,0.9249318854682071,-0.3562332094662953,0.116353412784332,0.1392465545961678,1.7737267463718664,1.0,0.0183102848371419,1.0,0.1,-1.1259601275751154,0.1,benchmark_guard,risk_on,1.0,risk_on,0.0,"DUAL_LEADER,previous_holding_priority,warning_hold_no_add,confirmed_by_evidence,strict_dual_benchmark",position_caps_or_liquidity_caps_left_cash,1.0,2.0,concentrated,concentrated_N5_cap30_sub70_risk,5,5,market_leader_score_power,1,0.3,0.7,1.0,0.0119988480425874,0.0182893884492737,0.0277866598688534,-0.0031659359850622,0.0246819970147207,0.1698966963818726,0.1887110746020339,0.0164540030527993,0.1759559279133107,0.1598230650879479,-0.0229137261959253,0.1791895805750918,0.0885887508746268,0.0398018464126272,0.186415382049067,0.3008261379315913,0.0151441182459305,0.02056800003376,0.1729263121475917,0.1742670698449909,0.0123103619418956,0.0084440601083509,0.1828024813120794,0.194707444403109,True,True,True,conservative,0.0449568852560331,0.0449568852560331,normal,0.0,base_rebalance,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-07-31,HEI,HEICO CORP,Industrials,0.30000000000000004,0.3,1.1458779173310487,DUAL_LEADER,SHAKEOUT_GUARD,0.0,0.0,1.2308499763048322,0.9050471432734912,0.6580599218169673,0.0223196259096383,0.0,1.0,0.0867102455429861,1.0,0.3,-0.204428409831206,1.0,benchmark_guard,risk_on,1.0,risk_on,0.0,"DUAL_LEADER,previous_holding_priority,confirmed_by_evidence,strict_dual_benchmark",position_caps_or_liquidity_caps_left_cash,1.0,2.0,concentrated,concentrated_N5_cap30_sub70_risk,5,5,market_leader_score_power,1,0.3,0.7,1.0,0.0012480320117769,0.0075385724184632,0.0170358438380429,-0.0139167520158727,0.0068515329681861,0.2800112565786752,0.5070896913048233,-0.0013764609937352,0.2860704881101132,0.4782016817907373,-0.0407441902424599,0.2893041407718943,0.4069673675774161,0.0219713823660927,0.2965299422458696,0.6192047546343806,0.00439330221512,0.0027375359872254,0.2830408723443942,0.4926456865477803,0.001559545911085,-0.0093864039381835,0.292917041508882,0.5130860611058984,True,True,True,conservative,0.0449568852560331,0.0449568852560331,normal,0.0,base_rebalance,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-07-31,KBR,KBR INC,Industrials,0.10000000000000003,0.1,0.7102464260956628,DUAL_LEADER,HOLD,0.0,0.0,1.1213803655865833,1.57580427764433,0.1852187756787693,0.0433304838951418,0.0,1.0,0.0648870052950258,1.0,0.1,-0.9879238139856608,0.1,benchmark_guard,risk_on,1.0,risk_on,0.0,"DUAL_LEADER,previous_holding_priority,confirmed_by_evidence,strict_dual_benchmark",position_caps_or_liquidity_caps_left_cash,1.0,2.0,concentrated,concentrated_N5_cap30_sub70_risk,5,5,market_leader_score_power,1,0.3,0.7,1.0,0.0178255736682539,0.0241161140749402,0.0336133854945199,0.0026607896406043,0.042618918546204,0.1746743269336796,0.4331751704784958,0.0343909245842826,0.1807335584651177,0.4042871609644098,-0.004976804664442,0.1839672111268988,0.3330528467510887,0.0577387679441105,0.191193012600874,0.5452902338080532,0.0209708438715971,0.0385049215652433,0.1777039426993987,0.4187311657214528,0.0181370875675621,0.0263809816398342,0.1875801118638864,0.4391715402795709,True,True,True,conservative,0.0449568852560331,0.0449568852560331,normal,0.0,base_rebalance,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
