months,cagr,sharpe,max_dd,terminal_multiple,avg_monthly_return,vol_ann,model,cash_cap,single_name_cap,avg_cash_weight,avg_turnover_monthly,delta_cagr_vs_base,delta_max_dd_vs_base,production_activation_allowed
83,0.34801686242607976,1.8225053431308806,-0.1408128731564312,7.889678934159919,0.026411809695808496,0.17390440996196366,cash0.00_cap0.33,0.0,0.33,3.717637810715356e-18,0.496125236847269,0.005493681114874249,-0.08043956965339416,False
83,0.3478702620842289,1.8216203257754369,-0.1409377710238412,7.883746183270405,0.026402734244701374,0.1739291148947547,cash0.00_cap0.25,0.0,0.25,-5.123181831913432e-18,0.49537860199185696,0.005347080773023372,-0.08056446752080415,False
83,0.3477796577121688,1.8210616177211487,-0.14101377191804898,7.880081434732599,0.0263971432728815,0.1739456348934388,cash0.00_cap0.22,0.0,0.22,3.427646386267426e-18,0.4949452013630733,0.0052564764009632725,-0.08064046841501193,False
83,0.34759055946168416,1.8198876871303993,-0.14116700146822692,7.872437518671946,0.026385490479450435,0.17398100332920063,cash0.00_cap0.18,0.0,0.18,-5.643076367635397e-18,0.49413429724822033,0.005067378150478641,-0.08079369796518987,False
83,0.3407733704872551,1.834030525664598,-0.13527997470735242,7.601069124250931,0.025890625877658273,0.16940149369613974,cash0.03_cap0.33,0.03,0.33,0.025116249656433047,0.48910405901734477,-0.0017498108239504262,-0.07490667120431538,False
83,0.3406812643965633,1.8333461616390023,-0.13538258222198862,7.5974582177495185,0.02588500969607801,0.1694279688431798,cash0.03_cap0.25,0.03,0.25,0.025116249656433047,0.4885227905879163,-0.0018419169146421943,-0.07500927871895158,False
83,0.3406223040816554,1.8329055134831462,-0.1354450965969557,7.595147521183242,0.025881421728414337,0.1694452105994103,cash0.03_cap0.22,0.03,0.22,0.025116249656433047,0.48818990800303586,-0.0019008772295501242,-0.07507179309391865,False
83,0.34049600033023464,1.8319667648079723,-0.13557126970101485,7.590199610768974,0.025873737041448276,0.16948170155801082,cash0.03_cap0.18,0.03,0.18,0.02511624965643304,0.4875395467071506,-0.0020271809809708774,-0.0751979661979778,False
83,0.33659205810391124,1.8430947621401237,-0.1315256421936003,7.43861749964175,0.02558659073593383,0.16658887819456725,cash0.05_cap0.33,0.05,0.33,0.040726358765524204,0.4856045955071903,-0.0059311232072942754,-0.07115233869056325,False
83,0.3365386663111334,1.8425617184759633,-0.13161380998810068,7.436562492293279,0.02558345374192543,0.16661664129060222,cash0.05_cap0.25,0.05,0.25,0.040726358765524204,0.48512755063736007,-0.0059845150000721326,-0.07124050648506364,False
83,0.3365024766663405,1.8422113540156666,-0.13166759024832453,7.4351698580079075,0.02558132036751496,0.1666344329824215,cash0.05_cap0.22,0.05,0.22,0.04072635876552422,0.4848614060922687,-0.006020704644865038,-0.07129428674528748,False
83,0.3364220065853021,1.8414551487348898,-0.1317762458384174,7.432074042609788,0.025576559737842407,0.1666718394227343,cash0.05_cap0.18,0.05,0.18,0.0407263587655242,0.4843371522004726,-0.0061011747259034355,-0.07140294233538036,False
83,0.331786300931076,1.8596446559224216,-0.1258578860179287,7.255582054729299,0.025229689101093553,0.1628032905366802,cash0.08_cap0.33,0.08,0.33,0.06178221962945616,0.48198351499467634,-0.010736880380129543,-0.06548458251489164,False
83,0.33177990243657574,1.85931098126793,-0.125914459858819,7.255340949744576,0.025229568154597495,0.16283172686298594,cash0.08_cap0.25,0.08,0.25,0.06178221962945616,0.48165124057293296,-0.01074327887462978,-0.06554115635578195,False
83,0.3317720846134127,1.8590818325992287,-0.12594905564838765,7.255046371604205,0.02522925261880945,0.1628497606274973,cash0.08_cap0.22,0.08,0.22,0.06178221962945616,0.4814582990478009,-0.010751096697792839,-0.06557575214535061,False
83,0.3317491036690112,1.8585714396323223,-0.12601907987661587,7.254180501323669,0.025228171824215058,0.16288750350670989,cash0.08_cap0.18,0.08,0.18,0.06178221962945616,0.48108892281822924,-0.01077407764219429,-0.06564577637357882,False
