rebalance_date,theme_rank,leadership_theme,member_count,top3_mean_member_score,median_mom_1m,breadth_mom_1m_positive,total_dollar_vol_20d,top_tickers,theme_attention_score
2019-05-31,1,real_estate,25,1.2377002892246016,0.0062922533954092,0.6,2062978322.7083888,"SBAC,AMT,EQIX,SUI,CCI,INVH,GLPI,WPC",1.0329943172508504
2019-05-31,2,information_technology,34,1.089496811700933,-0.06616917440522585,0.17647058823529413,15889378415.091133,"FICO,NOW,MSFT,WDAY,SNPS,ROP,CDNS,INTU",0.8171968752413601
2019-05-31,3,software_ai_platforms,3,0.9745767928013241,0.0918727732836712,0.6666666666666666,779359802.2060204,"SHOP,TTWO,GWRE",0.8144463259909588
2019-05-31,4,industrials,45,1.0694157942413787,-0.0323874552821701,0.3111111111111111,6139648035.428808,"HEI,BR,PAYX,VRSK,LHX,NOC,JCI,LDOS",0.7736412957444283
2019-05-31,5,consumer_discretionary,33,0.8535196525338211,-0.0450203557329894,0.24242424242424243,15014794891.947325,"ARMK,DPZ,HD,AMZN,SBUX,PHM,YUM,HLT",0.544560557630156
2019-05-31,6,financials,54,0.8934313347701311,-0.0377028235301754,0.3333333333333333,7193226457.036875,"FDS,MSCI,CPAY,RNR,CBOE,EG,CB,TRV",0.5175638907456372
2019-05-31,7,health_care,37,0.742239354150294,-0.014237645404258,0.43243243243243246,7168394589.125006,"PODD,DGX,IDXX,STE,RMD,DHR,UNH,LH",0.3968105557151228
2019-05-31,8,consumer_staples,16,0.7380220971865167,-0.01586706629429,0.25,3344761224.9001694,"KO,TGT,MDLZ,COST,DLTR,SJM,PPC,PG",0.22166144396616194
2019-05-31,9,utilities,18,0.659889117035086,0.01350016725408635,0.6111111111111112,1930200777.7473803,"SO,AWK,XEL,ED,SRE,ES,WEC,ATO",0.1776160940463864
2019-05-31,10,communication,8,0.648546236113697,-0.0261050700085054,0.0,6066921103.788527,"DIS,GOOG,GOOGL,T,TMUS,EA,OMC,LYV",0.11330359814440627
2019-05-31,11,financial,2,0.45924068333387597,0.1507318918277542,1.0,145884019.41231728,"HDB,PAGS",0.02340183490040948
2019-05-31,12,memory_semiconductors,3,0.4687482636490503,0.0110384978885711,0.6666666666666666,1144486265.8820248,"PSA,EXR,MU",-0.20551337584290802
2019-05-31,13,materials,13,0.4765942154323059,-0.0373407518265702,0.38461538461538464,1298442479.6786127,"MLM,VMC,NEM,ECL,RGLD,IFF,AEM,SHW",-0.4068072346358819
2019-05-31,14,internet,5,0.4730698342655799,-0.1263889987005101,0.4,5108084912.164068,"MELI,NTES,SE,JD,BABA",-0.5230389755705269
