portfolio_kind,variant_id,window,start,end,window_return,window_mdd,avg_cash_weight,position_count_avg
main,main_N12_cap15_sub50_theme60,inflation_2022,2021-11-01,2022-12-31,-0.18772624262426651,-0.355786728025139,0.011922070088015537,12.0
main,main_N12_cap15_sub50_theme60,ai_semis_2024,2024-01-01,2024-12-31,0.4452441446953268,-0.14602530077530562,0.0971579015722313,12.0
main,main_N12_cap15_sub50_theme60,latest_12m,2025-06-18,2026-06-18,2.0390607394409166,-0.15486931842403773,0.02601473753772492,12.0
main,main_N12_cap15_sub50_theme70,covid_2020,2020-02-01,2020-05-31,0.2052483746939644,-0.38588353979990786,0.09659326107438243,12.0
main,main_N12_cap15_sub50_theme70,inflation_2022,2021-11-01,2022-12-31,-0.1926714892878486,-0.35594180319561186,0.007922591429169491,12.0
main,main_N12_cap15_sub50_theme70,ai_semis_2024,2024-01-01,2024-12-31,0.4658245535016101,-0.14594149452570293,0.06000294886593606,12.0
main,main_N12_cap15_sub50_theme70,latest_12m,2025-06-18,2026-06-18,2.1409746737547177,-0.15993187717667146,0.008088682013531941,12.0
main,main_N15_cap12_sub40_theme60,covid_2020,2020-02-01,2020-05-31,0.15912530556009163,-0.42123644751222244,0.06015891788570094,15.0
main,main_N15_cap12_sub40_theme60,inflation_2022,2021-11-01,2022-12-31,-0.14730737966486385,-0.32122396589235547,0.019015285915816374,15.0
main,main_N15_cap12_sub40_theme60,ai_semis_2024,2024-01-01,2024-12-31,0.4417059614110397,-0.14440770833118466,0.07789193844183748,15.0
main,main_N15_cap12_sub40_theme60,latest_12m,2025-06-18,2026-06-18,2.1755038489036664,-0.14639860675072414,0.021102141736457605,15.0
main,main_N15_cap12_sub40_theme60_risk,covid_2020,2020-02-01,2020-05-31,0.06561756613208525,-0.3293828787861236,0.3314013858391875,15.0
main,main_N15_cap12_sub40_theme60_risk,inflation_2022,2021-11-01,2022-12-31,-0.20891101795818412,-0.2938438311216637,0.33541301561113945,15.0
main,main_N15_cap12_sub40_theme60_risk,ai_semis_2024,2024-01-01,2024-12-31,0.4419820655053399,-0.1443290811012864,0.07759720508011815,15.0
main,main_N15_cap12_sub40_theme60_risk,latest_12m,2025-06-18,2026-06-18,1.8584113042468267,-0.14628842224811822,0.06140222322820667,15.0
main,main_N15_cap12_sub40_theme70,covid_2020,2020-02-01,2020-05-31,0.1276659919150116,-0.44523384053693926,0.022968464882719555,15.0
main,main_N15_cap12_sub40_theme70,inflation_2022,2021-11-01,2022-12-31,-0.1577121996549078,-0.32762615194310396,0.010499245684269016,15.0
main,main_N15_cap12_sub40_theme70,ai_semis_2024,2024-01-01,2024-12-31,0.45954981755177227,-0.14427051761405274,0.04261102585316808,15.0
main,main_N15_cap12_sub40_theme70,latest_12m,2025-06-18,2026-06-18,2.2729923243295587,-0.14693880864818043,0.010564743570024624,15.0
main,main_N15_cap12_sub40_theme70_risk,covid_2020,2020-02-01,2020-05-31,0.045423472389036545,-0.34746546773975817,0.30345392198531024,15.0
main,main_N15_cap12_sub40_theme70_risk,inflation_2022,2021-11-01,2022-12-31,-0.21568145061567023,-0.29907651911698463,0.32988642658075124,15.0
main,main_N15_cap12_sub40_theme70_risk,ai_semis_2024,2024-01-01,2024-12-31,0.4577714723794717,-0.1444802824971646,0.042730809079463264,15.0
main,main_N15_cap12_sub40_theme70_risk,latest_12m,2025-06-18,2026-06-18,1.9506863243260413,-0.14642238152667186,0.05030253674643013,15.0
main,main_N15_cap12_sub50_theme60,covid_2020,2020-02-01,2020-05-31,0.16156508702492678,-0.42365196316697296,0.05462451721094947,15.0
main,main_N15_cap12_sub50_theme60,inflation_2022,2021-11-01,2022-12-31,-0.16154282478745396,-0.3356156066528627,0.012289643603114849,15.0
main,main_N15_cap12_sub50_theme60,ai_semis_2024,2024-01-01,2024-12-31,0.4418278903346349,-0.1443141082246424,0.07740249316213911,15.0
main,main_N15_cap12_sub50_theme60,latest_12m,2025-06-18,2026-06-18,2.175968877208991,-0.14627017656107444,0.021476617135799625,15.0
main,main_N15_cap12_sub50_theme60_risk,covid_2020,2020-02-01,2020-05-31,0.0683434110527461,-0.3319918472095953,0.325111955578446,15.0
main,main_N15_cap12_sub50_theme60_risk,inflation_2022,2021-11-01,2022-12-31,-0.21716057778293696,-0.3024965238543176,0.3314788178283252,15.0
main,main_N15_cap12_sub50_theme60_risk,ai_semis_2024,2024-01-01,2024-12-31,0.4420101342755205,-0.14450880756416284,0.07716841682995582,15.0
main,main_N15_cap12_sub50_theme60_risk,latest_12m,2025-06-18,2026-06-18,1.8621102470924877,-0.14624204185076395,0.06092060206480056,15.0
main,main_N15_cap12_sub50_theme70,covid_2020,2020-02-01,2020-05-31,0.1293974675689351,-0.4472046707325851,0.01728175342416355,15.0
main,main_N15_cap12_sub50_theme70,inflation_2022,2021-11-01,2022-12-31,-0.17243729106117534,-0.3402454801212661,0.0056472603532946464,15.0
main,main_N15_cap12_sub50_theme70,ai_semis_2024,2024-01-01,2024-12-31,0.45895873472330573,-0.1443281335221327,0.04220801964736927,15.0
main,main_N15_cap12_sub50_theme70,latest_12m,2025-06-18,2026-06-18,2.2441636264154186,-0.14726229036690364,0.009782954481425486,15.0
main,main_N15_cap12_sub50_theme70_risk,covid_2020,2020-02-01,2020-05-31,0.045957981286261385,-0.35051856153555594,0.29729009705307047,15.0
main,main_N15_cap12_sub50_theme70_risk,inflation_2022,2021-11-01,2022-12-31,-0.22471677957497627,-0.3075492054773008,0.32712003856950794,15.0
main,main_N15_cap12_sub50_theme70_risk,ai_semis_2024,2024-01-01,2024-12-31,0.4591296405648444,-0.14416890883859246,0.04237399922352834,15.0
main,main_N15_cap12_sub50_theme70_risk,latest_12m,2025-06-18,2026-06-18,1.9205606928357875,-0.1471393751570299,0.049373070455689005,15.0
main,main_N15_cap15_sub40_theme60,covid_2020,2020-02-01,2020-05-31,0.15540059812053975,-0.42320607269100585,0.05947313984635298,15.0
main,main_N15_cap15_sub40_theme60,inflation_2022,2021-11-01,2022-12-31,-0.15129071900614355,-0.3254287786517205,0.014947435965267321,15.0
main,main_N15_cap15_sub40_theme60,ai_semis_2024,2024-01-01,2024-12-31,0.44210700606769104,-0.14547822684601153,0.07306162505291948,15.0
main,main_N15_cap15_sub40_theme60,latest_12m,2025-06-18,2026-06-18,2.193676293632806,-0.14769084901292273,0.021004976713820244,15.0
main,main_N15_cap15_sub40_theme60_risk,covid_2020,2020-02-01,2020-05-31,0.06208372903809023,-0.33137650255232154,0.33115286540134825,15.0
main,main_N15_cap15_sub40_theme60_risk,inflation_2022,2021-11-01,2022-12-31,-0.21067729981527394,-0.2965469010076701,0.33150544994580333,15.0
main,main_N15_cap15_sub40_theme60_risk,ai_semis_2024,2024-01-01,2024-12-31,0.44251947740791664,-0.14561375148947886,0.07360700131907975,15.0
main,main_N15_cap15_sub40_theme60_risk,latest_12m,2025-06-18,2026-06-18,1.8671144893023848,-0.14822877610414897,0.06095886418130609,15.0
main,main_N15_cap15_sub40_theme70,covid_2020,2020-02-01,2020-05-31,0.12653410327569192,-0.44671741917290364,0.022454597166426594,15.0
main,main_N15_cap15_sub40_theme70,inflation_2022,2021-11-01,2022-12-31,-0.15723733022274233,-0.32907290751236284,0.007944226569122794,15.0
main,main_N15_cap15_sub40_theme70,ai_semis_2024,2024-01-01,2024-12-31,0.45628435462940997,-0.14546287806082114,0.0397664258280808,15.0
main,main_N15_cap15_sub40_theme70,latest_12m,2025-06-18,2026-06-18,2.294558580925533,-0.14911269266207583,0.011172283556694215,15.0
main,main_N15_cap15_sub40_theme70_risk,covid_2020,2020-02-01,2020-05-31,0.04345049051608019,-0.34935236213154996,0.3029714549977974,15.0
main,main_N15_cap15_sub40_theme70_risk,inflation_2022,2021-11-01,2022-12-31,-0.21351564839912818,-0.29905915391245297,0.32836260419107544,15.0
main,main_N15_cap15_sub40_theme70_risk,ai_semis_2024,2024-01-01,2024-12-31,0.45596697065634206,-0.14540858091512432,0.04000217418638395,15.0
main,main_N15_cap15_sub40_theme70_risk,latest_12m,2025-06-18,2026-06-18,1.962523003834634,-0.14899088432619845,0.04982022442623128,15.0
main,main_N15_cap15_sub50_theme60,covid_2020,2020-02-01,2020-05-31,0.15833788948020389,-0.42501629215231995,0.05449266763857378,15.0
main,main_N15_cap15_sub50_theme60,inflation_2022,2021-11-01,2022-12-31,-0.16130729213827133,-0.33735576426341274,0.008947288797308984,15.0
main,main_N15_cap15_sub50_theme60,ai_semis_2024,2024-01-01,2024-12-31,0.44217049634771355,-0.14557151238952137,0.07306268042671372,15.0
main,main_N15_cap15_sub50_theme60,latest_12m,2025-06-18,2026-06-18,2.1893541871800877,-0.1481806473795001,0.02122556882971291,15.0
main,main_N15_cap15_sub50_theme60_risk,covid_2020,2020-02-01,2020-05-31,0.06429177119988205,-0.33412391834447186,0.32561786005478094,15.0
main,main_N15_cap15_sub50_theme60_risk,inflation_2022,2021-11-01,2022-12-31,-0.21691031655412552,-0.30369109199966615,0.3290140735978328,15.0
main,main_N15_cap15_sub50_theme60_risk,ai_semis_2024,2024-01-01,2024-12-31,0.44253898424382365,-0.14530966807671064,0.07329804388203796,15.0
main,main_N15_cap15_sub50_theme60_risk,latest_12m,2025-06-18,2026-06-18,1.869793001633791,-0.14818183713432875,0.060330958475620707,15.0
main,main_N15_cap15_sub50_theme70,covid_2020,2020-02-01,2020-05-31,0.12792795519113942,-0.44849323091791937,0.017664326908935327,15.0
main,main_N15_cap15_sub50_theme70,inflation_2022,2021-11-01,2022-12-31,-0.16831186322575697,-0.3394811860980623,0.004370375482246051,15.0
main,main_N15_cap15_sub50_theme70,ai_semis_2024,2024-01-01,2024-12-31,0.45638490187828995,-0.14527468611761873,0.03978099159154623,15.0
main,main_N15_cap15_sub50_theme70,latest_12m,2025-06-18,2026-06-18,2.2885371502686214,-0.14905874719199008,0.009797836470663669,15.0
main,main_N15_cap15_sub50_theme70_risk,covid_2020,2020-02-01,2020-05-31,0.0449143434969026,-0.35171601035136835,0.2982292358303492,15.0
main,main_N15_cap15_sub50_theme70_risk,inflation_2022,2021-11-01,2022-12-31,-0.2206077111153849,-0.30563969805206115,0.3263764353521585,15.0
main,main_N15_cap15_sub50_theme70_risk,ai_semis_2024,2024-01-01,2024-12-31,0.45550111974234286,-0.14541128826919514,0.03982954985262928,15.0
main,main_N15_cap15_sub50_theme70_risk,latest_12m,2025-06-18,2026-06-18,1.9605318376761,-0.14907541100504673,0.04888060829526099,15.0
main,main_N18_cap12_sub40_theme60,covid_2020,2020-02-01,2020-05-31,0.11335208586689904,-0.41357573930749203,0.013135533032077592,18.0
main,main_N18_cap12_sub40_theme60,inflation_2022,2021-11-01,2022-12-31,-0.14764265880325356,-0.31737863970249014,0.016300266212439414,18.0
main,main_N18_cap12_sub40_theme60,ai_semis_2024,2024-01-01,2024-12-31,0.4369652323331561,-0.13114753439159643,0.06330789767133467,18.0
main,main_N18_cap12_sub40_theme60,latest_12m,2025-06-18,2026-06-18,1.9284418818210165,-0.13970410789325405,0.01815309414262586,18.0
main,main_N18_cap12_sub40_theme60_risk,covid_2020,2020-02-01,2020-05-31,0.03477902436792313,-0.3255722863521465,0.2963236055732437,18.0
main,main_N18_cap12_sub40_theme60_risk,inflation_2022,2021-11-01,2022-12-31,-0.21296921190427553,-0.29285750313637804,0.3338940022992887,18.0
main,main_N18_cap12_sub40_theme60_risk,ai_semis_2024,2024-01-01,2024-12-31,0.4352046183258591,-0.13128845966378233,0.0628406851636382,18.0
main,main_N18_cap12_sub40_theme60_risk,latest_12m,2025-06-18,2026-06-18,1.6610137262321794,-0.13970824875862298,0.05854195732948388,18.0
main,main_N18_cap12_sub40_theme70,covid_2020,2020-02-01,2020-05-31,0.10652703116311613,-0.41807437540042913,0.0034865466521828243,18.0
main,main_N18_cap12_sub40_theme70,inflation_2022,2021-11-01,2022-12-31,-0.155329114505543,-0.3221337080614972,0.007660471450613558,18.0
main,main_N18_cap12_sub40_theme70,ai_semis_2024,2024-01-01,2024-12-31,0.45535704821708944,-0.13100661227488664,0.03184932124449296,18.0
main,main_N18_cap12_sub40_theme70,latest_12m,2025-06-18,2026-06-18,2.0063544988171182,-0.14413839707095577,0.008653520520431017,18.0
main,main_N18_cap12_sub40_theme70_risk,covid_2020,2020-02-01,2020-05-31,0.028497385827210397,-0.33105095162868026,0.28547389002394113,18.0
