leadership_theme,member_count,active_count_1d_gt_8pct,active_count_5d_gt_20pct,breadth_21d_positive,median_ret_5d,median_ret_21d,median_ret_63d,top_participation_score,top_bubble_climax_score,top_early_leadership_score,dollar_volume_20d_sum,top_tickers,leadership_state,leadership_score
ai_compute_semiconductors,30,2,2,0.7333333333333333,0.06027645093874179,0.1276959918995033,0.3146323381715532,3.0462850715369987,3.0487224864718585,3.517985879542116,103604004146.18251,"QCOM,ARM,ALAB,AMD,HIMX,MRVL,NXPI,STM",emerging_leader,2.4431740652352145
memory_semiconductors,6,0,0,0.8333333333333334,0.04002245197185639,0.2922086642084418,0.7562659707904705,1.4336488454569671,0.4695656959785694,1.7810153579429084,62583921755.137024,"MU,SNDK,STX,WDC,PSA,EXR",emerging_leader,2.1394079575681118
software_ai_platforms,41,1,0,0.6829268292682927,0.04442493573128936,0.06864757719494041,0.0910515679434194,2.3152095914478337,2.261576936637343,2.8297646127371374,46124261861.54666,"CRWD,NTAP,PANW,FTNT,FFIV,CDNS,NOW,AKAM",neutral,1.4054935628352954
software,60,3,1,0.5333333333333333,0.02828525608819099,0.01877133646422624,0.07204328808904459,2.122495999317745,2.370353514560684,2.2351714059271592,69378978150.91454,"HPE,HPQ,CSCO,IBM,FSLR,P,FLEX,AAPL",neutral,0.7878696460328233
optical_networking_ai_infra,3,0,0,1.0,-0.012759850247228699,0.11812963608636817,0.5170155821854296,0.76556499440346,-0.08940345439419423,0.7796184844205674,9261829746.012115,"CIEN,COHR,LITE",neutral,0.15275378293550304
medtech,57,0,0,0.49122807017543857,0.030562700711875168,-0.002781091364275512,-0.07893757768947995,0.9246217411639035,0.790447684674779,0.9725953426201643,33198964919.34848,"MRK,LLY,UNH,DVA,EW,ELV,DOC,CVS",neutral,0.10008048089793348
consumer,122,1,0,0.4180327868852459,0.029768649538347347,-0.023016335065714322,-0.0502334629616521,1.1139319088081965,1.562392298541735,1.0589594226476118,62641049402.073425,"ROST,TSLA,HRB,DECK,CROX,SFM,DKS,BWA",neutral,0.09833988978156874
space_launch,22,1,0,0.5909090909090909,0.03085208292137609,0.012033782405334703,-0.09652266680815147,0.7657286647842672,0.9904348594733491,0.6678560944998126,12719571636.438017,"RKLB,GE,TDG,DRS,FTAI,GD,SARO,LMT",neutral,0.02832846442590689
general,35,0,0,0.34285714285714286,0.03949065904040139,-0.007957955308964482,-0.01350448819705452,0.36036142267343424,0.2787432213780078,0.2627351532451185,12832061238.022604,"D,EXC,VZ,XEL,EVRG,TMUS,SO,ETR",neutral,-0.17877047376268235
energy,99,0,0,0.5252525252525253,0.012043276839633688,0.0070409734467933305,0.04241059026283889,0.6969561115810936,0.7155320872448288,0.9878333707201836,31535769026.294228,"MPC,STLD,TRGP,DINO,NEU,TRP,ENB,PSX",neutral,-0.18825113690634546
banking,122,0,0,0.3770491803278688,0.01709967270934931,-0.012740127273423718,0.010089896091984962,0.6782279422927704,0.5233252790745179,0.7186324393036321,35114345561.517746,"GS,FDS,MS,MET,MORN,CBOE,JPM,BAC",neutral,-0.2670462140774953
industrial,113,0,0,0.3185840707964602,0.013520311348715897,-0.027848865301291048,-0.04283358421784511,0.9908033837506669,1.0580600805165763,1.2963554693346766,33694865283.07653,"BE,AAON,LSTR,DAL,HON,ROK,LINE,BAH",neutral,-0.31622332989880303
power_grid_gas_turbine,10,0,0,0.5,-0.0034069947848619497,-0.0018008049199983445,0.04991391287109603,0.43495249878980347,0.5109652497506606,0.11179569713192031,7842606907.32296,"VST,TLN,NVT,AEP,PWR,ETN,GEV,NXT",neutral,-0.7676260848447961
rare_earths_battery_materials,1,0,0,1.0,0.02135291615114876,0.03144032670637209,0.061761427339126485,-0.0891181719466349,-0.1935862657769071,0.04164978233335393,187862335.92906952,TECK,neutral,-0.8224380497660853
nuclear_power,4,0,0,0.25,-0.01659317372710878,-0.1140547739920722,-0.057038611243550585,-0.512046800967749,-0.4956700767244268,-0.8773761089122127,1670832202.2304773,"CEG,BWXT,CCJ,UEC",lagging,-2.34947277044147
