etf,theme,label,price_status,price_date,ret_1d,ret_5d,ret_21d,ret_63d,volume_z_20d,dollar_volume_20d,holdings,attention_score
XSD,semiconductors_equal_weight,SPDR S&P Semiconductor ETF,ok,2026-05-22,0.047489385937935946,0.09891366818985237,0.3391206141003813,0.7106419063474898,0.1786848565302038,82342976.75094604,"AMD,INTC,MU,MRVL,ON,MCHP,LSCC,MPWR,TER,ALAB,CRUS,ONTO",1.8230308342208035
SOXX,semiconductors_broad,iShares Semiconductor ETF,ok,2026-05-22,0.02405137044980088,0.0566546619574424,0.21843541290213997,0.5068130904378139,-0.2884341342995191,4110695575.035248,"NVDA,AVGO,AMD,MU,INTC,QCOM,MRVL,LRCX,AMAT,KLAC,MCHP,ON,MPWR",1.2509895230431094
SMH,semiconductors_broad,VanEck Semiconductor ETF,ok,2026-05-22,0.014862299022392778,0.03591325359363462,0.19605686421929436,0.39585351799197777,-0.9402491890054459,5499845947.93335,"NVDA,TSM,AVGO,ASML,AMD,MU,INTC,QCOM,LRCX,AMAT,KLAC,ARM",0.8056354502152296
DRAM,memory_semiconductors,Roundhill Memory ETF,ok,2026-05-22,-0.027972036317546523,0.03365951608734785,0.4526952367483337,,-0.586970194826082,1614479391.5687752,"MU,SNDK,WDC,STX",0.6568814237403793
ARKK,innovation_beta,ARK Innovation ETF,ok,2026-05-22,-0.002871328802098505,0.020026701861704632,-0.0013071695963541297,0.09142859322684149,-1.6368243585568303,581430562.4483871,"TSLA,COIN,ROKU,HOOD,CRSP,PATH,PLTR",-0.24440799375389266
ITA,aerospace_defense,iShares U.S. Aerospace & Defense ETF,ok,2026-05-22,0.009948470900397854,0.037280759817029274,0.028570099445019093,-0.06525628822552554,-1.5082526164845327,185168750.1437378,"RTX,LMT,NOC,GD,RKLB,KTOS,HWM",-0.27501301914396725
XBI,biotech_small,SPDR Biotech ETF,ok,2026-05-22,-0.008434968575719903,0.007422153206692483,-0.02104246944356425,0.03693787820993988,-1.100840585351431,1118882179.6821594,"EXEL,INSM,CRSP,BEAM,EDIT",-0.3287430306913778
XME,metals_mining,SPDR Metals & Mining ETF,ok,2026-05-22,0.014647274065142879,0.012803905215182043,-0.004845288148432103,-0.004820762530214462,-1.1566214221783253,274150386.2916565,"MP,FCX,CLF,X,NUE,STLD,AA",-0.4234879674723358
NLR,nuclear_power,VanEck Uranium and Nuclear ETF,ok,2026-05-22,0.006925811284411942,0.009022312567980917,-0.10591048413784565,-0.1055437001245716,-0.9350441475035478,68996607.32383728,"CEG,BWXT,CCJ,LEU,SMR,OKLO",-0.7858325415807217
URA,nuclear_uranium,Global X Uranium ETF,ok,2026-05-22,0.0020466326826018566,-0.01942722240685779,-0.13299100361055316,-0.08383232891771164,-1.0792061775341864,208012206.44289017,"CCJ,UEC,UUUU,LEU,NXE,DNN",-1.0266831403025805
