book,rebalance_date,top_tickers,top_weights,n_positions,cash_estimate,entered_top,left_top
concentrated_grid_presence,2021-04-30,"NVDA,ORLY,GOOG,WSM,CSX,TSCO,FTNT,SITE","0.5000,0.5000,0.2500,0.1667,0.1260,0.0922,0.0866,0.0685",10,0.0,"CSX,FTNT,SITE,TSCO","AMAT,GOOGL,LRCX,SAM"
concentrated_grid_presence,2021-05-28,"NVDA,CRWD,ORLY,GOOG,NDAQ,FTNT,WSM,CSX","1.0000,0.5000,0.4735,0.3005,0.2259,0.1650,0.1615,0.1222",15,0.0,"CRWD,NDAQ","SITE,TSCO"
concentrated_grid_presence,2021-06-30,"NVDA,ABT,ORLY,GOOGL,NOW,GOOG,NET,WSM","1.0000,0.5000,0.4342,0.3124,0.2229,0.2201,0.1632,0.1336",17,0.0,"ABT,GOOGL,NET,NOW","CRWD,CSX,FTNT,NDAQ"
concentrated_grid_presence,2021-07-30,"ABT,MA,DXCM,NVDA,GOOGL,NOW,NET,FTNT","1.0000,0.5000,0.5000,0.4813,0.3308,0.2279,0.1721,0.1189",14,0.0,"DXCM,FTNT,MA","GOOG,ORLY,WSM"
concentrated_grid_presence,2021-08-31,"DXCM,LRCX,GOOGL,HUBS,ABT,MA,NVDA,BIO","0.5278,0.5000,0.5000,0.2362,0.1922,0.1868,0.1721,0.1340",15,0.0,"BIO,HUBS,LRCX","FTNT,NET,NOW"
concentrated_grid_presence,2021-09-30,"LRCX,DXCM,MA,PANW,GOOGL,CPRT,HUBS,GTM","1.0000,0.5369,0.5000,0.5000,0.4961,0.2950,0.2396,0.2170",17,0.0,"CPRT,GTM,PANW","ABT,BIO,NVDA"
concentrated_grid_presence,2021-10-29,"CPRT,MDB,GTM,PANW,ORLY,LRCX,GOOGL,TSCO","0.5000,0.5000,0.3076,0.2101,0.1631,0.1235,0.1152,0.0775",10,0.0,"MDB,ORLY,TSCO","DXCM,HUBS,MA"
concentrated_grid_presence,2021-11-30,"CPRT,MDB,PANW,ORLY,LRCX,EXP,STE,SAIA","1.0000,0.5037,0.5000,0.5000,0.3096,0.2296,0.1731,0.1300",15,0.0,"EXP,SAIA,STE","GOOGL,GTM,TSCO"
concentrated_grid_presence,2021-12-31,"CPRT,MDB,V,COO,EXP,PANW,ORLY,COR","1.0000,0.5034,0.5000,0.5000,0.2801,0.2324,0.1823,0.1565",15,0.0,"COO,COR,V","LRCX,SAIA,STE"
concentrated_grid_presence,2022-01-31,"V,LRCX,COO,COR,AVGO,PANW,ORLY,GOOGL","1.0000,0.5000,0.5000,0.3040,0.1988,0.1861,0.1610,0.1241",13,0.0,"AVGO,GOOGL,LRCX","CPRT,EXP,MDB"
concentrated_grid_presence,2022-02-28,"LRCX,COO,MA,WMB,ORLY,COR,AVGO,NXST","1.0000,0.5208,0.5000,0.5000,0.3963,0.3184,0.2101,0.1611",15,0.0,"MA,NXST,WMB","GOOGL,PANW,V"
concentrated_grid_presence,2022-03-31,"LRCX,WMB,COO,ORLY,FCX,MA,COR,AVGO","1.0000,1.0000,0.5339,0.5000,0.5000,0.4936,0.3374,0.3360",21,0.0,FCX,NXST
concentrated_grid_presence,2022-04-29,"BLDR,FDS,THG,MKC,NFG,AVGO,GPK,ORLY","0.5000,0.5000,0.3042,0.2156,0.1762,0.1279,0.1229,0.0858",10,0.0,"BLDR,FDS,GPK,MKC,NFG,THG","COO,COR,FCX,LRCX,MA,WMB"
concentrated_grid_presence,2022-05-31,"BLDR,ETR,NFG,VLO,THG,ORLY,AVGO,WCC","1.0000,0.5000,0.5000,0.5000,0.3032,0.2757,0.1907,0.1294",15,0.0,"ETR,VLO,WCC","FDS,GPK,MKC"
