ticker,peak_market_value_usd,peak_weight,trough_market_value_usd,trough_weight,peak_to_trough_value_delta_usd
AMD,17434.400451660156,0.1342039389425488,6845.999813079834,0.0714394468614108,-10588.400638580322
PENN,8236.199661254883,0.0633993947496163,691.5599970817566,0.0072165739135148,-7544.639664173126
NOW,14809.607734680176,0.1139991993242796,7399.055995941162,0.0772107043644287,-7410.551738739014
STM,7321.469245910644,0.0563581187877543,1134.1204404830933,0.0118347851525696,-6187.34880542755
DAR,6953.099794387817,0.0535225391234268,1066.2799797058103,0.0111268556864465,-5886.819814682007
UI,5815.537536621094,0.0447659812935224,0.0,0.0,-5815.537536621094
PCTY,6887.579803466797,0.053018189066454,1175.8499908447266,0.0122702417808206,-5711.72981262207
PAYC,6642.508666992188,0.0511317168629956,1312.8209686279297,0.0136995627209414,-5329.687698364259
SHOP,7659.260879516602,0.0589583210658568,2660.9568939208984,0.0277676444367659,-4998.303985595703
QRVO,6358.639869689941,0.0489465937871277,1460.399932861328,0.0152395802291322,-4898.239936828613
TSLA,7828.650390625,0.060262222491623,3226.8986434936523,0.0336733655365548,-4601.751747131348
DXCM,8167.039794921875,0.0628670262001864,4205.520080566406,0.0438854859075813,-3961.5197143554688
SE,7321.600109100342,0.0563591261269839,4279.919906616211,0.0446618637288936,-3041.680202484131
RNG,7934.9306640625,0.0610803309988098,5742.630767822266,0.0599255589809869,-2192.2998962402344
