book,rebalance_date,top_tickers,top_weights,n_positions,cash_estimate,entered_top,left_top
lifecycle_review_overlay_main,2019-04-30,"FDS,NOW,V","0.3300,0.3300,0.3300",3,0.010000000000000009,"FDS,NOW,V",
lifecycle_review_overlay_main,2019-05-31,"NOW,V,AMT,SHOP,SUI,FDS","0.2720,0.2649,0.0839,0.0564,0.0439,0.0015",6,0.2774453277539599,"AMT,SHOP,SUI",
lifecycle_review_overlay_main,2019-06-28,"SHOP,NOW,FDS,AMT,ORCL,V,HD,SUI","0.2595,0.2473,0.1710,0.1231,0.0921,0.0744,0.0241,0.0083",9,2.220446049250313e-16,"HD,ORCL",
lifecycle_review_overlay_main,2019-07-31,"V,SHOP,NOW,HD,ORCL,CBRE,MA,FDS","0.3300,0.2098,0.2023,0.1009,0.0792,0.0620,0.0092,0.0047",11,4.440892098500626e-16,"CBRE,MA","AMT,SUI"
lifecycle_review_overlay_main,2019-08-30,"V,SHOP,HD,ORCL,MA,CBRE,AMT,DG","0.3300,0.3213,0.0760,0.0556,0.0549,0.0435,0.0391,0.0391",12,2.220446049250313e-16,"AMT,DG","FDS,NOW"
lifecycle_review_overlay_main,2019-09-30,"SHOP,DG,MA,AMT,NEE,DUK,WRB,LRCX","0.3300,0.1313,0.1066,0.1041,0.0699,0.0699,0.0676,0.0654",10,2.220446049250313e-16,"DUK,LRCX,NEE,WRB","CBRE,HD,ORCL,V"
lifecycle_review_overlay_main,2019-10-31,"LRCX,DUK,BKNG,ORLY,CBRE,NEE,DG,AMT","0.2123,0.2020,0.1348,0.1263,0.1263,0.0759,0.0528,0.0291",11,6.661338147750939e-16,"BKNG,CBRE,ORLY","MA,SHOP,WRB"
lifecycle_review_overlay_main,2019-11-29,"ORLY,LRCX,AAPL,BKNG,NVDA,UNH,NEE,DG","0.3021,0.2715,0.1259,0.1130,0.0797,0.0528,0.0231,0.0160",10,6.661338147750939e-16,"AAPL,NVDA,UNH","AMT,CBRE,DUK"
lifecycle_review_overlay_main,2019-12-31,"ORLY,LRCX,AAPL,BKNG,UNH,NVDA,BABA,CPRT","0.3300,0.1501,0.1487,0.0941,0.0679,0.0677,0.0464,0.0464",10,3.3306690738754696e-16,"BABA,CPRT","DG,NEE"
lifecycle_review_overlay_main,2020-01-31,"ORLY,CPRT,LRCX,NVDA,UNH,BKNG,AAPL,BABA","0.3196,0.1642,0.1334,0.0733,0.0658,0.0590,0.0446,0.0418",12,6.661338147750939e-16,,
lifecycle_review_overlay_main,2020-02-28,"CPRT,ADBE,SHOP,BABA,AAPL,NOW,NVDA,MSFT","0.2121,0.2078,0.0609,0.0580,0.0576,0.0465,0.0288,0.0228",10,0.2800000000000006,"ADBE,MSFT,NOW,SHOP","BKNG,LRCX,ORLY,UNH"
lifecycle_review_overlay_main,2020-03-31,"ADBE,SHOP,NOW,VRTX,NVDA,JD,BABA,XYZ","0.1726,0.1125,0.0878,0.0665,0.0580,0.0481,0.0319,0.0226",8,0.40000000000000036,"JD,VRTX,XYZ","AAPL,CPRT,MSFT"
lifecycle_review_overlay_main,2020-04-30,"NOW,NVDA,JD,VRTX,SHOP,AMZN,ADBE,VEEV","0.2116,0.1553,0.1430,0.1288,0.1161,0.0527,0.0509,0.0502",11,4.440892098500626e-16,"AMZN,VEEV","BABA,XYZ"
lifecycle_review_overlay_main,2020-05-29,"NOW,NVDA,SHOP,JD,AMZN,ADBE,VEEV,ZTO","0.1770,0.1590,0.1416,0.0849,0.0768,0.0749,0.0705,0.0681",12,4.440892098500626e-16,ZTO,VRTX
lifecycle_review_overlay_main,2020-06-30,"NOW,JD,AMZN,VRTX,VEEV,ZTO,ADBE,SHOP","0.2751,0.1577,0.1364,0.0895,0.0840,0.0713,0.0607,0.0441",12,5.551115123125783e-16,VRTX,NVDA
lifecycle_review_overlay_main,2020-07-31,"NOW,JD,AMZN,VEEV,VRTX,ADBE,UNH,XYZ","0.1898,0.1866,0.1349,0.1004,0.0885,0.0726,0.0566,0.0532",12,6.661338147750939e-16,"UNH,XYZ","SHOP,ZTO"
lifecycle_review_overlay_main,2020-08-31,"NOW,VEEV,JD,ADBE,AMZN,SHOP,ZTO,WDAY","0.2686,0.1786,0.1476,0.1292,0.0845,0.0672,0.0521,0.0314",12,5.551115123125783e-16,"SHOP,WDAY,ZTO","UNH,VRTX,XYZ"
lifecycle_review_overlay_main,2020-09-30,"NOW,VEEV,ADBE,AMZN,JD,CPRT,PYPL,BABA","0.3030,0.2425,0.1754,0.1148,0.1115,0.0287,0.0111,0.0096",12,4.440892098500626e-16,"BABA,CPRT,PYPL","SHOP,WDAY,ZTO"
lifecycle_review_overlay_main,2020-10-30,"VEEV,ADBE,CPRT,XYZ,BABA,GOOG,MELI,NOW","0.2832,0.2139,0.0618,0.0546,0.0329,0.0257,0.0226,0.0187",12,0.2770891346156996,"GOOG,MELI,XYZ","AMZN,JD,PYPL"
