ticker,trade_count,win_rate,compound_realized_return,avg_realized_return,best_trade_return,worst_trade_return,avg_alpha_vs_benchmark,avg_holding_days,max_holding_days,dominant_exit_reason,churn_tag
NVDA,7,0.8571428571428571,9.296884658677715,0.4606249260103568,1.204553580382728,-0.0799999999999999,0.34348111002438564,131.71428571428572,306.0,scheduled_rebalance,normal
SHOP,5,1.0,3.5164402787662628,0.39664280217450576,1.1451865465531852,0.1206120353992421,0.33849708975856807,80.2,152.0,scheduled_rebalance,normal
LRCX,9,0.6666666666666666,3.3596061160760655,0.2194324636394152,0.8166550653665978,-0.1873397650427533,0.20076017899950346,94.22222222222223,213.0,scheduled_rebalance,normal
AVGO,6,0.6666666666666666,2.097390411490604,0.2590074016809018,1.0162035235301956,-0.0799999999999999,0.23469800859469522,158.5,368.0,scheduled_rebalance,normal
PLTR,1,1.0,1.797173657864656,1.797173657864656,1.797173657864656,1.797173657864656,1.670588406961338,336.0,336.0,scheduled_rebalance,patient_winner
ORLY,10,0.8,1.4267269939960774,0.09795356483563433,0.3162968064458131,-0.0255624319022452,0.036044513868373165,84.9,183.0,scheduled_rebalance,normal
MELI,7,0.5714285714285714,1.3623114034997,0.14601237803808806,0.4555843149525442,-0.0799999999999999,0.1042313812575654,52.0,151.0,single_period_hold,profitable_reentry_churn
BLDR,5,0.8,1.3002214141786346,0.2068878148977396,0.6995762175855114,-0.0799999999999999,0.15395080087561974,30.6,122.0,single_period_hold,profitable_reentry_churn
JD,5,0.6,1.169711777552731,0.23917464059969035,1.1939362907093982,-0.0799999999999999,0.13538845116211914,48.8,244.0,single_period_hold,profitable_reentry_churn
NOW,6,0.6666666666666666,1.148533043118643,0.17735759303187917,0.8673596619142934,-0.1674032163039291,0.08955292717377737,127.16666666666667,276.0,scheduled_rebalance,normal
TSLA,4,0.75,1.0165379747054093,0.224378456728211,0.5870200541201764,-0.1410227766743048,0.24122424484879737,23.0,32.0,scheduled_rebalance,profitable_reentry_churn
SE,4,1.0,0.9966883373181612,0.19924034976704483,0.4471739814814555,0.0216560120795183,0.15038798772016085,46.25,154.0,scheduled_rebalance,profitable_reentry_churn
FTNT,5,0.6,0.9818768408389491,0.1629891112045411,0.4229058271818224,-0.0799999999999999,0.119778052200495,37.0,123.0,scheduled_rebalance,profitable_reentry_churn
WDC,1,1.0,0.8469117875393448,0.8469117875393448,0.8469117875393448,0.8469117875393448,0.8872870372850384,119.0,119.0,scheduled_rebalance,normal
GOOGL,7,0.5714285714285714,0.8416497394955889,0.11118942913526607,0.6389016965144623,-0.0799999999999999,0.09323005876854493,57.142857142857146,183.0,scheduled_rebalance,profitable_reentry_churn
TPL,1,1.0,0.7399012623662651,0.7399012623662651,0.7399012623662651,0.7399012623662651,0.6624467396111191,121.0,121.0,scheduled_rebalance,normal
GOOG,5,0.6,0.7257006642368617,0.13745645307683813,0.6040073758467146,-0.0674870796077992,0.06654559804105498,85.6,244.0,scheduled_rebalance,normal
SMCI,1,1.0,0.7207407407407407,0.7207407407407407,0.7207407407407407,0.7207407407407407,0.6978716712591264,57.0,57.0,scheduled_rebalance,normal
DKS,5,0.6,0.6949433468742094,0.13509662543414097,0.5368487489935645,-0.1009074835690299,0.09085216179750552,102.8,150.0,scheduled_rebalance,normal
