book,journey_tag,count,avg_run_months,avg_total_return,total_weighted_contribution
concentrated_grid_presence,normal,402,2.68407960199005,0.04208665555220928,7.991210771770083
concentrated_grid_presence,short_big_win_review,27,2.4814814814814814,0.39088745918099166,2.6923001732652976
concentrated_grid_presence,long_winner,8,8.375,0.7454994735635583,2.261650336130371
concentrated_grid_presence,quick_loss,6,2.0,-0.12451378100680416,-0.0335225738064333
concentrated_grid_presence,open_winner_hold,1,6.0,0.6317742773432578,0.2940600756570146
lifecycle_review_overlay_main,normal,139,4.503597122302159,0.030315922728149872,0.16369094525946973
lifecycle_review_overlay_main,long_winner,19,14.157894736842104,1.0814435533061892,1.3206490699237685
lifecycle_review_overlay_main,quick_loss,3,2.0,-0.13599312609393077,-0.0260545221518859
lifecycle_review_overlay_main,open_stale_watch,2,8.5,0.3696039447690117,0.10417894549470039
lifecycle_review_overlay_main,open_winner_hold,1,7.0,1.8338686009202219,0.07337259790084401
lifecycle_review_overlay_main,short_big_win_review,1,3.0,0.37524178502742433,0.0008162703071642408
main_v2_research,normal,394,1.715736040609137,0.04007816233202204,1.293845535213579
main_v2_research,quick_loss,76,1.2236842105263157,-0.15893762097920072,-0.8487694633079008
main_v2_research,short_big_win_review,31,2.032258064516129,0.33681269015181775,0.7040259341567499
main_v2_research,long_winner,7,7.714285714285714,0.9992079707010151,0.4453072101945817
main_v2_research,open_winner_hold,1,8.0,3.6944847908747738,0.1329333138142587
monster_lifecycle_concentrated,normal,105,4.314285714285714,0.062485091328616356,0.7117404918255317
monster_lifecycle_concentrated,quick_loss,24,1.25,-0.15967297260252425,-0.09423321243544269
monster_lifecycle_concentrated,long_winner,7,8.285714285714286,0.8001946975411647,0.7461939955965011
monster_lifecycle_concentrated,short_big_win_review,4,3.0,0.32762732024918,0.0863406308933599
monster_lifecycle_main,normal,156,4.551282051282051,0.04829268388681455,0.38317003730445254
monster_lifecycle_main,quick_loss,35,1.3428571428571427,-0.15214562697628173,-0.0971927455273811
monster_lifecycle_main,long_winner,8,11.75,0.9277279870248427,0.8157868602870408
monster_lifecycle_main,short_big_win_review,4,3.0,0.29040962020388295,0.0482236047263086
monster_lifecycle_main,open_winner_hold,1,8.0,0.8361810472666358,0.08737236930866218
production_main,normal,703,2.6955903271692745,0.03433201566911484,1.0429671450950873
production_main,short_big_win_review,41,2.292682926829268,0.39509487956836403,0.5375119782751371
production_main,long_winner,15,9.866666666666667,1.0618806764375217,0.637801665877567
production_main,quick_loss,11,2.0,-0.12778840532749458,-0.044364898043523344
production_main,open_winner_hold,1,6.0,0.631774277343258,0.0317301613887574
