window,portfolio,cohort,horizon_sessions,resolved_count,mean_return,median_return,mean_spy_excess,mean_qqq_excess,mean_sector_neutral_excess
oos,concentrated,rank_matched_control,252,67,0.22056193810467237,0.10648631182758028,0.0178457487088356,-0.05203593826673231,0.05348477973502619
oos,concentrated,selected,21,126,0.08365121422105389,0.04716107148241766,0.06582273032360576,0.05861850381616901,0.0666285002925647
oos,concentrated,selected,63,116,0.23871119920846143,0.13066252032752734,0.19617636341168085,0.17766059858882316,0.2011698048721639
oos,concentrated,selected,126,97,0.5594907579995411,0.20935817406256696,0.47814945713773144,0.4498961427175827,0.45666957489942733
oos,concentrated,selected,252,67,0.3782303003144085,0.10463219284393266,0.17551411091857175,0.10563242394300379,0.21964463520191524
oos,main,rank_matched_control,21,301,0.017993976225752807,0.008792889693563621,0.0009721659816686038,-0.00686805093241464,0.006792464180339137
oos,main,rank_matched_control,63,276,0.05719371129045107,0.02175985850800044,0.0150831770464896,-0.0036843191916824712,0.03783372383772549
oos,main,rank_matched_control,126,224,0.1563495512646389,0.06055324538315321,0.07160876264216595,0.042784423750971974,0.09002607935934383
oos,main,rank_matched_control,252,153,0.26077611202020246,0.0771464873521217,0.05807693843148713,-0.010579024048814528,0.10482836371685322
oos,main,selected,21,301,0.06693769140740129,0.045486324984601145,0.049915881163317084,0.04207566424923385,0.047573168144726
oos,main,selected,63,276,0.17607176542559252,0.08311834582540678,0.133961231181631,0.11519373494345894,0.1352291711789341
oos,main,selected,126,227,0.35172193732833046,0.1302450344723458,0.2667756817529716,0.23754559277150747,0.24741387775857498
oos,main,selected,252,153,0.38914103484383156,0.2012180291527077,0.18644186125511622,0.11778589877481456,0.1994502398104187
