window,portfolio,cohort,horizon_sessions,resolved_count,mean_return,median_return,mean_spy_excess,mean_qqq_excess,mean_sector_neutral_excess
full,concentrated,rank_matched_control,21,458,0.023322003904054672,0.009935189998182437,0.0078750402407061,0.002239706147109289,0.007566810395398316
full,concentrated,rank_matched_control,63,448,0.06476277126948417,0.021410682363399047,0.02356459832470224,0.008383507334204177,0.027049386398278887
full,concentrated,rank_matched_control,126,428,0.11787760491285774,0.047106386954106294,0.03476460281933404,0.005759104955452342,0.033353425119002106
full,concentrated,rank_matched_control,252,399,0.19849102356140813,0.120088706321829,0.024599202051408413,-0.0378046510890453,0.020912139575830168
full,concentrated,selected,21,458,0.04344942666305408,0.020031987770075754,0.02800246299970552,0.022367128906108712,0.025594931337308016
full,concentrated,selected,63,448,0.11016102788464521,0.04200106618607635,0.0689628549398633,0.053781763949365236,0.06271540876332218
full,concentrated,selected,126,429,0.23871161956926895,0.09142859896322841,0.15555858300962874,0.12648194156099707,0.13980699783912373
full,concentrated,selected,252,399,0.36073121097654104,0.1831770280086218,0.18683938946654138,0.12443553632608768,0.15855599101010281
full,main,rank_matched_control,21,1107,0.01919452037335998,0.011276049919134001,0.004556059843165443,-0.001523381685795112,0.006454391447371616
full,main,rank_matched_control,63,1082,0.045375537715529934,0.01852217970789949,0.005571265654376057,-0.010428805733606885,0.01148625620692662
full,main,rank_matched_control,126,1030,0.11036401323782555,0.051646761627438975,0.029403321413177516,0.000373380253766237,0.02954245479553278
full,main,rank_matched_control,252,959,0.22919926719485367,0.09944367036516444,0.05777538413892197,-0.0035487309397539196,0.05648713623580578
full,main,selected,21,1107,0.03129652608961764,0.018318380033697235,0.0166580655594231,0.010578624030462546,0.013439820860481129
full,main,selected,63,1082,0.08825942255949348,0.039983360633094045,0.04845515049833958,0.03245507911035664,0.04644908257983617
full,main,selected,126,1033,0.1725976453219728,0.09330384218572751,0.09158082446663883,0.06246231751469447,0.08018786046214678
full,main,selected,252,959,0.31269818456904946,0.18912382246839976,0.14127430151311782,0.0799501864344419,0.12116578945827362
oos2,concentrated,rank_matched_control,21,222,0.03181544961309474,0.013124917936060077,0.015747679560644972,0.00825151065340259,0.01692874228911947
oos2,concentrated,rank_matched_control,63,212,0.10480843327705759,0.053569175415715486,0.056831867017175144,0.03853456190802867,0.07073432672054229
oos2,concentrated,rank_matched_control,126,192,0.17878331295730335,0.09655261039121477,0.0781024172426752,0.05003530962612118,0.08823363512251224
oos2,concentrated,rank_matched_control,252,163,0.24685368195437682,0.17073406322661833,0.026336353285561775,-0.026262912602048237,0.0773159515178418
oos2,concentrated,selected,21,222,0.06203680861323937,0.03150748533085879,0.045969038560789606,0.03847286965354722,0.04811416095333114
oos2,concentrated,selected,63,212,0.16302003634743206,0.09447226716287926,0.11504347008754964,0.09674616497840313,0.1232787273831933
oos2,concentrated,selected,126,193,0.35570496577232696,0.17012549054496628,0.25502610688493776,0.22679599933001546,0.2581079535066058
oos2,concentrated,selected,252,163,0.2936586514918645,0.22236194281655575,0.07314132282304942,0.020542056935439416,0.12304041774707501
oos2,main,rank_matched_control,21,538,0.013706052235815122,0.006751367764755822,-0.0021792689807367217,-0.009594678713906393,0.004242028067427015
oos2,main,rank_matched_control,63,513,0.04590661121754681,0.01698010565412189,-0.002634184300347471,-0.021414885504327887,0.019264740922116334
oos2,main,rank_matched_control,126,461,0.1303255527596101,0.06480384669482486,0.027177379988020313,-0.0016089049771337112,0.054310443173951804
oos2,main,rank_matched_control,252,390,0.25044938206469586,0.12732848816268538,0.02775917297200389,-0.024010243524600152,0.07988641891488327
oos2,main,selected,21,538,0.044596599686058745,0.024631033496399835,0.02871127846950691,0.021295868736337237,0.030287502823643446
oos2,main,selected,63,513,0.12518473195088298,0.07040466134704415,0.07664393643298872,0.05786323522900831,0.08544461247141615
oos2,main,selected,126,464,0.24513529045678825,0.13359981249771125,0.14200561155188435,0.11302057781028758,0.14761473333860106
oos2,main,selected,252,390,0.31235488782763476,0.24543782738433717,0.08966467873494281,0.03789526223833878,0.12731050936909502
oos,concentrated,rank_matched_control,21,126,0.05094898777118577,0.03916645409904307,0.03312050387373765,0.025916277366300877,0.027798073902250635
oos,concentrated,rank_matched_control,63,116,0.13809489550660586,0.05805428681216307,0.09556005970982524,0.07704429488696757,0.10670135588620991
oos,concentrated,rank_matched_control,126,96,0.2165034434534582,0.1076673475005564,0.13535950183327036,0.10743194555167884,0.12134977557612485
