ticker,buy_count,sell_count,first_buy_date,last_sell_date,gross_buy_usd,gross_sell_usd,fees_usd,net_cash_delta_usd,open_status
ORLY,29,29,2019-06-03,2025-09-02,506255.5457572937,542292.079656601,2621.369063534737,33415.16483577252,closed_or_flat
BKNG,14,13,2019-09-03,2026-05-15,360473.0406990051,374637.9937515259,1837.7775861263278,12327.175466394423,closed_or_flat
DKS,16,19,2022-10-03,2026-03-02,349927.50006103516,369494.6329574585,1798.5553325462342,17768.57756387707,closed_or_flat
NOW,12,14,2020-03-02,2024-03-01,282122.70024108887,287000.4454650879,1422.807864265442,3454.93735973358,closed_or_flat
GOOGL,10,9,2020-06-01,2025-12-01,246712.05130004883,254852.51566314697,1253.9114174079898,6886.552945690157,closed_or_flat
TSCO,14,15,2019-06-03,2024-11-01,233309.1594581604,239566.37344551086,1182.1888322591783,5075.025155091291,closed_or_flat
ETR,8,7,2022-06-01,2026-05-15,212974.2011833191,220645.24307632446,1084.048610649109,6586.9932823562485,closed_or_flat
PANW,7,8,2019-12-02,2024-12-02,203571.13541412354,202822.30046081543,1015.9835896873474,-1764.8185429954465,closed_or_flat
GOOG,8,9,2020-02-03,2022-04-01,191614.38851165771,199633.87226104736,978.1206519317627,7041.363097457866,closed_or_flat
EXPE,4,4,2023-12-01,2026-02-02,178558.97735595703,122576.62390136719,752.8390031433105,-56735.19245773316,open_or_partial
AEE,7,7,2022-06-01,2025-09-02,159814.3575515747,162828.45657348633,806.6070353126526,2207.4919865989687,closed_or_flat
CTAS,8,6,2020-08-03,2024-02-01,156634.18309020996,162414.58695220947,797.6219251060486,4982.781936893472,closed_or_flat
CPRT,8,9,2019-11-01,2023-03-01,139831.70026397705,144766.4539451599,711.4953855228424,4223.258295660005,closed_or_flat
ACI,6,3,2023-12-01,2026-02-02,129891.99131202698,127342.92403793335,643.0872883749008,-3192.1545624685314,closed_or_flat
EXP,7,7,2021-12-01,2025-01-02,128759.09439086914,121981.99809265137,626.8527312088014,-7403.949029426563,closed_or_flat
CROX,5,6,2021-08-02,2025-09-02,123813.23876190186,129629.64932250977,633.6072202110291,5182.803340396873,closed_or_flat
WSM,8,7,2021-04-01,2023-12-01,121750.45291519165,128646.48806762695,625.9923524570465,6270.042799978251,closed_or_flat
STE,4,4,2021-09-01,2026-03-02,119399.18783569336,119198.57397460938,596.4944045257569,-797.1082656097387,closed_or_flat
FANG,4,4,2022-08-01,2025-12-01,114694.70520019531,126003.68530273438,601.7459762573242,10707.234126281726,closed_or_flat
FDS,5,6,2019-06-03,2024-05-01,113503.80679321289,112281.49710083008,564.4632597351074,-1786.7729521179172,closed_or_flat
CHRD,6,4,2022-11-01,2024-07-01,108220.15980529785,108861.05081176758,542.7030265426637,98.18797992706823,closed_or_flat
NRG,4,4,2020-04-01,2025-06-02,107875.01412200928,118698.22449874878,566.4330965518951,10256.777280187607,closed_or_flat
PPL,4,2,2025-06-02,2025-11-03,106801.68197250366,108868.04290771484,539.1743122005463,1527.1866230106316,closed_or_flat
MELI,7,6,2020-06-01,2025-12-01,93932.01843261719,101748.22009277344,489.20059631347664,7327.0010638427775,closed_or_flat
WDAY,3,2,2021-12-01,2025-01-02,93360.67875671387,95411.79913330078,471.9311947250367,1579.189181861875,closed_or_flat
DECK,4,4,2023-08-01,2024-11-01,91668.56834411621,88969.48388671875,451.5951305770874,-3150.6795879745478,closed_or_flat
TT,4,4,2020-03-02,2024-08-01,90980.00779724121,87201.4437713623,445.45362892150877,-4224.017654800418,closed_or_flat
PR,2,3,2025-07-01,2026-05-15,88838.34209251404,95891.96898651123,461.82577769756324,6591.801116299626,closed_or_flat
PEG,3,4,2019-06-03,2026-05-15,85676.44172668457,81918.51838302612,418.98740027427675,-4176.91074393272,closed_or_flat
AGCO,4,4,2022-03-01,2024-06-03,85577.41848754883,92282.89389038086,444.6507809448242,6260.824621887205,closed_or_flat
NFG,5,4,2022-01-03,2026-03-02,83863.10227966309,88323.50939941406,430.46652919769286,4029.9405905532913,closed_or_flat
EXE,3,4,2023-09-01,2024-07-01,83373.11934661865,79286.83316802979,406.6498812866211,-4492.936059875483,closed_or_flat
CMG,1,2,2024-05-01,2024-07-01,81981.80049133301,80609.93758392334,406.4793451881409,-1778.3422525978094,closed_or_flat
DTM,4,3,2022-11-01,2024-05-01,79339.29671859741,81311.04300689697,401.625849313736,1570.1204389858322,closed_or_flat
DUK,6,4,2019-09-03,2021-09-01,79008.72428894043,74587.85987091064,383.99146039962767,-4804.855878429415,closed_or_flat
PFGC,6,5,2019-12-02,2025-03-03,78230.12842559814,81796.82029724121,400.06737180709837,3166.624499835958,closed_or_flat
FTNT,4,6,2020-05-01,2022-05-02,77102.4778213501,90179.39629745483,418.2046852970123,12658.713790807724,closed_or_flat
AM,3,3,2022-04-01,2025-11-03,76048.31657791138,72453.58888816833,371.25476366519933,-3965.9824534082436,closed_or_flat
SSD,3,3,2021-03-01,2025-12-01,75054.13577270508,74337.68789672852,373.479559173584,-1089.9274351501517,closed_or_flat
JBL,3,3,2022-11-01,2025-03-03,74176.69486999512,74148.40620422363,370.8127526855469,-399.1014184570231,closed_or_flat
RL,3,3,2024-01-02,2025-09-02,73796.6198425293,77346.17932128906,377.8569979095459,3171.702480850221,closed_or_flat
CMS,3,3,2024-05-01,2025-11-03,73409.0743560791,76673.40645599365,375.20620203018194,2889.125897884369,closed_or_flat
SYY,1,1,2026-02-02,2026-03-02,72535.69157409668,79206.24723815918,379.3548470306397,6291.200817031859,closed_or_flat
NVDA,1,0,2026-05-15,,71651.76232910156,0.0,179.1294058227539,-71830.89173492431,open_or_partial
HLI,3,3,2023-03-01,2025-01-02,70520.07563018799,65701.8642578125,340.55484972000124,-5158.766222095495,closed_or_flat
VEEV,4,4,2019-12-02,2021-03-01,69798.54014587402,72201.39926147461,354.9998485183716,2047.8592670822181,closed_or_flat
ADI,1,0,2026-05-15,,68885.84838867188,0.0,172.2146209716797,-69058.06300964355,open_or_partial
GTLS,1,2,2025-09-02,2025-11-03,64505.15881347656,64759.519470214844,323.1616957092285,-68.80103897094523,closed_or_flat
JHG,1,0,2026-05-15,,61339.92144775391,0.0,153.34980361938477,-61493.27125137329,open_or_partial
