ticker,onset_date,peak_date,hold_3m_return,hold_6m_return,hold_12m_return,hold_18m_return,max_return_6m,max_return_12m,max_return_18m,max_dd_3m,max_dd_6m,max_dd_12m,first_2x_date,first_2x_days,first_3x_date,first_3x_days,first_5x_date,first_5x_days,trail20_after_50pct_return,trail20_after_50pct_date,trail20_after_50pct_days,ma50_5d_after_50pct_return,ma50_5d_after_50pct_date,ma50_5d_after_50pct_days,ma200_after_50pct_return,ma200_after_50pct_date,ma200_after_50pct_days
LRCX,2025-03-12,2026-02-25,0.18749192236155232,0.512829597751667,1.7908971336324369,,0.512829597751667,2.2772845568396827,2.908439918023509,-0.249078624018633,-0.249078624018633,-0.249078624018633,2025-10-27,158,2026-01-21,216.0,,,1.6216283636089242,2026-03-06,247.0,1.8786222940412918,2026-03-11,250.0,,,
PLTR,2023-02-08,2024-02-08,0.20924565176154197,0.8746957842839815,1.9659365412136376,2.574209027536475,1.431873372474199,1.9817517557990532,2.650851490754174,-0.2729970173858324,-0.2729970173858324,-0.3016508155084334,2023-06-15,88,2024-02-12,253.0,2024-10-08,418.0,0.8552310832846537,2023-08-09,125.0,0.8698296090341495,2023-08-15,129.0,18.142335887099815,2026-01-28,744.0
PLTR,2024-08-09,2025-08-12,0.8620460060622035,2.752749146539351,5.143618584172769,3.302899163544053,2.8870376753151143,5.230256574298919,5.903698470364881,-0.07916391542484713,-0.21121624759173496,-0.40611458429565517,2024-11-11,65,2025-02-04,121.0,2025-07-16,232.0,1.165278335932713,2025-01-13,106.0,1.787404228187028,2025-03-12,146.0,4.243252412643465,2026-01-28,367.0
GLW,2025-03-19,2026-02-25,0.04131601676321739,0.6487969027500229,1.5934751402679028,,0.6487969027500229,2.3335693499821955,3.3173928387529807,-0.21687713057206615,-0.21687713057206615,-0.23006844728779374,2026-01-27,215,2026-02-23,233.0,,,1.5666202257056119,2026-03-06,242.0,0.6974338033654133,2025-11-19,170.0,,,
AMAT,2020-06-15,2021-04-05,-0.00705343085909238,0.5575152444676039,1.454382605481543,1.6131281006628373,0.5830916611142383,1.528034153291769,1.8153596105835863,-0.183928508047136,-0.183928508047136,-0.19692429143226953,2021-02-12,168,,,,,1.3624739271536863,2022-01-25,407.0,1.2060435325868983,2021-05-14,231.0,1.3992462345319052,2022-01-21,405.0
GEV,2025-04-09,2026-04-10,0.651023721691856,0.9431164161480281,2.0416838838524587,,1.0358805527531452,2.042297708525251,2.5278341485819094,-0.05610896161701795,-0.13168314645404722,-0.17509823928338453,2025-07-30,76,2026-04-10,251.0,,,,,,0.8569694855898242,2025-10-01,120.0,,,
LITE,2025-02-11,2026-02-12,-0.06394467883746813,0.5104272068048066,6.329899914035124,,0.5104272068048066,6.329899914035124,12.229773693559611,-0.38219894516156394,-0.38219894516156394,-0.38219894516156394,2025-09-10,145,2025-11-06,186.0,2026-02-02,244.0,6.015578054602121,2026-03-06,267.0,,,,,,
KLAC,2025-04-09,2026-04-13,0.3177769915887294,0.5047477676826517,1.5340045514633114,,0.6279307280784854,1.5340045514633114,1.7721360066636809,-0.11731682616141803,-0.11731682616141803,-0.22406824116894486,2026-01-09,189,,,,,0.8703301638411369,2026-02-04,206.0,,,,,,
AAPL,2020-03-20,2021-01-26,0.5296925402822772,0.8726638319649247,1.1697167605210108,1.5215295146935839,1.3518723121366722,1.5136005849915586,1.7640862167705853,-0.0678300084935709,-0.20375616384394069,-0.20375616384394069,2020-08-13,101,2021-12-07,433.0,,,0.8726638319649247,2020-09-18,126.0,1.0437348468409051,2020-10-27,153.0,1.1760442427439237,2021-06-03,303.0
STX,2025-05-05,2026-05-06,0.6301109174086994,1.8617396667663395,7.512031033785394,,1.8918062888899843,7.512031033785394,8.027134660721982,-0.06535470827438972,-0.17602399381155953,-0.209978296413596,2025-09-05,85,2025-11-06,129.0,2026-04-07,231.0,2.8119772501926357,2026-03-06,210.0,,,,,,
