ticker,onset_date,peak_date,onset_price,peak_price,peak_return_12m,peak_multiple_12m,winner_tier,forward_3m_return,forward_6m_return,forward_12m_return,max_drawdown_first_3m,days_to_peak,entry_readiness_score,onset_mom_1m,onset_mom_3m,onset_mom_6m,onset_rs_vs_spy_3m,onset_rs_vs_spy_6m,onset_volume_surge,onset_price_vs_sma50,onset_price_vs_sma200,onset_dist_52w_high,onset_breakout_63d
TSLA,2019-09-11,2020-08-31,16.47333335876465,166.10667419433594,9.08336749926564,10.08336749926564,monster_10x,0.4117361685287244,1.2685147030064825,6.513961873019442,-0.09668150284406063,355,0.6636363636363637,0.07899220680120433,0.1808276198213945,-0.1448643370557523,0.13463914732214044,-0.22199289678996226,0.6552066801125369,0.058275835432746836,-0.07748819141426366,-0.34419703009127345,0
STX,2025-05-05,2026-05-06,92.38922882080078,786.4199829101562,7.512031033785394,8.512031033785394,super_5x,0.6301109174086994,1.8617396667663395,7.512031033785394,-0.06535470827438972,366,0.5727272727272728,0.3082621744372469,0.009267618367848396,-0.04752750552328511,0.06374469490810364,-0.025281979399319643,1.4505229529398036,0.10700924348674556,-0.016516831474203242,-0.1561857909599107,0
LITE,2025-02-11,2026-02-12,79.5999984741211,583.4600219726562,6.329899914035124,7.329899914035124,super_5x,-0.06394467883746813,0.5104272068048066,6.329899914035124,-0.38219894516156394,366,0.590909090909091,-0.05664848228118724,0.08093426308896001,0.8404623924652277,0.0612279499296724,0.6974575908496137,1.5277925271399524,-0.08884245652297285,0.23791148354137293,-0.20701334277621042,0
PLTR,2024-08-09,2025-08-12,30.010000228881836,186.97000122070312,5.230256574298919,6.230256574298919,super_5x,0.8620460060622035,2.752749146539351,5.143618584172769,-0.07916391542484713,368,1.0,0.08574532892793751,0.41958377934375646,0.2243982027188629,0.39163227656406296,0.14803983568537382,1.1153765625859622,0.16316929158190363,0.37560851897810443,0.0,1
APP,2024-10-10,2025-09-30,144.83999633789062,718.5399780273438,3.9609223708560073,4.960922370856007,major_2_5x,1.179508427626205,0.6298675317106595,3.073667800435598,-0.2202490477603518,355,1.0,0.48447265338644785,0.7068111630466152,0.8512269976040152,0.6748336705860198,0.7319964881018859,1.179532724583575,0.4093071891934541,0.9023439308382377,0.0,1
APP,2023-04-17,2024-04-11,16.34000015258789,78.23999786376953,3.7882495185520586,4.788249518552059,major_2_5x,0.7325580906716644,1.3800489000294855,3.339045340501416,-0.15878908099548394,360,0.590909090909091,0.18749999133653428,0.5115633226929397,-0.10905125318212106,0.46885375971981835,-0.24965796520145056,0.7419991322785926,0.12815698359684524,-0.14996331476693492,-0.6704980822280724,0
MU,2025-03-14,2026-03-17,100.4185791015625,461.4961242675781,3.5957245003519205,4.5957245003519205,major_2_5x,0.14843241910995109,0.5688474087346787,3.5957245003519205,-0.37150359115427145,368,0.6181818181818182,0.09936739490284241,0.028755941384488448,0.11455687011055327,0.09195380995309,0.09288307135352647,0.8933798431315093,0.05151918018140922,-0.04043750564588633,-0.3410037942415768,0
UMC,2020-01-29,2021-01-22,1.8450987339019775,7.721000671386719,3.1846002761372567,4.184600276137257,major_2_5x,-0.015504066789810755,0.5075970050026457,2.781216076434586,-0.2419928466745056,359,0.5909090909090909,-0.05147052064354696,0.11688321247206845,0.19999999999999996,0.034701184913311645,0.10349300605067535,0.6788785046728972,-0.009216544964045004,0.15894252336886483,-0.07857146939352855,0
FCX,2020-06-05,2021-05-11,10.116538047790527,41.826045989990234,3.1344228423205633,4.134422842320563,major_2_5x,0.4327809901980202,1.24585634239348,2.80773002610587,-0.1360068662405851,340,0.7090909090909091,0.26426070853696304,0.1516437802636068,-0.0188765260399667,0.07177499821030264,-0.055276450705107893,0.8608294619284148,0.29513906741344065,0.08039310378250919,-0.19436192427944932,1
VRT,2022-12-07,2023-12-08,13.613455772399902,47.00541305541992,2.4528641251194503,3.4528641251194503,major_2_5x,0.04245967860857469,0.5512447404482168,2.4528641251194503,-0.13487257593475266,366,0.7272727272727274,-0.0636688443727288,0.11777898836792011,0.24844175920898715,0.13177804454283637,0.2842854110909516,0.7460366294719991,0.03966408161197821,0.14777547614030295,-0.48914663083363896,0
