signal,ic_all,n_all,ic_deep_bear,n_deep_bear,ic_bear,n_bear,ic_neutral,n_neutral,ic_bull,n_bull,ic_strong_bull,n_strong_bull
rs_acceleration_score,0.0619728525759998,890,,7,0.04806665433180095,146,0.007646730289447815,366,0.13043636708822098,201,,6
h1_oversold_value_score,0.007900476216470201,890,,7,,146,0.014622143474146603,366,,201,,6
h6_dynamic_leader_score,0.002833914898726997,890,,7,0.0026783294357849946,146,0.0179730653313998,366,0.023929388439212138,201,,6
stage2_overext_penalty,,890,,7,,146,,366,,201,,6
theme_phase_multiplier_primary,-0.0715711160980427,890,,7,-0.004785262008549284,146,-0.06860830030402586,366,-0.06246143801763597,201,,6
theme_phase_multiplier_max,-0.05961209657602368,890,,7,0.012540023527427512,146,-0.08096371536602653,366,0.007437186203088388,201,,6
explosion_entry_score,,890,,7,,146,,366,,201,,6
explosion_exit_score,,890,,7,,146,,366,,201,,6
explosion_net_score,,890,,7,,146,,366,,201,,6
portfolio_monster_early_score,0.0509686423415294,890,,7,,146,,366,,201,,6
entry_quality_score,-0.006341621510915069,890,,7,-0.11198096712119315,146,0.038757524436781245,366,0.06684163718569115,201,,6
breakout_setup_quality_score,,890,,7,,146,,366,,201,,6
selection_confirmation_score,-0.004744674529507549,890,,7,0.027454678984503007,146,0.06390199221012847,366,0.054071982222224396,201,,6
portfolio_risk_entry_block_score,0.04073929036115494,890,,7,,146,,366,,201,,6
portfolio_hold_policy_exit_risk,,890,,7,,146,,366,,201,,6
broken_momentum_penalty,,890,,7,,146,,366,,201,,6
relative_strength_composite,,890,,7,,146,,366,,201,,6
