rebalance_date,net_return,drawdown,regime_state
2022-11-30,-0.08830262785515229,-0.28367876022889227,
2020-02-28,-0.0763106767404372,-0.08228529204835477,
2026-02-27,-0.06788647345257552,-0.08469170860144659,
2023-08-31,-0.06662309294679247,-0.18361874276499113,
2021-12-31,-0.0632627440107626,-0.0875798158528932,
2019-08-30,-0.06311153859017728,-0.06311153859017726,
2020-08-31,-0.05993164049292428,-0.05993164049292421,
2021-08-31,-0.059600771342160186,-0.05960077134216024,
2024-11-29,-0.059456588406705584,-0.059456588406705424,
2022-05-31,-0.05708559491714765,-0.21166460385258656,
