ticker,onset_date,offset_months,snapshot_date,price,mom_1m,mom_3m,mom_6m,mom_12m,rs_vs_spy_3m,rs_vs_spy_6m,price_vs_sma50,price_vs_sma200,sma50_vs_sma200,dist_63d_high,dist_52w_high,breakout_63d,volume_surge,vol_30d,vol_90d,max_dd_90d,forward_3m_return,forward_6m_return,forward_12m_return,entry_readiness_score
LRCX,2025-03-12,-6,2024-11-06,75.75953674316406,-0.0522157113583549,-0.03628271655788484,-0.1551601872200924,0.21327626061881277,-0.1535027015490592,-0.3051545086414259,-0.011237017743283562,-0.13955800108072358,-0.12977931581192992,-0.13477663366778336,-0.31683191544913003,0,1.1582304038792575,0.4849265495515062,0.540388820838797,-0.3518890579426226,0.09386720220456213,0.0777750833488251,1.1897940312714441,0.2727272727272728
LRCX,2025-03-12,-3,2025-01-08,76.24951171875,0.008964217634413352,-0.046085914323530375,-0.31241352431398217,0.0278368785573595,-0.07802069502352582,-0.3693655167910531,0.03025787283914516,-0.10083655073740572,-0.12724428226428963,-0.09828965865442174,-0.31241352431398217,0,0.9180848491981569,0.4169556703785157,0.44406349157285074,-0.1826136995303953,-0.1351182928937813,0.3002244507200993,1.88705121862973,0.2272727272727273
LRCX,2025-03-12,-1,2025-02-19,86.76054382324219,0.09165623748750495,0.17568112853365903,0.012427746230820658,-0.030929546407613362,0.1392053033813967,-0.10045005833585963,0.12515648149060432,0.0439409823886272,-0.07218151469418987,0.0,-0.21762939576495743,1,1.0570243144539486,0.39754936473700575,0.4404481352603642,-0.1826136995303953,-0.03554197468527187,0.13731109320729606,1.8195640157237003,0.8454545454545455
LRCX,2025-03-12,0,2025-03-12,76.03289794921875,-0.08251360631615523,0.0060978970826162104,0.0525720767678175,-0.18880886869431945,0.08352177785752046,0.023178308902179756,-0.027888899538404233,-0.07466445244156006,-0.04811749694139389,-0.137034990240127,-0.31436685745697246,0,1.1171807126820017,0.49294833855293996,0.43484008814364394,-0.17342846647811372,0.18749192236155232,0.512829597751667,1.7908971336324369,0.590909090909091
LRCX,2025-03-12,1,2025-04-02,73.24333953857422,-0.0318857530212,0.025677978505973975,-0.0904089011942838,-0.24021535440467934,0.06308210335594122,-0.08058582187396868,-0.06443269937002738,-0.09206996437393433,-0.029540648743598852,-0.16869617067646114,-0.3395219383625424,0,0.8812112057294901,0.44530947533274257,0.42325820549165033,-0.1818788833617675,0.34258429893446474,1.0011758148387457,2.0125605315999717,0.3363636363636364
LRCX,2025-03-12,3,2025-05-14,84.35194396972656,0.25213670131844834,0.04482576232732316,0.09319873441739812,-0.06154019180566994,0.06803313909890807,0.10464791494958481,0.168804632563768,0.10908838849886071,-0.05109172431488407,-0.04261473500961954,-0.2393491503874572,0,0.9490672725099406,0.8571276181968724,0.6047722472214313,-0.33421321707270313,0.266884813178659,0.9082172881080606,,0.5727272727272728
LRCX,2025-03-12,6,2025-07-16,99.88787841796875,0.12399201319892872,0.48275514111283213,0.35558679676982696,-0.0508566682001812,0.3214823718668418,0.2755052442862582,0.12822101356628712,0.27295955685024986,0.12828917520907246,-0.01336867144112941,-0.056299187484119995,0,0.8464676024035261,0.2560665037334587,0.5594000125631773,-0.25211994896831647,0.38072243476114265,1.087742115641133,,0.8181818181818182
VRT,2022-12-07,-6,2022-08-03,11.940023422241211,0.39418587649873316,-0.059607909765181044,-0.43202287510241266,-0.5716209506275537,-0.05927253428173307,-0.35383185469238365,0.20580062508093744,-0.2902223814606897,-0.41136403168503277,-0.09781804218067947,-0.5804612010061139,0,0.6131142565227791,0.6525569054459713,0.6968574140317737,-0.43621392446418983,0.23769806474780952,0.25533709126070225,1.9805906091858305,0.2727272727272728
VRT,2022-12-07,-3,2022-10-05,11.940023422241211,0.07245059155139977,0.30752452935726815,-0.13429603317438155,-0.48142614187526245,0.33413413779504864,0.022578919409797615,0.0038512155022887296,-0.1374008412101132,-0.1407101515952489,-0.11316566999507571,-0.5658843838415795,0,0.9059792156355096,0.8198268266724638,0.7179948078594832,-0.28402349511845304,0.1293024085740424,0.03331607564267869,2.3194644546151757,0.590909090909091
VRT,2022-12-07,-1,2022-11-16,13.82214641571045,0.2090593375069667,0.06278702478580112,0.2710622717047497,-0.48266232119660957,0.1348045754061974,0.25337795399720675,0.10137748832221471,0.11621769121900538,0.013474220286994854,-0.09635427951012143,-0.485346828766974,0,1.085571584770248,0.6335654130624357,0.6951257178854522,-0.28402349511845304,0.15794458108357157,0.12189390730552185,2.121258660132827,0.7727272727272728
