portfolio,rejection_reason,binding_constraint,count
concentrated,cash,cash_binding,873
concentrated,candidate_gate,candidate_gate,853
concentrated,cap_or_replacement,cap_binding,244
main,cash,cash_binding,868
main,candidate_gate,candidate_gate,792
main,cap_or_replacement,cap_binding,172
