policy_id,rebalance_date,macro_risk_state,macro_style_state,target_cash,realized_cash,policy_action,net_return,equity,drawdown
bargain_reentry,2019-04-30,green,quality_compounder,0.02,0.02000000000000013,green_redeploy_step,-0.02127141002890008,0.9787285899710999,-0.021271410028900095
bargain_reentry,2019-05-31,red,cash_defense,0.32,0.32,raise_or_hold_red_floor,0.044858060762785125,1.0226324565302984,0.0
bargain_reentry,2019-06-28,green,quality_compounder,0.07,0.07,green_redeploy_step,0.018108756775541298,1.04115105895638,0.0
bargain_reentry,2019-07-31,green,quality_compounder,0.02,0.02000000000000013,green_redeploy_step,0.007291098647021725,1.048742194033682,0.0
bargain_reentry,2019-08-30,green,quality_compounder,0.02,0.02000000000000013,green_redeploy_step,-0.0032385723718196284,1.045345766538923,-0.0032385723718197923
bargain_reentry,2019-09-30,green,quality_compounder,0.02,0.02,green_redeploy_step,0.017315400601868654,1.063446347254012,0.0
bargain_reentry,2019-10-31,recovery,breakout_growth,0.05,0.05,bargain_reentry_step,0.0025609338803781775,1.0661697630346594,0.0
bargain_reentry,2019-11-29,green,breakout_growth,0.02,0.02000000000000013,green_redeploy_step,0.029849007566868847,1.0979938723590479,0.0
bargain_reentry,2019-12-31,yellow,quality_compounder,0.1,0.1,yellow_partial_redeploy,0.039187940252133,1.1410219906262622,0.0
bargain_reentry,2020-01-31,green,quality_compounder,0.02,0.020000000000000018,green_redeploy_step,-0.013428079631561623,1.1257002564747698,-0.013428079631561674
bargain_reentry,2020-02-28,red,cash_defense,0.32,0.3200000000000002,raise_or_hold_red_floor,-0.050559390530928394,1.0687855375868955,-0.0633085546403176
bargain_reentry,2020-03-31,crisis,cash_defense,0.52,0.52,raise_or_hold_crisis_floor,0.09167299979880196,1.1667643139590615,0.0
bargain_reentry,2020-04-30,yellow,turnaround_accumulation,0.27,0.27,yellow_partial_redeploy,0.09158595863026046,1.2736235421485804,0.0
bargain_reentry,2020-05-29,green,quality_compounder,0.020000000000000018,0.020000000000000018,green_redeploy_step,0.05826605531722566,1.3478325619087304,0.0
bargain_reentry,2020-06-30,green,quality_compounder,0.02,0.02,green_redeploy_step,0.09672254365383268,1.4781983557160046,0.0
bargain_reentry,2020-07-31,green,quality_compounder,0.02,0.02,normal_low_cash,0.10833313056377179,1.6383362111849393,0.0
bargain_reentry,2020-08-31,yellow,quality_compounder,0.1,0.10000000000000009,yellow_partial_redeploy,-0.020633775732122384,1.6045311492295342,-0.020633775732122328
bargain_reentry,2020-09-30,green,quality_compounder,0.02,0.019999999999999796,green_redeploy_step,-0.0024106856497280046,1.600663129013545,-0.022994719834793287
bargain_reentry,2020-10-30,red,cash_defense,0.32,0.32,raise_or_hold_red_floor,0.07285803697282675,1.7172843024482543,0.0
bargain_reentry,2020-11-30,recovery,breakout_growth,0.07,0.07000000000000028,bargain_reentry_step,0.057411426185464985,1.81587604341772,0.0
bargain_reentry,2020-12-31,green,quality_compounder,0.02,0.019999999999999907,green_redeploy_step,-0.014630598782903745,1.7893086895869885,-0.014630598782903736
bargain_reentry,2021-01-29,red,cash_defense,0.32,0.32000000000000006,raise_or_hold_red_floor,0.045521164167820316,1.8707601041925854,0.0
bargain_reentry,2021-02-26,red,cash_defense,0.32000000000000006,0.3200000000000002,raise_or_hold_red_floor,-0.007058358202140453,1.8575556092669208,-0.007058358202140402
bargain_reentry,2021-03-31,recovery,quality_compounder,0.07000000000000017,0.07000000000000006,bargain_reentry_step,0.04627533060059208,1.9435146091947317,0.0
bargain_reentry,2021-04-30,green,quality_compounder,0.02,0.02000000000000013,green_redeploy_step,-0.005843460440233804,1.932157758460886,-0.005843460440233761
bargain_reentry,2021-05-28,green,quality_compounder,0.02,0.020000000000000018,green_redeploy_step,0.05660137400222759,2.0415205423788363,0.0
bargain_reentry,2021-06-30,green,breakout_growth,0.02,0.02000000000000024,green_redeploy_step,0.04148678689176888,2.1262166700556757,0.0
bargain_reentry,2021-07-30,green,quality_compounder,0.02,0.020000000000000018,green_redeploy_step,0.054952542783187286,2.2430576825832365,0.0
bargain_reentry,2021-08-31,green,quality_compounder,0.02,0.02000000000000013,green_redeploy_step,-0.047897142623868974,2.135621628846982,-0.047897142623869016
bargain_reentry,2021-09-30,red,cash_defense,0.32,0.32,raise_or_hold_red_floor,0.07372306306532204,2.293066196874134,0.0
bargain_reentry,2021-10-29,recovery,breakout_growth,0.07,0.07000000000000006,bargain_reentry_step,0.008497778982533413,2.3125521666074884,0.0
bargain_reentry,2021-11-30,green,quality_compounder,0.02,0.02000000000000013,green_redeploy_step,0.034178522454479776,2.3915917827610382,0.0
bargain_reentry,2021-12-31,green,quality_compounder,0.02,0.020000000000000018,green_redeploy_step,-0.04883784460903454,2.274791594906311,-0.04883784460903451
bargain_reentry,2022-01-31,yellow,quality_compounder,0.1,0.1,yellow_partial_redeploy,-0.016481322183803472,2.2373000217296517,-0.06451425454107396
bargain_reentry,2022-02-28,yellow,cash_defense,0.1,0.1,yellow_partial_redeploy,0.03876232406393667,2.3240229702001893,-0.028252652918401622
bargain_reentry,2022-03-31,recovery,quality_compounder,0.05,0.050000000000000044,bargain_reentry_step,-0.04813062450462723,2.2121662932813555,-0.07502345959415369
bargain_reentry,2022-04-29,crisis,cash_defense,0.52,0.52,raise_or_hold_crisis_floor,0.0018132988455025094,2.216177611867022,-0.07334620070131892
bargain_reentry,2022-05-31,yellow,turnaround_accumulation,0.27,0.27000000000000024,yellow_partial_redeploy,-0.03534083361307993,2.137856047628997,-0.10609491843926189
bargain_reentry,2022-06-30,yellow,turnaround_accumulation,0.1,0.1,yellow_partial_redeploy,0.0502703221093421,2.2453267597667117,-0.06115802205402587
bargain_reentry,2022-07-29,yellow,turnaround_accumulation,0.1,0.1,yellow_partial_redeploy,-0.013586529332488356,2.21482056188412,-0.0739136261259602
bargain_reentry,2022-08-31,yellow,quality_compounder,0.1,0.1,yellow_partial_redeploy,-0.03683503061165038,2.133237578687806,-0.10802604605664279
bargain_reentry,2022-09-30,red,cash_defense,0.32,0.32,raise_or_hold_red_floor,0.0626980998102673,2.266987521315387,-0.05210097406414327
bargain_reentry,2022-10-31,yellow,turnaround_accumulation,0.1,0.1,yellow_partial_redeploy,0.021065355974650774,2.314742420441987,-0.03213314365477982
bargain_reentry,2022-11-30,green,turnaround_accumulation,0.02,0.020000000000000018,green_redeploy_step,-0.03522814868945377,2.2331983302768705,-0.06622930118170334
bargain_reentry,2022-12-30,yellow,quality_compounder,0.1,0.1,yellow_partial_redeploy,0.029568061985267055,2.299229676931892,-0.03861951127901786
bargain_reentry,2023-01-31,green,breakout_growth,0.02,0.020000000000000018,green_redeploy_step,-0.02003725379675035,2.2531594283581873,-0.057882936126764095
bargain_reentry,2023-02-28,green,quality_compounder,0.02,0.019999999999999907,normal_low_cash,0.0359609353560266,2.334185148908198,-0.024003525295009043
bargain_reentry,2023-03-31,green,breakout_growth,0.02,0.020000000000000018,normal_low_cash,0.007555882790260388,2.3518219783041148,-0.016629010328430782
bargain_reentry,2023-04-28,green,quality_compounder,0.02,0.020000000000000018,green_redeploy_step,0.036448264967816,2.4375418089264764,0.0
