ticker,drawdown_pnl_usd,drawdown_contribution_return_on_start
DDOG,-50254.1217956543,-0.5002109152665424
BLD,-26355.749618530273,-0.26233537007825863
ORLY,-17125.836952209473,-0.17046423796646784
MA,-14435.4150390625,-0.1436847747196385
MLI,-13176.679466247555,-0.13115578703746264
XPO,-12570.140594482422,-0.12511852375736668
AMD,-10143.540069580078,-0.1009650408951383
NVDA,-9860.017496109009,-0.09814296220970493
NET,-7376.638137817383,-0.07342432386962527
TMUS,-5543.502395629883,-0.05517796964745847
WCC,-5502.012756347654,-0.0547649971449475
BILL,-4572.750091552734,-0.0455154607592517
STLD,-4341.09627532959,-0.04320966447234918
ON,-4280.219421386722,-0.04260371881572957
LOPE,-3890.860008239748,-0.038728179427938825
RKLB,-3282.4798278808594,-0.03267258844408326
FANG,-3156.8092041015625,-0.03142170960078417
DXCM,-3147.625,-0.03133029343479648
ONTO,-2797.599365234375,-0.027846267908595634
CTAS,-2252.2096633911133,-0.022417660817514087
JBL,-2128.9620971679688,-0.021190900191678536
TSLA,-2050.819580078125,-0.020413098518938484
MSI,-1000.8114013671875,-0.00996170600936384
TXRH,-898.6360168456995,-0.008944690075486272
BRKR,-844.7125854492183,-0.008407956211489489
DAL,-679.3223876953125,-0.0067617234401559
RGLD,-559.2503509521484,-0.005566570858613628
PLNT,-428.7300567626953,-0.004267420192269471
CHE,-427.31091308594114,-0.004253294561732528
CW,-116.11129760742142,-0.001155728851160953
LOW,-103.35446166992188,-0.001028752031107288
DPZ,-54.124755859375,-0.0005387377731340101
AFG,-52.56477355957031,-0.000523210287106936
RRX,-50.26378631591797,-0.0005003071123217085
CARR,72.00904083251953,0.0007167513217874042
FDS,101.86441040039062,0.0010139206126545482
FTNT,129.02961730957213,0.0012843130207977093
ANET,1414.8999633789062,0.014083390185788943
MOS,1684.2079010009766,0.01676398165078853
INTU,3325.122772216797,0.0330970405179385
CPRT,4989.930267333981,0.04966791771406887
BKR,6174.844951629639,0.06146211961365418
CHRW,6942.253829956055,0.06910062335613769
AVGO,19375.28916168213,0.1928544521089815
SQM,20142.908226013187,0.20049504796510667
BLDR,20633.399658203125,0.20537721801324277
LPX,22314.738883972168,0.2221126459332706
LRCX,30903.03308105469,0.30759734544447515
ACLS,36794.770790100105,0.3662415204225136
