ticker,pnl_usd,contribution_return_on_start,positive_contribution_share
SNDK,454344.23107910156,4.5223741964545425,0.36540206589520297
WDC,183930.76596069336,1.830778720220928,0.14792458507528264
CIEN,71067.61277770996,0.7073806956153115,0.057155457802422184
FTAI,70956.89572143555,0.7062786590444637,0.057066414653362235
PLTR,51490.92668151857,0.5125216130134841,0.041411092509304095
ACLS,45585.80863189697,0.45374425508115174,0.0366619569704595
BE,35172.30456542963,0.3500920925500789,0.02828699446668163
LRCX,30903.03308105469,0.30759734544447515,0.02485347311096206
CROX,28987.84868621826,0.288534309322965,0.023313204110998357
ELF,28328.57958984375,0.281972188917292,0.022782993153496026
HEI,24092.790962219235,0.23981071776642426,0.019376400069760057
ROKU,21314.29988861084,0.2121546467153576,0.017141824809595415
SQM,20142.908226013187,0.20049504796510667,0.01619974410468804
AVGO,19375.28916168213,0.1928544521089815,0.015582393706596868
TSCO,18286.252420425415,0.18201458374319862,0.014706546171027077
SHOP,16973.800331115723,0.16895092175132082,0.013651018947355245
AMD,14919.991767883297,0.14850807200112198,0.011999262766417338
TLN,12404.61058044434,0.12347089930652547,0.009976291152535212
P,9706.534393310561,0.09661524825141625,0.007806388806950698
TEAM,7828.48193359375,0.07792180965918592,0.006295982815858418
CHRW,6942.253829956055,0.06910062335613769,0.005583242215731324
ZS,6933.843261718735,0.06901690767500394,0.0055764780954915445
KKR,6418.142364501953,0.06388381194905514,0.005161730509108711
TSLA,6264.548982620239,0.062355000313616724,0.005038204479265409
BKR,6174.844951629639,0.06146211961365418,0.004966060857753494
EXEL,5768.10037612915,0.057413534758901145,0.004638940366256222
RH,5307.049850463867,0.052824408590008566,0.004268144826143304
CPRT,4989.930267333981,0.04966791771406887,0.00401310439009271
SE,4864.679401397707,0.04842121698486962,0.00391237256158555
ENPH,4509.879486083983,0.04488967003838777,0.003627028073492981
INTU,3325.122772216797,0.0330970405179385,0.0026741986520605093
MRNA,3144.870132446291,0.031302872503512824,0.0025292321653093224
NTNX,2537.5198669433594,0.02525753291067429,0.002040776438228387
MOS,1684.2079010009766,0.01676398165078853,0.001354508331625843
ARES,1501.1288566589392,0.014941680652099632,0.0012072687356353459
ANET,1414.8999633789062,0.014083390185788943,0.0011379199608758498
PWR,1023.6134796142578,0.010188669450816968,0.0008232314939729215
SAN,939.5847873687744,0.009352278970695224,0.0007556522101597498
ALGN,708.3501892089844,0.007050655425125638,0.000569683963851536
UTHR,547.4011230468786,0.005448628032753533,0.0004402421942490997
HII,539.9671325683594,0.005374632844926682,0.000434263477468115
SSD,417.0340118408203,0.0041510020930902785,0.00033539567370157705
TPG,325.82319259643555,0.003243123380932777,0.0002620402319372255
MUSA,295.5763244628906,0.0029420572583458877,0.00023771447330129622
EXE,284.24212646484193,0.0028292408494258454,0.00022859905138008948
VEEV,270.8998718261719,0.002696436988447709,0.0002178686688305175
TREX,191.57522201537722,0.0019068688044408246,0.00015407256681237278
FDS,101.86441040039062,0.0010139206126545482,8.192349204719903e-05
CARR,72.00904083251953,0.0007167513217874042,5.791259244304939e-05
WSM,54.107948303222656,0.0005385704769452409,4.351580748453749e-05
MELI,43.0,0.0004280060736892891,3.4582344748112824e-05
GGG,-1.8898200988769673,-1.8810569313940345e-05,0.0
PDD,-10.6798095703125,-0.00010630286888229643,0.0
CHRD,-25.3743896484375,-0.0002525672764113924,0.0
RRX,-50.26378631591797,-0.0005003071123217085,0.0
AFG,-52.56477355957031,-0.000523210287106936,0.0
DPZ,-54.124755859375,-0.0005387377731340101,0.0
LOW,-103.35446166992188,-0.001028752031107288,0.0
CW,-116.11129760742142,-0.001155728851160953,0.0
MRVL,-149.09674835205078,-0.0014840538107442148,0.0
SAIA,-249.3404998779297,-0.0024818429852204033,0.0
PANW,-260.47975158692134,-0.0025927189709832456,0.0
THC,-306.1996612548828,-0.003047798018109133,0.0
GEN,-359.9596405029333,-0.003582904939959732,0.0
CHE,-427.31091308594114,-0.004253294561732528,0.0
PLNT,-428.7300567626953,-0.004267420192269471,0.0
VST,-543.1420288085938,-0.005406234586186069,0.0
RGLD,-559.2503509521484,-0.005566570858613628,0.0
COF,-658.8105621337891,-0.006557556325672476,0.0
DAL,-679.3223876953125,-0.0067617234401559,0.0
BRKR,-844.7125854492183,-0.008407956211489489,0.0
TXRH,-898.6360168456995,-0.008944690075486272,0.0
UI,-920.7470397949219,-0.009164775008457212,0.0
MSI,-1000.8114013671875,-0.00996170600936384,0.0
WMS,-1216.6854705810547,-0.01211043653902796,0.0
DKS,-1245.6644668579102,-0.012398882734746876,0.0
PODD,-1344.709457397461,-0.013384739886361432,0.0
AMAT,-1669.51318359375,-0.016617715876336422,0.0
HUBS,-1678.129699707035,-0.01670348148634869,0.0
NET,-2040.7762756347656,-0.020313131186341545,0.0
LI,-2094.050073623661,-0.020843398840009995,0.0
JBL,-2128.9620971679688,-0.021190900191678536,0.0
BLDR,-2197.5599060058594,-0.021873697373641185,0.0
CTAS,-2252.2096633911133,-0.022417660817514087,0.0
ON,-2282.3093490600622,-0.02271726194036173,0.0
FANG,-3156.8092041015625,-0.03142170960078417,0.0
DRS,-3179.143188476555,-0.03164401380920693,0.0
RKLB,-3282.4798278808594,-0.03267258844408326,0.0
RBRK,-3319.050498962406,-0.033036599359008725,0.0
BLD,-3760.609390258789,-0.037431713018691526,0.0
LOPE,-3890.860008239748,-0.038728179427938825,0.0
FTNT,-3922.010398864746,-0.039038238878759596,0.0
WBD,-4430.720367431641,-0.04410174949022281,0.0
APP,-4486.101379394531,-0.04465299157131993,0.0
SN,-5426.851158142101,-0.05401686643471097,0.0
WCC,-5502.012756347654,-0.0547649971449475,0.0
TMUS,-5543.502395629883,-0.05517796964745847,0.0
AMKR,-5561.809822082518,-0.05536019498967586,0.0
UBER,-6194.959014892578,-0.06166232754954043,0.0
INTC,-6227.242340087883,-0.0619836638114585,0.0
RGEN,-6255.100860595703,-0.062260957206373486,0.0
FUTU,-6379.761428833008,-0.06350178233091126,0.0
ETSY,-7548.5703201293945,-0.07513567313223446,0.0
WAL,-8057.231712341309,-0.08019870023265188,0.0
NOW,-8410.211540222164,-0.0837121307029497,0.0
FSLR,-9735.55886840821,-0.09690414712647294,0.0
NTLA,-10044.200012207031,-0.09997624675754979,0.0
KVUE,-11173.571857452393,-0.11121759580914733,0.0
SFM,-11467.080116271976,-0.11413906830804849,0.0
DXCM,-11897.23429107666,-0.11842066364384404,0.0
RUN,-12934.820064544678,-0.12874840813263266,0.0
MLI,-13176.679466247555,-0.13115578703746264,0.0
