portfolio,as_of_date,order_batch_id,client_order_id,ticker,side,quantity,reference_price,limit_price,gross_value_usd,estimated_fee_usd,cash_impact_usd,preview_status,lifecycle_status,source_orders_preview
main,2026-05-12,a5e6886ad4eb0e2f70e43126bbb771808baca50480419abacf328eecc1854858,r1k-M-20260512-S-AEM-0bd5adbf0ef1,AEM,SELL,6.0,197.05999755859372,196.5673475646973,1182.3599853515625,2.9558999633789065,1179.4040853881836,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-12,a5e6886ad4eb0e2f70e43126bbb771808baca50480419abacf328eecc1854858,r1k-M-20260512-S-WDC-c52cda46f484,WDC,SELL,2.0,480.8999938964844,479.6977439117432,961.7999877929688,2.404499969482422,959.3954878234864,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-12,a5e6886ad4eb0e2f70e43126bbb771808baca50480419abacf328eecc1854858,r1k-M-20260512-S-PH-c9a4c418470f,PH,SELL,1.0,884.4149780273438,882.2039405822754,884.4149780273438,2.21103744506836,882.2039405822754,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-12,a5e6886ad4eb0e2f70e43126bbb771808baca50480419abacf328eecc1854858,r1k-M-20260512-S-CNQ-741f3a6f0db3,CNQ,SELL,18.0,46.560001373291016,46.44360136985779,838.0800247192383,2.095200061798096,835.9848246574402,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-12,a5e6886ad4eb0e2f70e43126bbb771808baca50480419abacf328eecc1854858,r1k-M-20260512-S-PBA-79d19a2956e2,PBA,SELL,16.0,46.86000061035156,46.74285060882568,749.760009765625,1.8744000244140624,747.8856097412109,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-12,a5e6886ad4eb0e2f70e43126bbb771808baca50480419abacf328eecc1854858,r1k-M-20260512-S-SYY-0bd8b1aa2fb8,SYY,SELL,10.0,73.08000183105469,72.89730182647706,730.8000183105469,1.8270000457763675,728.9730182647705,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-12,a5e6886ad4eb0e2f70e43126bbb771808baca50480419abacf328eecc1854858,r1k-M-20260512-S-STE-354047f0919c,STE,SELL,3.0,212.6699981689453,212.13832317352296,638.0099945068359,1.5950249862670898,636.4149695205689,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-12,a5e6886ad4eb0e2f70e43126bbb771808baca50480419abacf328eecc1854858,r1k-M-20260512-S-MLM-a1f1945226c5,MLM,SELL,1.0,581.5800170898438,580.1260670471191,581.5800170898438,1.4539500427246097,580.1260670471191,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-12,a5e6886ad4eb0e2f70e43126bbb771808baca50480419abacf328eecc1854858,r1k-M-20260512-S-NOC-44e14a1e660d,NOC,SELL,1.0,555.780029296875,554.3905792236328,555.780029296875,1.3894500732421875,554.3905792236328,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-12,a5e6886ad4eb0e2f70e43126bbb771808baca50480419abacf328eecc1854858,r1k-M-20260512-S-BLD-aeedd9d043d2,BLD,SELL,1.0,418.6099853515625,417.5634603881836,418.6099853515625,1.0465249633789062,417.5634603881836,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
