portfolio,client_order_id,broker_order_id,ticker,side,submitted_qty,filled_qty,remaining_qty,avg_fill_price,fees_usd,fill_status,submitted_at,last_update_at,notes
main,r1k-M-20260512-S-MU-85cc8c98b744,,MU,SELL,43.0,,,,,pending,,,
main,r1k-M-20260512-S-AMAT-b3c7b023dceb,,AMAT,SELL,74.0,,,,,pending,,,
main,r1k-M-20260512-S-APH-48dffe841e1a,,APH,SELL,135.0,,,,,pending,,,
main,r1k-M-20260512-S-ETR-a91cf8e84145,,ETR,SELL,150.0,,,,,pending,,,
main,r1k-M-20260512-S-VZ-56bd9a9f0fc3,,VZ,SELL,287.0,,,,,pending,,,
main,r1k-M-20260512-S-KO-3da1b10bfb6d,,KO,SELL,149.0,,,,,pending,,,
main,r1k-M-20260512-S-ADI-bc1ef91f6bf6,,ADI,SELL,27.0,,,,,pending,,,
main,r1k-M-20260512-S-SCCO-5310418af3a8,,SCCO,SELL,54.0,,,,,pending,,,
main,r1k-M-20260512-S-COST-c778f74aff8a,,COST,SELL,10.0,,,,,pending,,,
main,r1k-M-20260512-S-GTLS-7b1ace65066c,,GTLS,SELL,44.0,,,,,pending,,,
main,r1k-M-20260512-S-BKNG-6d95444a8e64,,BKNG,SELL,54.0,,,,,pending,,,
main,r1k-M-20260512-S-RGLD-bef3eba1cde9,,RGLD,SELL,35.0,,,,,pending,,,
main,r1k-M-20260512-S-PEG-56cc944845c6,,PEG,SELL,93.0,,,,,pending,,,
main,r1k-M-20260512-S-TPR-acde498e8fdf,,TPR,SELL,15.0,,,,,pending,,,
main,r1k-M-20260512-S-AEM-0bd5adbf0ef1,,AEM,SELL,6.0,,,,,pending,,,
main,r1k-M-20260512-S-WDC-c52cda46f484,,WDC,SELL,2.0,,,,,pending,,,
main,r1k-M-20260512-S-PH-c9a4c418470f,,PH,SELL,1.0,,,,,pending,,,
main,r1k-M-20260512-S-CNQ-741f3a6f0db3,,CNQ,SELL,18.0,,,,,pending,,,
main,r1k-M-20260512-S-PBA-79d19a2956e2,,PBA,SELL,16.0,,,,,pending,,,
main,r1k-M-20260512-S-SYY-0bd8b1aa2fb8,,SYY,SELL,10.0,,,,,pending,,,
main,r1k-M-20260512-S-STE-354047f0919c,,STE,SELL,3.0,,,,,pending,,,
main,r1k-M-20260512-S-MLM-a1f1945226c5,,MLM,SELL,1.0,,,,,pending,,,
main,r1k-M-20260512-S-NOC-44e14a1e660d,,NOC,SELL,1.0,,,,,pending,,,
main,r1k-M-20260512-S-BLD-aeedd9d043d2,,BLD,SELL,1.0,,,,,pending,,,
main,r1k-M-20260512-S-STLD-f117b4d2e96d,,STLD,SELL,1.0,,,,,pending,,,
main,r1k-M-20260512-S-DKS-e5de2586775a,,DKS,SELL,1.0,,,,,pending,,,
main,r1k-M-20260512-S-TNL-34206b949d10,,TNL,SELL,3.0,,,,,pending,,,
main,r1k-M-20260512-S-SSD-5d9ac868340e,,SSD,SELL,1.0,,,,,pending,,,
main,r1k-M-20260512-B-GOOG-a210ad3fb480,,GOOG,BUY,135.0,,,,,pending,,,
main,r1k-M-20260512-B-PLTR-c38c951ca6a1,,PLTR,BUY,167.0,,,,,pending,,,
main,r1k-M-20260512-B-GLW-11f77fee6f16,,GLW,BUY,111.0,,,,,pending,,,
main,r1k-M-20260512-B-UMC-a07b6e20ea68,,UMC,BUY,1295.0,,,,,pending,,,
main,r1k-M-20260512-B-PWR-e4720a6aa9bb,,PWR,BUY,27.0,,,,,pending,,,
main,r1k-M-20260512-B-SU-02447d9dd0af,,SU,BUY,310.0,,,,,pending,,,
main,r1k-M-20260512-B-OKE-2636c7589ac8,,OKE,BUY,232.0,,,,,pending,,,
main,r1k-M-20260512-B-FIX-3871b8fe7279,,FIX,BUY,10.0,,,,,pending,,,
main,r1k-M-20260512-B-NXPI-eaf57e719a90,,NXPI,BUY,50.0,,,,,pending,,,
main,r1k-M-20260512-B-ON-ea08f82fea5b,,ON,BUY,142.0,,,,,pending,,,
main,r1k-M-20260512-B-MLI-1a15d69062f3,,MLI,BUY,105.0,,,,,pending,,,
main,r1k-M-20260512-B-TKR-a5832705048f,,TKR,BUY,125.0,,,,,pending,,,
main,r1k-M-20260512-B-AKAM-2ceb96f80fd9,,AKAM,BUY,98.0,,,,,pending,,,
main,r1k-M-20260512-B-FTI-972854c0b9c0,,FTI,BUY,135.0,,,,,pending,,,
main,r1k-M-20260512-B-VRT-54c53c8d7d25,,VRT,BUY,17.0,,,,,pending,,,
main,r1k-M-20260512-B-PR-b8ddc27c99f7,,PR,BUY,239.0,,,,,pending,,,
main,r1k-M-20260512-B-LRCX-8bb71d1b9a97,,LRCX,BUY,5.0,,,,,pending,,,
concentrated,r1k-C-20260512-S-ETR-edb9503b12af,,ETR,SELL,3143.0,,,,,pending,,,
concentrated,r1k-C-20260512-S-PR-440b0a80b6ed,,PR,SELL,17537.0,,,,,pending,,,
concentrated,r1k-C-20260512-S-PEG-d69577c5a9ef,,PEG,SELL,2269.0,,,,,pending,,,
concentrated,r1k-C-20260512-B-GLW-e20386697d81,,GLW,BUY,1709.0,,,,,pending,,,
concentrated,r1k-C-20260512-B-WDC-f11cce1037c8,,WDC,BUY,658.0,,,,,pending,,,
concentrated,r1k-C-20260512-B-MU-c9520f877d0e,,MU,BUY,307.0,,,,,pending,,,
