adaptive_rebalance_policy,avg_rebalance_interval_months,rebalance_count,rebalanced_month_ratio,strategy_cagr,benchmark_cagr,excess_cagr,sharpe,sortino,max_dd,ir,beat_month_ratio,avg_turnover_monthly,avg_cash_weight,avg_stock_names,rebalance_interval_months,trade_cost_bps_per_side,starting_capital_usd,ending_capital_usd,months,benchmark_source,portfolio_mode,policy_mode,sleeve_test,sleeve_role,target_stock_names,weighting_mode,comparison_objective
False,1.0,83,1.0,0.5567892279241431,0.12431659548690965,0.43247263243723344,1.591294967363631,5.463681723188418,-0.20080637064264284,1.3734551506324133,0.5903614457831325,0.715339277576039,0.08814668226316218,2.0,1,25.0,100000.0,2135942.5805495903,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,2,winner_take_all,0.673023339147784
False,1.0,83,1.0,0.5567892279241431,0.12431659548690965,0.43247263243723344,1.591294967363631,5.463681723188419,-0.20080637064264284,1.3734551506324133,0.5903614457831325,0.715339277576039,0.08814668226316218,2.0,1,25.0,100000.0,2135942.5805495903,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,2,score_power,0.673023339147784
False,1.0,83,1.0,0.5567892279241429,0.12431659548690965,0.4324726324372332,1.591294967363631,5.463681723188419,-0.20080637064264284,1.3734551506324133,0.5903614457831325,0.715339277576039,0.08814668226316218,2.0,1,25.0,100000.0,2135942.5805495884,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,2,conviction_curve,0.6730233391477838
False,1.0,83,1.0,0.47953986235924284,0.12431659548690965,0.3552232668723332,1.7573547279957327,5.34080393871302,-0.14062246663477074,1.5595457359412372,0.5662650602409639,0.6072931918477164,0.0756626456145881,4.0,1,25.0,100000.0,1502136.7509043529,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,4,conviction_curve,0.6274527192588175
False,1.0,83,1.0,0.4988681381851754,0.12431659548690965,0.37455154269826574,1.7104656190978382,5.450184954681614,-0.1826099406307201,1.4706269850124365,0.5783132530120482,0.6342509216855641,0.07531724432943332,3.0,1,25.0,100000.0,1643225.032477503,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,3,conviction_curve,0.6265502583681778
False,1.0,83,1.0,0.4824337955298994,0.12431659548690965,0.35811720004298975,1.7175428735399474,5.274988655825081,-0.17128837486293869,1.471997674033448,0.5783132530120482,0.6169372374315869,0.0782598108087205,3.0,1,25.0,100000.0,1522576.7998506061,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,3,score_power,0.6141333663982446
False,1.0,83,1.0,0.4863002711735662,0.12431659548690965,0.36198367568665657,1.707634058625082,5.32906604951497,-0.18084802782005338,1.469286879853444,0.5662650602409639,0.6377444751818477,0.07514744441302247,3.0,1,25.0,100000.0,1550256.9467732254,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,3,winner_take_all,0.612810012871544
False,1.0,83,1.0,0.4605083122897511,0.12431659548690965,0.33619171680284143,1.7638123142404327,5.220345466470033,-0.15588542946588124,1.5523345626188525,0.6024096385542169,0.590247249470038,0.08039468276916893,5.0,1,25.0,100000.0,1373471.214772662,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,5,conviction_curve,0.601612070940483
False,2.0,42,0.5060240963855421,0.4608350050514627,0.12431659548690965,0.33651840956455303,1.517899632581871,5.254396319375941,-0.1174161944714226,1.129018459950536,0.5783132530120482,0.39372052280313663,0.0997828191243666,1.951219512195122,2,25.0,100000.0,1375597.5869669593,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,2,winner_take_all,0.5986457187715004
False,2.0,42,0.5060240963855421,0.4608350050514627,0.12431659548690965,0.33651840956455303,1.517899632581871,5.254396319375941,-0.1174161944714226,1.129018459950536,0.5783132530120482,0.39372052280313663,0.0997828191243666,1.951219512195122,2,25.0,100000.0,1375597.5869669593,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,2,score_power,0.5986457187715004
