rebalance_date,ticker,weight,Name,sector,portfolio_sleeve_label,concentrated_selection_source,portfolio_defensive_rotation_action,market_circuit_state,market_circuit_multiplier,market_circuit_source_rebalance_date,market_circuit_target_book
2019-05-31,PEG,0.1150520496332599,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,early_scout,preferred_final_label,neutral,caution,0.6,2019-05-31,True
2019-05-31,ORLY,0.10388477096806902,OREILLY AUTOMOTIVE INC,Consumer Discretionary,early_scout,preferred_final_label,neutral,caution,0.6,2019-05-31,True
2019-05-31,ELS,0.08806239401830872,EQUITY LIFESTYLE PROPERTIES REIT I,Real Estate,early_scout,preferred_final_label,neutral,caution,0.6,2019-05-31,True
2019-05-31,FDS,0.08621900603997905,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,preferred_final_label,neutral,caution,0.6,2019-05-31,True
2019-05-31,WRB,0.07939101453302645,WR BERKLEY CORP,Financials,early_scout,preferred_final_label,neutral,caution,0.6,2019-05-31,True
2019-05-31,TSCO,0.0743559884988942,TRACTOR SUPPLY,Consumer Discretionary,early_scout,preferred_final_label,neutral,caution,0.6,2019-05-31,True
2019-05-31,AMT,0.053034776308462504,AMERICAN TOWER REIT CORP,Real Estate,future_winner,preferred_final_label,neutral,caution,0.6,2019-05-31,True
2019-06-03,PEG,0.0479383540138583,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,early_scout,preferred_final_label,neutral,crisis,0.25,2019-05-31,True
2019-06-03,ORLY,0.04328532123669542,OREILLY AUTOMOTIVE INC,Consumer Discretionary,early_scout,preferred_final_label,neutral,crisis,0.25,2019-05-31,True
2019-06-03,ELS,0.0366926641742953,EQUITY LIFESTYLE PROPERTIES REIT I,Real Estate,early_scout,preferred_final_label,neutral,crisis,0.25,2019-05-31,True
2019-06-03,FDS,0.035924585849991274,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,preferred_final_label,neutral,crisis,0.25,2019-05-31,True
2019-06-03,WRB,0.03307958938876102,WR BERKLEY CORP,Financials,early_scout,preferred_final_label,neutral,crisis,0.25,2019-05-31,True
2019-06-03,TSCO,0.03098166187453925,TRACTOR SUPPLY,Consumer Discretionary,early_scout,preferred_final_label,neutral,crisis,0.25,2019-05-31,True
2019-06-03,AMT,0.022097823461859376,AMERICAN TOWER REIT CORP,Real Estate,future_winner,preferred_final_label,neutral,crisis,0.25,2019-05-31,True
2019-06-11,PEG,0.1150520496332599,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,early_scout,preferred_final_label,neutral,caution,0.6,2019-05-31,True
2019-06-11,ORLY,0.10388477096806902,OREILLY AUTOMOTIVE INC,Consumer Discretionary,early_scout,preferred_final_label,neutral,caution,0.6,2019-05-31,True
2019-06-11,ELS,0.08806239401830872,EQUITY LIFESTYLE PROPERTIES REIT I,Real Estate,early_scout,preferred_final_label,neutral,caution,0.6,2019-05-31,True
2019-06-11,FDS,0.08621900603997905,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,preferred_final_label,neutral,caution,0.6,2019-05-31,True
2019-06-11,WRB,0.07939101453302645,WR BERKLEY CORP,Financials,early_scout,preferred_final_label,neutral,caution,0.6,2019-05-31,True
2019-06-11,TSCO,0.0743559884988942,TRACTOR SUPPLY,Consumer Discretionary,early_scout,preferred_final_label,neutral,caution,0.6,2019-05-31,True
2019-06-11,AMT,0.053034776308462504,AMERICAN TOWER REIT CORP,Real Estate,future_winner,preferred_final_label,neutral,caution,0.6,2019-05-31,True
2019-06-12,PEG,0.1917534160554332,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,early_scout,preferred_final_label,neutral,normal,1.0,2019-05-31,True
2019-06-12,ORLY,0.1731412849467817,OREILLY AUTOMOTIVE INC,Consumer Discretionary,early_scout,preferred_final_label,neutral,normal,1.0,2019-05-31,True
2019-06-12,ELS,0.1467706566971812,EQUITY LIFESTYLE PROPERTIES REIT I,Real Estate,early_scout,preferred_final_label,neutral,normal,1.0,2019-05-31,True
2019-06-12,FDS,0.1436983433999651,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,preferred_final_label,neutral,normal,1.0,2019-05-31,True
2019-06-12,WRB,0.1323183575550441,WR BERKLEY CORP,Financials,early_scout,preferred_final_label,neutral,normal,1.0,2019-05-31,True
2019-06-12,TSCO,0.123926647498157,TRACTOR SUPPLY,Consumer Discretionary,early_scout,preferred_final_label,neutral,normal,1.0,2019-05-31,True
2019-06-12,AMT,0.0883912938474375,AMERICAN TOWER REIT CORP,Real Estate,future_winner,preferred_final_label,neutral,normal,1.0,2019-05-31,True
2019-06-28,PEG,0.1754399302344647,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,early_scout,preferred_final_label,neutral,normal,1.0,2019-06-28,True
2019-06-28,FDS,0.1753292568676166,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,preferred_final_label,neutral,normal,1.0,2019-06-28,True
2019-06-28,TSCO,0.1565386991001784,TRACTOR SUPPLY,Consumer Discretionary,early_scout,preferred_final_label,neutral,normal,1.0,2019-06-28,True
2019-06-28,ELS,0.1458337671310365,EQUITY LIFESTYLE PROPERTIES REIT I,Real Estate,early_scout,preferred_final_label,neutral,normal,1.0,2019-06-28,True
2019-06-28,ORLY,0.1222566486713503,OREILLY AUTOMOTIVE INC,Consumer Discretionary,early_scout,preferred_final_label,neutral,normal,1.0,2019-06-28,True
2019-06-28,APH,0.1161656622398927,AMPHENOL CORP CLASS A,Information Technology,early_scout,preferred_final_label,neutral,normal,1.0,2019-06-28,True
2019-06-28,EXR,0.1084360357554605,EXTRA SPACE STORAGE REIT INC,Real Estate,early_scout,preferred_final_label,neutral,normal,1.0,2019-06-28,True
2019-07-31,ORLY,0.2043857505686093,OREILLY AUTOMOTIVE INC,Consumer Discretionary,early_scout,preferred_final_label,neutral,normal,1.0,2019-07-31,True
2019-07-31,CBRE,0.1664763944552492,CBRE GROUP INC CLASS A,Real Estate,early_scout,preferred_final_label,neutral,normal,1.0,2019-07-31,True
2019-07-31,WRB,0.1578758960976279,WR BERKLEY CORP,Financials,early_scout,preferred_final_label,neutral,normal,1.0,2019-07-31,True
2019-07-31,TSCO,0.1357163729387527,TRACTOR SUPPLY,Consumer Discretionary,early_scout,preferred_final_label,neutral,normal,1.0,2019-07-31,True
2019-07-31,CBOE,0.1261831377600824,CBOE GLOBAL MARKETS INC,Financials,early_scout,preferred_final_label,neutral,normal,1.0,2019-07-31,True
2019-07-31,GL,0.1051528102313362,GLOBE LIFE INC,Financials,early_scout,preferred_final_label,neutral,normal,1.0,2019-07-31,True
2019-07-31,XPO,0.1042096379483422,XPO INC,Industrials,early_scout,preferred_final_label,neutral,normal,1.0,2019-07-31,True
2019-08-23,ORLY,0.12263145034116557,OREILLY AUTOMOTIVE INC,Consumer Discretionary,early_scout,preferred_final_label,neutral,caution,0.6,2019-07-31,True
