rebalance_date,source_rebalance_date,state,multiplier,stock_weight_sum
2019-05-31,2019-05-31,caution,0.6,0.5999999999999999
2019-06-03,2019-05-31,crisis,0.25,0.24999999999999994
2019-06-11,2019-05-31,caution,0.6,0.5999999999999999
2019-06-12,2019-05-31,normal,1.0,0.9999999999999998
2019-06-28,2019-06-28,normal,1.0,0.9999999999999997
2019-07-31,2019-07-31,normal,1.0,0.9999999999999999
2019-08-23,2019-07-31,caution,0.6,0.5999999999999999
2019-08-30,2019-08-30,caution,0.6,0.5999999999999998
2019-09-09,2019-08-30,normal,1.0,0.9999999999999996
2019-09-30,2019-09-30,normal,1.0,0.9999999999999997
2019-10-31,2019-10-31,normal,1.0,0.9999999999999998
2019-11-29,2019-11-29,normal,1.0,0.9999999999999997
2019-12-31,2019-12-31,normal,1.0,0.9999999999999996
2020-01-31,2020-01-31,normal,1.0,0.9999999999999999
2020-02-27,2020-01-31,caution,0.6,0.6
2020-02-28,2020-02-28,caution,0.6,0.5999999999999999
2020-03-09,2020-02-28,crisis,0.25,0.24999999999999994
2020-03-26,2020-02-28,caution,0.6,0.5999999999999999
2020-03-27,2020-02-28,crisis,0.25,0.24999999999999994
2020-03-30,2020-02-28,caution,0.6,0.5999999999999999
2020-03-31,2020-03-31,crisis,0.25,0.24999999999999994
2020-04-02,2020-03-31,caution,0.6,0.5999999999999999
2020-04-03,2020-03-31,crisis,0.25,0.24999999999999994
2020-04-06,2020-03-31,caution,0.6,0.5999999999999999
2020-04-07,2020-03-31,normal,1.0,0.9999999999999998
2020-04-30,2020-04-30,normal,1.0,0.9999999999999997
2020-05-29,2020-05-29,normal,1.0,0.9999999999999998
2020-06-30,2020-06-30,normal,1.0,0.9999999999999996
2020-07-31,2020-07-31,normal,1.0,0.9999999999999997
2020-08-31,2020-08-31,normal,1.0,0.9999999999999997
2020-09-16,2020-08-31,caution,0.6,0.5999999999999998
2020-09-30,2020-09-30,caution,0.6,0.5999999999999998
2020-10-01,2020-09-30,normal,1.0,0.9999999999999997
2020-10-30,2020-10-30,normal,1.0,0.9999999999999997
2020-11-30,2020-11-30,normal,1.0,0.9999999999999994
2020-12-31,2020-12-31,normal,1.0,0.9999999999999998
2021-01-29,2021-01-29,normal,1.0,0.9999999999999998
2021-02-26,2021-02-26,normal,1.0,0.9999999999999997
2021-03-04,2021-02-26,caution,0.6,0.5999999999999999
2021-03-17,2021-02-26,normal,1.0,0.9999999999999997
2021-03-18,2021-02-26,caution,0.6,0.5999999999999999
2021-03-22,2021-02-26,normal,1.0,0.9999999999999997
