row_type,ticker,projected_shares,reference_price,projected_market_value_usd,projected_weight
equity,MRVL,1899.0,196.3300018310547,372830.67347717285,0.4261980226266743
equity,ARM,1209.0,306.510009765625,370570.6018066406,0.4236144420752356
equity,MTSI,340.0,385.9800109863281,131233.20373535156,0.15001805353977885
cash,CASH,0.0,1.0,148.2597167013737,0.00016948175831135086
