rebalance_date,ticker,action,reason,stage,score
2019-04-30,NOW,enter,baseline_lifecycle_scout,scout,1.3937867631100012
2019-04-30,CDNS,enter,baseline_lifecycle_scout,scout,1.354793679000251
2019-04-30,V,enter,baseline_lifecycle_scout,scout,0.9615086106713292
2019-05-31,NOW,hold,hold,confirm,0.9170761070524543
2019-05-31,CDNS,hold,watch_stale,scout,0.31653164934207384
2019-05-31,V,hold,hold,confirm,0.7472355771963457
2019-05-31,SHOP,enter,baseline_lifecycle_scout,scout,0.9384735551388381
2019-05-31,AMT,enter,baseline_lifecycle_scout,scout,0.8207070315426002
2019-05-31,SUI,enter,baseline_lifecycle_scout,scout,0.7434140387623461
2019-06-28,NOW,hold,hold,confirm,0.8012636830528431
2019-06-28,CDNS,hold,hold,confirm,0.8187930439019371
2019-06-28,V,hold,hold,winner,0.829219188085756
2019-06-28,SHOP,hold,hold,confirm,0.7735126666075582
2019-06-28,AMT,hold,watch_stale,scout,0.24361696784138007
2019-06-28,SUI,hold,hold,scout,0.5163654307453264
2019-06-28,ADBE,enter,baseline_lifecycle_scout,scout,1.1448186604120392
2019-06-28,HEI,enter,baseline_lifecycle_scout,scout,1.0821287080034718
2019-06-28,HD,enter,baseline_lifecycle_scout,scout,0.7909097994198194
2019-07-31,NOW,hold,watch_stale,confirm,0.05311922659853491
2019-07-31,CDNS,hold,hold,confirm,0.5871166433404077
2019-07-31,V,hold,hold,winner,0.3894464907158254
2019-07-31,SHOP,hold,hold,confirm,0.5213499421095262
2019-07-31,AMT,exit,stale_leader_review_exit,scout,
2019-07-31,SUI,hold,hold,scout,0.4335761391752056
2019-07-31,ADBE,hold,hold,confirm,0.9003918798650045
2019-07-31,HEI,hold,hold,confirm,0.9881118330749771
2019-07-31,HD,hold,hold,confirm,0.8727548801552746
2019-07-31,MA,enter,baseline_lifecycle_scout,scout,0.7994470107712407
2019-07-31,ORCL,enter,baseline_lifecycle_scout,scout,0.5714400059365015
2019-07-31,T,enter,baseline_lifecycle_scout,scout,0.5507802655875483
2019-08-30,NOW,hold,watch_stale,confirm,0.16781699743198247
2019-08-30,CDNS,hold,watch_stale,confirm,0.12343599972908181
2019-08-30,V,hold,hold,winner,0.4984610848172851
2019-08-30,SHOP,hold,hold,winner,0.7645997896743187
2019-08-30,SUI,hold,hold,confirm,0.5141509148844859
2019-08-30,ADBE,hold,hold,confirm,0.4504291427019769
2019-08-30,HEI,hold,hold,winner,0.9317420252564578
2019-08-30,HD,hold,watch_stale,confirm,0.2889599856129028
2019-08-30,MA,hold,hold,confirm,0.9655827468328013
2019-08-30,ORCL,hold,watch_stale,scout,-0.12653906353599964
2019-08-30,T,hold,hold,scout,0.4958355149430567
2019-08-30,DG,enter,baseline_lifecycle_scout,scout,0.8328294531611677
2019-09-30,NOW,exit,stale_leader_review_exit,confirm,
2019-09-30,CDNS,exit,stale_leader_review_exit,confirm,
2019-09-30,V,exit,missing_return_row,winner,
2019-09-30,SHOP,hold,watch_stale,winner,-0.3588183674073462
2019-09-30,SUI,hold,hold,confirm,0.5386279764377748
2019-09-30,ADBE,hold,watch_stale,confirm,-0.1675894557266383
2019-09-30,HEI,hold,watch_stale,winner,-0.1645039534931478
2019-09-30,HD,exit,stale_leader_review_exit,confirm,
2019-09-30,MA,hold,watch_stale,confirm,0.12745025081871875
2019-09-30,ORCL,hold,watch_stale,scout,0.28959918677913893
2019-09-30,T,hold,hold,scout,0.5381467479903713
2019-09-30,DG,hold,hold,confirm,0.915903269739422
2019-09-30,MDT,enter,baseline_lifecycle_scout,scout,0.9129462727930534
2019-09-30,NEE,enter,baseline_lifecycle_scout,scout,0.7992129251610488
2019-09-30,DUK,enter,baseline_lifecycle_scout,scout,0.7025782466576989
2019-10-31,SHOP,exit,stale_leader_review_exit,winner,
2019-10-31,SUI,hold,hold,confirm,0.767398559750071
2019-10-31,ADBE,hold,watch_stale,confirm,0.17210857205452568
2019-10-31,HEI,exit,stale_leader_review_exit,winner,
2019-10-31,MA,exit,stale_leader_review_exit,confirm,
2019-10-31,ORCL,exit,stale_leader_review_exit,scout,
2019-10-31,T,hold,hold,confirm,0.6083648496234584
2019-10-31,DG,hold,hold,winner,1.009486790631988
2019-10-31,MDT,hold,hold,confirm,0.7986776661244077
2019-10-31,NEE,hold,hold,confirm,0.7567528819577736
2019-10-31,DUK,hold,watch_stale,scout,0.21698445221266655
2019-10-31,BKNG,enter,baseline_lifecycle_scout,scout,1.0030054938262316
2019-10-31,COST,enter,baseline_lifecycle_scout,scout,0.9346126888076559
2019-10-31,VICI,enter,baseline_lifecycle_scout,scout,0.8004149271065849
2019-11-29,SUI,hold,watch_stale,confirm,0.2653316148091794
2019-11-29,ADBE,hold,hold,confirm,0.6492274725216133
2019-11-29,T,hold,watch_stale,confirm,-0.37483706905261094
2019-11-29,DG,hold,watch_stale,winner,-0.38395688689157936
2019-11-29,MDT,hold,hold,confirm,0.6122463951606137
2019-11-29,NEE,hold,watch_stale,confirm,0.1866530247287189
2019-11-29,DUK,hold,watch_stale,scout,-0.6479952149810351
2019-11-29,BKNG,hold,watch_stale,scout,-0.6282954195416991
2019-11-29,COST,hold,hold,scout,0.3996192954273304
2019-11-29,VICI,hold,hold,scout,0.4960560646805163
2019-11-29,UNH,enter,baseline_lifecycle_scout,scout,1.114476825696982
2019-11-29,AAPL,enter,baseline_lifecycle_scout,scout,1.0658196275595937
2019-12-31,SUI,exit,stale_leader_review_exit,confirm,
2019-12-31,ADBE,hold,hold,confirm,0.7794503557253483
2019-12-31,T,exit,stale_leader_review_exit,confirm,
2019-12-31,DG,exit,stale_leader_review_exit,winner,
2019-12-31,MDT,hold,hold,confirm,0.6529326067158453
2019-12-31,NEE,exit,stale_leader_review_exit,confirm,
2019-12-31,DUK,exit,stale_leader_review_exit,scout,
2019-12-31,BKNG,hold,hold,scout,0.5625773790874814
2019-12-31,COST,hold,watch_stale,scout,0.0018616306590704679
2019-12-31,VICI,hold,hold,scout,0.45614356540041245
2019-12-31,UNH,hold,hold,confirm,1.2736927168305578
2019-12-31,AAPL,hold,hold,confirm,0.8719413705263799
2019-12-31,BAC,enter,baseline_lifecycle_scout,scout,0.9131480554398625
2019-12-31,BABA,enter,baseline_lifecycle_scout,scout,0.8985686666759863
2019-12-31,CPRT,enter,baseline_lifecycle_scout,scout,0.6822850326767841
2020-01-31,ADBE,hold,hold,winner,1.4705526473134862
2020-01-31,MDT,hold,hold,confirm,0.5469675202123914
2020-01-31,BKNG,hold,watch_stale,scout,-1.0669867540212783
2020-01-31,COST,hold,hold,scout,0.4863332215954889
2020-01-31,VICI,hold,hold,confirm,0.538195783990207
2020-01-31,UNH,hold,watch_stale,confirm,0.13329660996215298
2020-01-31,AAPL,hold,hold,confirm,0.605860006799949
2020-01-31,BAC,hold,watch_stale,scout,-0.06209694671488525
2020-01-31,BABA,hold,watch_stale,scout,0.3188659943862831
2020-01-31,CPRT,hold,hold,confirm,0.8144910424671558
2020-01-31,SHOP,enter,baseline_lifecycle_scout,scout,0.7317915325685705
2020-01-31,MSFT,enter,baseline_lifecycle_scout,scout,0.5468539690323688
2020-02-28,ADBE,hold,hold,winner,0.7423301478769928
2020-02-28,MDT,hold,watch_stale,confirm,-0.5590385346501282
2020-02-28,BKNG,exit,failed_scout_timeout,scout,
2020-02-28,COST,exit,failed_scout_timeout,scout,
2020-02-28,VICI,hold,watch_stale,confirm,-0.15294847373319745
2020-02-28,UNH,exit,stale_leader_review_exit,confirm,
2020-02-28,AAPL,hold,watch_stale,confirm,-0.27170183667172754
2020-02-28,BAC,exit,stale_leader_review_exit,scout,
2020-02-28,BABA,hold,hold,scout,0.6372896126590986
2020-02-28,CPRT,hold,watch_stale,confirm,-0.40469799017769326
2020-02-28,SHOP,hold,hold,confirm,0.7697090188541372
2020-02-28,MSFT,hold,watch_stale,scout,-6.045018970485261e-05
2020-02-28,NOW,enter,baseline_lifecycle_scout,scout,1.1010796129006128
2020-03-31,ADBE,hold,watch_stale,winner,0.2992704973696359
2020-03-31,MDT,exit,stale_leader_review_exit,confirm,
2020-03-31,VICI,exit,distribution_breakdown,confirm,
2020-03-31,AAPL,exit,stale_leader_review_exit,confirm,
2020-03-31,BABA,hold,hold,scout,0.3826722868317122
2020-03-31,CPRT,exit,stale_leader_review_exit,confirm,
2020-03-31,SHOP,hold,watch_stale,confirm,-0.04687151724185773
2020-03-31,MSFT,hold,watch_stale,scout,0.17339604124261826
2020-03-31,NOW,hold,hold,scout,0.5338433375800777
2020-03-31,VRTX,enter,baseline_lifecycle_scout,scout,1.136618411330347
2020-03-31,JD,enter,baseline_lifecycle_scout,scout,1.0470502927433019
2020-03-31,VEEV,enter,baseline_lifecycle_scout,scout,0.7162251272842172
2020-04-30,ADBE,hold,hold,winner,0.9176922879782187
2020-04-30,BABA,hold,hold,confirm,0.9058247714466425
2020-04-30,SHOP,trim,distribution_trim,winner,0.7562706507960221
2020-04-30,MSFT,hold,hold,confirm,0.768340948899594
2020-04-30,NOW,hold,hold,confirm,1.1452268515189454
2020-04-30,VRTX,hold,hold,confirm,0.9860101873864291
2020-04-30,JD,hold,hold,confirm,0.9295180172794579
2020-04-30,VEEV,hold,hold,confirm,1.082283376778336
2020-04-30,AMZN,enter,baseline_lifecycle_scout,scout,1.700709905413652
2020-04-30,ZTO,enter,baseline_lifecycle_scout,scout,1.2759082752696929
2020-04-30,MRNA,enter,baseline_lifecycle_scout,scout,1.0439969341962363
2020-05-29,ADBE,hold,hold,monster,0.9800907966274588
2020-05-29,BABA,hold,watch_stale,confirm,0.3569635822977355
2020-05-29,SHOP,hold,hold,winner,0.6892242403771801
2020-05-29,MSFT,hold,hold,confirm,0.7071461222322454
2020-05-29,NOW,hold,hold,winner,1.1062504341806978
2020-05-29,VRTX,hold,hold,winner,1.0327802620741946
2020-05-29,JD,hold,hold,winner,0.8029707427907784
2020-05-29,VEEV,hold,hold,winner,1.1792068217873704
2020-05-29,AMZN,hold,hold,confirm,1.2801319411131056
2020-05-29,ZTO,hold,hold,confirm,0.883525986226376
2020-05-29,MRNA,trim,distribution_trim,confirm,0.4384273004895801
2020-05-29,META,enter,baseline_lifecycle_scout,scout,1.098473498801679
2020-06-30,ADBE,hold,hold,monster,1.1017853076397892
2020-06-30,BABA,hold,hold,confirm,0.3706579839090161
2020-06-30,SHOP,trim,distribution_trim,monster,1.077698405657359
2020-06-30,MSFT,hold,hold,confirm,0.5463471125727081
2020-06-30,NOW,hold,hold,monster,1.1731336049532453
2020-06-30,VRTX,hold,hold,winner,0.6840172847717345
2020-06-30,JD,hold,hold,winner,0.6614541005683316
2020-06-30,VEEV,hold,hold,monster,1.0562234090989548
2020-06-30,AMZN,hold,hold,winner,1.0738109384676835
2020-06-30,ZTO,hold,hold,confirm,0.5603905280610555
2020-06-30,MRNA,hold,hold,confirm,0.5562108600045145
2020-06-30,META,hold,hold,confirm,0.9916036717237159
2020-07-31,ADBE,hold,hold,monster,0.936846463607354
2020-07-31,BABA,hold,hold,confirm,0.6285163123050015
2020-07-31,SHOP,hold,hold,monster,0.4346594569270132
2020-07-31,MSFT,hold,hold,confirm,0.5653661696103316
2020-07-31,NOW,hold,hold,monster,0.8740417028675352
2020-07-31,VRTX,exit,stale_leader_review_exit,winner,
2020-07-31,JD,hold,hold,winner,0.7193718378827108
2020-07-31,VEEV,hold,hold,monster,1.1381167198653896
2020-07-31,AMZN,hold,hold,winner,0.8856157702795973
2020-07-31,ZTO,hold,hold,confirm,0.5740147983523136
2020-07-31,MRNA,exit,stale_leader_review_exit,confirm,
2020-07-31,META,exit,missing_return_row,confirm,
2020-07-31,XYZ,enter,baseline_lifecycle_scout,scout,1.5425470261696477
2020-07-31,CTAS,enter,baseline_lifecycle_scout,scout,0.9773320829375846
2020-07-31,DOCU,enter,baseline_lifecycle_scout,scout,0.951286334913987
2020-08-31,ADBE,hold,hold,monster,1.104772879510926
2020-08-31,BABA,hold,hold,winner,0.9583897396724919
2020-08-31,SHOP,hold,hold,monster,0.44634271711998674
2020-08-31,MSFT,hold,hold,confirm,0.8076603056670614
2020-08-31,NOW,hold,hold,monster,0.8561994929988569
2020-08-31,JD,hold,hold,winner,0.7670077101021923
2020-08-31,VEEV,hold,hold,monster,1.026254632468449
2020-08-31,AMZN,hold,hold,monster,1.127078118638348
2020-08-31,ZTO,hold,watch_stale,confirm,-0.3050926876541211
2020-08-31,XYZ,trim,distribution_trim,confirm,0.9515578954443057
2020-08-31,CTAS,hold,hold,confirm,0.9311492712108937
2020-08-31,DOCU,hold,hold,confirm,0.4595707454679742
2020-09-30,ADBE,hold,hold,monster,0.4586169585723624
2020-09-30,BABA,hold,hold,monster,0.974729616500377
2020-09-30,SHOP,hold,watch_stale,monster,0.28514552088096917
2020-09-30,MSFT,hold,watch_stale,confirm,0.3304868960294274
2020-09-30,NOW,hold,hold,monster,0.7553729733001441
2020-09-30,JD,hold,hold,winner,0.5147242487982268
2020-09-30,VEEV,hold,hold,monster,0.6090350761881845
2020-09-30,AMZN,hold,watch_stale,monster,0.03883516778344526
2020-09-30,ZTO,exit,stale_leader_review_exit,confirm,
2020-09-30,XYZ,hold,hold,confirm,0.534186588584045
2020-09-30,CTAS,hold,hold,winner,0.8910182774650891
2020-09-30,DOCU,hold,watch_stale,confirm,0.24513429225133543
2020-09-30,CPRT,enter,baseline_lifecycle_scout,scout,1.0089072968140866
2020-10-30,ADBE,hold,watch_stale,monster,-0.24563775618966893
2020-10-30,BABA,hold,hold,monster,0.7231247037433
2020-10-30,SHOP,exit,stale_leader_review_exit,monster,
2020-10-30,MSFT,hold,watch_stale,confirm,-0.41621708840132843
2020-10-30,NOW,hold,hold,monster,0.36480032903122905
2020-10-30,JD,hold,hold,monster,0.4140951543610501
2020-10-30,VEEV,hold,watch_stale,monster,-0.24470964646894014
2020-10-30,AMZN,hold,watch_stale,monster,-0.2584112260134448
2020-10-30,XYZ,hold,watch_stale,confirm,-0.47541554326377555
2020-10-30,CTAS,hold,watch_stale,winner,0.10666711198563306
2020-10-30,DOCU,exit,stale_leader_review_exit,confirm,
2020-10-30,CPRT,hold,hold,confirm,0.8244154377600903
2020-10-30,GOOGL,enter,baseline_lifecycle_scout,scout,0.8907960349277079
2020-10-30,CSX,enter,baseline_lifecycle_scout,scout,0.5398192576895895
2020-11-30,ADBE,hold,watch_stale,monster,-0.38230653002105025
2020-11-30,BABA,hold,watch_stale,monster,-0.3341714863474886
2020-11-30,MSFT,exit,stale_leader_review_exit,confirm,
2020-11-30,NOW,hold,watch_stale,monster,0.33353589724740285
2020-11-30,JD,hold,watch_stale,monster,0.24740414121290388
2020-11-30,VEEV,exit,stale_leader_review_exit,monster,
2020-11-30,AMZN,exit,stale_leader_review_exit,monster,
2020-11-30,XYZ,exit,stale_leader_review_exit,confirm,
2020-11-30,CTAS,hold,hold,winner,0.5258484011521461
2020-11-30,CPRT,hold,hold,confirm,0.6329298747209298
2020-11-30,GOOGL,hold,hold,confirm,0.8439555151311945
2020-11-30,CSX,hold,hold,confirm,0.5437491877560885
2020-11-30,LRCX,enter,baseline_lifecycle_scout,scout,1.205499157610086
2020-11-30,GOOG,enter,baseline_lifecycle_scout,scout,0.8730116562072241
2020-11-30,QCOM,enter,baseline_lifecycle_scout,scout,0.7990434692609348
2020-12-31,ADBE,exit,stale_leader_review_exit,monster,
2020-12-31,BABA,exit,stale_leader_review_exit,monster,
2020-12-31,NOW,hold,watch_stale,monster,0.17719568211355438
2020-12-31,JD,exit,stale_leader_review_exit,monster,
2020-12-31,CTAS,hold,hold,winner,0.3873631039810912
2020-12-31,CPRT,hold,hold,confirm,0.7133624929170038
2020-12-31,GOOGL,hold,hold,confirm,0.7420475228777224
2020-12-31,CSX,hold,hold,confirm,0.4123587921006808
2020-12-31,LRCX,hold,hold,confirm,1.0203326359606972
2020-12-31,GOOG,hold,hold,confirm,0.7627299753687968
2020-12-31,QCOM,hold,hold,scout,0.6375335075895989
2020-12-31,AAPL,enter,baseline_lifecycle_scout,scout,0.6485672591446765
2020-12-31,TTWO,enter,baseline_lifecycle_scout,scout,0.4700965715276796
2020-12-31,ORCL,enter,baseline_lifecycle_scout,scout,0.4671288807592693
2021-01-29,NOW,exit,stale_leader_review_exit,monster,
2021-01-29,CTAS,hold,watch_stale,winner,-0.27806784676910207
2021-01-29,CPRT,hold,watch_stale,confirm,-0.1891590987829518
2021-01-29,GOOGL,hold,hold,confirm,0.807601799325509
2021-01-29,CSX,hold,watch_stale,confirm,-0.3220963092562168
2021-01-29,LRCX,hold,hold,confirm,0.4893362084157778
2021-01-29,GOOG,hold,hold,winner,0.8451570208907281
2021-01-29,QCOM,hold,hold,confirm,0.6404570571101661
2021-01-29,AAPL,hold,hold,scout,0.5631039082122141
2021-01-29,TTWO,hold,watch_stale,scout,0.30552069536686455
2021-01-29,ORCL,hold,watch_stale,scout,-0.17605027198591874
2021-01-29,AMAT,enter,baseline_lifecycle_scout,scout,1.3147805055147657
2021-01-29,PDD,enter,baseline_lifecycle_scout,scout,0.5803529805332259
2021-02-26,CTAS,exit,stale_leader_review_exit,winner,
2021-02-26,CPRT,exit,stale_leader_review_exit,confirm,
2021-02-26,GOOGL,hold,hold,confirm,0.7184599899429694
2021-02-26,CSX,exit,stale_leader_review_exit,confirm,
2021-02-26,LRCX,hold,hold,winner,0.9462510148294027
2021-02-26,GOOG,hold,hold,winner,0.753177920871641
2021-02-26,QCOM,hold,watch_stale,confirm,-0.4535884819052963
2021-02-26,AAPL,hold,watch_stale,scout,-0.13558377259212034
2021-02-26,TTWO,exit,stale_leader_review_exit,scout,
2021-02-26,ORCL,hold,hold,scout,0.574141837380202
2021-02-26,AMAT,hold,hold,confirm,1.2300267858885585
2021-02-26,PDD,hold,watch_stale,scout,-0.20599701111053184
2021-02-26,DXCM,enter,baseline_lifecycle_scout,scout,1.0064605260992094
2021-02-26,ETSY,enter,baseline_lifecycle_scout,scout,0.7157909778499877
2021-02-26,PYPL,enter,baseline_lifecycle_scout,scout,0.5262941619356875
2021-03-31,GOOGL,hold,hold,winner,0.8954645651793427
2021-03-31,LRCX,hold,hold,monster,1.1038255307907443
2021-03-31,GOOG,hold,hold,winner,0.8985276384392208
2021-03-31,QCOM,hold,watch_stale,confirm,-0.2920247909686009
