signal,ic_all,n_all,ic_deep_bear,n_deep_bear,ic_bear,n_bear,ic_neutral,n_neutral,ic_bull,n_bull,ic_strong_bull,n_strong_bull
rs_acceleration_score,0.05571047236931081,995,0.19999999999999998,9,0.03019896088421653,148,0.026052182918485694,374,0.11760322805614398,201,,5
h1_oversold_value_score,0.03764109215159074,995,-0.13693063937629152,9,,148,0.015116903429061376,374,,201,,5
h6_dynamic_leader_score,0.01110633879925485,995,-0.27386127875258304,9,-0.024234800054161103,148,0.047313476684377125,374,0.07142011670314062,201,,5
stage2_overext_penalty,,995,,9,,148,,374,,201,,5
theme_phase_multiplier_primary,-0.06286422465604205,995,-0.07905694150420947,9,-0.0206953901217874,148,-0.05337274419977085,374,0.024390244932311858,201,,5
theme_phase_multiplier_max,-0.04961310465061187,995,0.21374549001774043,9,0.0045586184308415755,148,-0.05873347195643567,374,0.0867644910325192,201,,5
explosion_entry_score,,995,,9,,148,,374,,201,,5
explosion_exit_score,,995,,9,,148,,374,,201,,5
explosion_net_score,,995,,9,,148,,374,,201,,5
portfolio_monster_early_score,0.05045529778006698,995,,9,,148,,374,,201,,5
entry_quality_score,-0.02338532992336201,995,-0.1276884796138123,9,0.03982211716091908,148,-0.003761692778283271,374,0.039914490185481946,201,,5
breakout_setup_quality_score,,995,,9,,148,,374,,201,,5
selection_confirmation_score,-0.019277032487212586,995,-0.5477225575051661,9,-0.006063252960032199,148,0.09287775392441368,374,0.03037800749010664,201,,5
portfolio_risk_entry_block_score,0.042353162032617596,995,,9,,148,,374,,201,,5
portfolio_hold_policy_exit_risk,,995,,9,,148,,374,,201,,5
broken_momentum_penalty,,995,,9,,148,,374,,201,,5
relative_strength_composite,,995,,9,,148,,374,,201,,5
