rebalance_date,regime_label,rebalance_action,reported_cash_weight,book_explicit_cash_weight,book_stock_weight_sum,book_total_weight_sum,reported_vs_book_cash_gap,cash_target_used,target_defense_cash,excess_cash_over_target,possible_idle_cash,drawdown_or_risk_defense,confirmed_macro_defense,event_shock_without_confirmation,partial_rebalance,stock_count,target_n,drawdown_before_month,drawdown_after_month,next_rebalance_date,primary_cash_reason
2019-04-30,balanced,initial_rebalance,0.2520192884800216,0.0,0.9999999999999994,0.9999999999999994,0.2520192884800216,0.0,0.0,0.2520192884800216,True,False,False,False,False,18,18.0,0.0,-0.0017198886459116,2019-05-31,cash_export_mismatch
2019-05-31,risk_off_alert,"partial_rebalance:core_compounder,early_scout",0.2930681863231972,0.28,0.7199999999999991,0.9999999999999991,0.013068186323197173,0.28,0.28,0.013068186323197173,False,True,True,False,True,18,18.0,-0.0017198886459116,0.0,2019-06-28,confirmed_macro_defense_cash
2019-06-28,balanced,rebalance,0.0333386914753282,0.0,0.999999999999999,0.999999999999999,0.0333386914753282,0.0,0.0,0.0333386914753282,True,False,False,False,False,25,18.0,0.0,0.0,2019-07-31,cash_export_mismatch
2019-07-31,balanced,"partial_rebalance:core_compounder,early_scout",0.0265996810359647,0.0,0.9999999999999993,0.9999999999999993,0.0265996810359647,0.0,0.0,0.0265996810359647,True,False,False,False,True,18,18.0,0.0,0.0,2019-08-30,cash_export_mismatch
2019-08-30,balanced,rebalance,0.1763191026027508,0.0042176631872555,0.9957823368127442,0.9999999999999997,0.1721014394154953,0.0,0.0,0.1763191026027508,True,False,False,False,False,18,18.0,0.0,-0.0115558146955612,2019-09-30,cash_export_mismatch
2019-09-30,balanced,"partial_rebalance:core_compounder,early_scout",0.0421468294991911,0.0,0.9999999999999988,0.9999999999999988,0.0421468294991911,0.0,0.0,0.0421468294991911,True,False,False,False,True,25,18.0,-0.0115558146955612,0.0,2019-10-31,cash_export_mismatch
2019-10-31,growth_reentry_alert,rebalance,0.0,0.0,0.9999999999999979,0.9999999999999979,0.0,0.0,0.0,0.0,False,False,False,False,False,36,20.0,0.0,0.0,2019-11-29,no_cash
2019-11-29,balanced,"partial_rebalance:core_compounder,early_scout",0.0034437655075844,0.0,0.999999999999998,0.999999999999998,0.0034437655075844,0.0,0.0,0.0034437655075844,False,False,False,False,True,46,20.0,0.0,0.0,2019-12-31,no_cash
2019-12-31,balanced,rebalance,0.0,0.0,0.9999999999999992,0.9999999999999992,0.0,0.0,0.0,0.0,False,False,False,False,False,18,18.0,0.0,0.0,2020-01-31,no_cash
2020-01-31,balanced,"partial_rebalance:core_compounder,early_scout",0.3156614717631477,0.0,0.9999999999999992,0.9999999999999992,0.3156614717631477,0.0,0.0,0.3156614717631477,True,False,False,False,True,18,18.0,0.0,-0.0238365266483447,2020-02-28,cash_export_mismatch
