ticker,hard_exit_signal_found,pressure_event_count,weak_pressure_event_count,first_signal_date,alignment_date,latency_calendar_days,latency_trading_days,latency_censored_at_trough,loss_after_first_signal_usd,first_signal_reason,first_signal_target_weight,first_signal_actual_weight,mtm_pnl_usd,mtm_pnl_pct_of_peak_equity,avg_weight,max_weight,held_days
NET,True,3,0,2021-09-30,2021-10-01,1,2,False,-5130.478065490727,"target_removed,material_reduction",0.0,0.0400120015602218,-8374.189254760742,-0.03246612344151955,0.040854458286663106,0.1150471623991737,29
ENPH,True,2,0,2021-11-30,2021-12-01,1,2,False,-5572.15899658203,material_reduction,0.0708301654349746,0.0993062306292031,-5358.079406738278,-0.020772884650264428,0.07130100439881906,0.1015562132685858,29
U,True,2,0,2021-11-30,2021-12-01,1,2,False,-1803.5702362060547,material_reduction,0.025246338416597,0.0563513617486238,-4235.979705810547,-0.016422585618832673,0.032625378830811784,0.0583568046250831,29
BKR,True,2,1,2022-06-30,2022-07-01,1,2,False,-246.7306900024414,"target_removed,material_reduction",0.0,0.047150444473328,-2859.1771545410156,-0.011084822138182421,0.022194222480712678,0.0575308050554039,62
MOS,True,3,2,2022-06-30,2022-07-01,1,2,False,-171.09363555908203,"target_removed,material_reduction",0.0,0.0446723401760708,-2636.486991882324,-0.010221468553717042,0.02987011370679818,0.0529811125815236,62
SAIA,True,2,0,2021-11-30,2021-12-01,1,2,False,-1222.0099182128906,"target_removed,material_reduction",0.0,0.0863316214226522,-2444.2095336914062,-0.009476022815301341,0.05380455872547364,0.089803993308179,27
MA,True,5,1,2022-02-28,2022-03-01,1,2,False,-1619.0661010742197,material_reduction,0.0218620308865138,0.0506922012856846,-2313.325897216798,-0.008968596464046635,0.028043730703052872,0.0581072932483351,107
DDOG,True,4,0,2021-10-29,2021-11-01,3,2,False,1636.3298034667969,material_reduction,0.0807727723462246,0.1295126550207251,-2175.87071228027,-0.00843569269676084,0.04956376206280659,0.0888568517559213,52
SNOW,True,2,0,2021-10-29,2021-11-01,3,2,False,-41.229949951171875,material_reduction,0.0506042765877299,0.0860927941029991,-2004.7999572753927,-0.007772463806147361,0.05099619771635091,0.0532117964227852,7
CAR,True,2,0,2021-12-31,2022-01-03,3,2,False,-361.6301727294922,"material_reduction,trim_applied",0.0089701592968216,0.0302975432152919,-1921.2499542236328,-0.0074485465133687576,0.02199574890124533,0.0390318767705976,42
NVDA,True,3,0,2021-09-30,2021-10-01,1,2,False,3464.5584278106708,"target_removed,material_reduction",0.0,0.1367205586458242,-1917.711908340451,-0.007434829766482503,0.07842806119646953,0.1369286355328028,49
LPX,True,2,0,2022-03-31,2022-04-01,1,2,False,-1430.8635749816904,target_removed,0.0,0.0186115030655154,-1807.414249420167,-0.007007213754845223,0.02650178244489608,0.0361409518509258,46
