ticker,mtm_pnl_usd,min_weight,max_weight,avg_weight,held_days,first_seen,last_seen,mtm_pnl_pct_of_peak_equity
NET,-8374.189254760742,0.0172477990070056,0.1150471623991737,0.040854458286663106,29,2021-11-19,2021-12-31,-0.03246612344151955
ENPH,-5358.079406738278,0.0562636010716229,0.1015562132685858,0.07130100439881906,29,2021-11-19,2021-12-31,-0.020772884650264428
U,-4235.979705810547,0.0238158204110222,0.0583568046250831,0.032625378830811784,29,2021-11-19,2021-12-31,-0.016422585618832673
BKR,-2859.1771545410156,0.0046952103698578,0.0575308050554039,0.022194222480712678,62,2022-04-01,2022-06-30,-0.011084822138182421
MOS,-2636.486991882324,0.0089738600750624,0.0529811125815236,0.02987011370679818,62,2022-04-01,2022-06-30,-0.010221468553717042
SAIA,-2444.2095336914062,0.0397175178594829,0.089803993308179,0.05380455872547364,27,2021-11-19,2022-01-31,-0.009476022815301341
MA,-2313.325897216798,0.0030013756238209,0.0581072932483351,0.028043730703052872,107,2022-02-01,2022-08-31,-0.008968596464046635
DDOG,-2175.87071228027,0.0172763963328195,0.0888568517559213,0.04956376206280659,52,2021-11-19,2022-03-31,-0.00843569269676084
SNOW,-2004.7999572753927,0.0492610617076759,0.0532117964227852,0.05099619771635091,7,2021-11-19,2021-11-30,-0.007772463806147361
CAR,-1921.2499542236328,0.0080917830134459,0.0390318767705976,0.02199574890124533,42,2021-12-01,2022-01-31,-0.0074485465133687576
NVDA,-1917.711908340451,0.0083395742033532,0.1369286355328028,0.07842806119646953,49,2021-11-19,2022-01-31,-0.007434829766482503
LPX,-1807.414249420167,0.0186115030655154,0.0361409518509258,0.02650178244489608,46,2022-03-01,2022-08-31,-0.007007213754845223
