rank,ticker,target_weight,regime_state,row_type
1,GEV,0.12591087867196427,neutral,equity
2,NVDA,0.11388275595245706,neutral,equity
3,GOOGL,0.08902576705371154,neutral,equity
4,LRCX,0.06858051995199918,neutral,equity
5,FTI,0.06534034754117725,neutral,equity
6,AMZN,0.0637729799800566,neutral,equity
7,ZTO,0.053269495985276256,neutral,equity
8,TSM,0.04708761147905719,neutral,equity
9,PWR,0.04322729492832888,neutral,equity
10,VRT,0.04,neutral,equity
11,FIX,0.04,neutral,equity
12,PR,0.04,neutral,equity
13,MLI,0.04,neutral,equity
14,TER,0.0398969354475284,neutral,equity
15,WELL,0.03630847551681734,neutral,equity
16,DTM,0.032423285760427266,neutral,equity
17,KIM,0.031381336500077024,neutral,equity
18,MTDR,0.0298923152311218,neutral,equity
19,CASH,0.0,neutral,cash
