rank,ticker,target_weight,regime_state,row_type
1,GOOGL,0.17082042051401217,neutral,equity
2,NVDA,0.0764345765051948,neutral,equity
3,GEV,0.05389319177600649,neutral,equity
4,VRT,0.05389319177600649,neutral,equity
5,GLW,0.05,neutral,equity
6,MLI,0.03900000000000001,neutral,equity
7,PR,0.03900000000000001,neutral,equity
8,TKR,0.03900000000000001,neutral,equity
9,AMAT,0.03862375634718064,neutral,equity
10,FTI,0.03340805148051668,neutral,equity
11,LRCX,0.030513818218639206,neutral,equity
12,WDC,0.03,neutral,equity
13,TER,0.02766673087793434,neutral,equity
14,NXPI,0.02598514445345812,neutral,equity
15,ON,0.02176111805105107,neutral,equity
16,SNDK,0.020000000000000004,neutral,equity
17,CASH,0.25,neutral,cash
