snapshot_date,base_rebalance_date,portfolio_kind,governor_mode,crisis_score,raw_crisis_score,crisis_zone,event_reason,stock_weight,cash_weight,row_count,cash_hard_gate_enabled,cash_hard_gate_allowed,cash_hard_gate_reason,liquidity_confirmation_score,market_trend_damage_score,credit_stress_score,shakeout_guard_score
2019-05-31,2019-05-31,concentrated,conservative,0.44840140874129975,0.44840140874129975,normal,base_rebalance,0.3469311175443842,0.6530688824556158,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-06-03,2019-05-31,concentrated,conservative,0.5543844811461085,0.5543844811461085,caution,crisis_governor_caution,0.8999999999999999,0.1,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-06-04,2019-05-31,concentrated,conservative,0.11733018919171834,0.11733018919171834,normal,crisis_governor_reentry,0.3469311175443842,0.6530688824556158,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-06-28,2019-06-28,concentrated,conservative,0.02122526992373861,0.02122526992373861,normal,base_rebalance,0.9941926635921161,0.005807336407883801,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-07-31,2019-07-31,concentrated,conservative,0.04495754192381081,0.04495754192381081,normal,base_rebalance,0.9889459929205238,0.011054007079476404,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-08-30,2019-08-30,concentrated,conservative,0.07154765784709885,0.07154765784709885,normal,base_rebalance,0.947159437816711,0.052840562183288885,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-09-30,2019-09-30,concentrated,conservative,0.02168329798471203,0.02168329798471203,normal,base_rebalance,0.8500000000000001,0.15000000000000002,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-10-31,2019-10-31,concentrated,conservative,0.02143474514828321,0.02143474514828321,normal,base_rebalance,0.7000000000000001,0.30000000000000004,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-11-29,2019-11-29,concentrated,conservative,0.005988715019702767,0.005988715019702767,normal,base_rebalance,0.9609563720308694,0.039043627969130815,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2019-12-31,2019-12-31,concentrated,conservative,0.009655921463578692,0.009655921463578692,normal,base_rebalance,0.8742498093335073,0.12575019066649248,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-01-31,2020-01-31,concentrated,conservative,0.251360870742516,0.251360870742516,normal,base_rebalance,0.9842627119442993,0.015737288055701005,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-02-27,2020-01-31,concentrated,conservative,0.5818404714453818,0.5818404714453818,caution,crisis_governor_caution,0.95,0.05,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-02-28,2020-02-28,concentrated,conservative,0.6113451993368808,0.6113451993368808,caution,crisis_governor_caution,0.8999999999999998,0.09999999999999998,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-03-02,2020-02-28,concentrated,conservative,0.3239256296756526,0.3239256296756526,normal,crisis_governor_reentry,0.5305335041117073,0.4694664958882926,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-03-03,2020-02-28,concentrated,conservative,0.5951064877244681,0.5951064877244681,caution,crisis_governor_caution,0.8999999999999998,0.09999999999999998,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-03-04,2020-02-28,concentrated,conservative,0.27985113239736337,0.27985113239736337,normal,crisis_governor_reentry,0.5305335041117073,0.4694664958882926,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-03-05,2020-02-28,concentrated,conservative,0.6051441323095332,0.6051441323095332,caution,crisis_governor_caution,0.8999999999999998,0.09999999999999998,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-03-09,2020-02-28,concentrated,conservative,0.7647058823529412,0.7647058823529412,defense,crisis_governor_defense,0.75,0.24999999999999997,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-03-10,2020-02-28,concentrated,conservative,0.6088409829239407,0.6088409829239407,caution,crisis_governor_caution,0.8999999999999998,0.09999999999999998,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-03-11,2020-02-28,concentrated,conservative,0.6941176470588236,0.6941176470588236,defense,crisis_governor_defense,0.75,0.24999999999999997,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-03-20,2020-02-28,concentrated,conservative,0.5919963144351045,0.5919963144351045,caution,crisis_governor_caution,0.8999999999999998,0.09999999999999998,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-03-31,2020-03-31,concentrated,conservative,0.5612333851605316,0.5612333851605316,caution,crisis_governor_caution,0.8999999999999999,0.09999999999999998,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-04-06,2020-03-31,concentrated,conservative,0.43470053949709203,0.43470053949709203,normal,crisis_governor_reentry,0.24497517434712884,0.7550248256528712,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-04-30,2020-04-30,concentrated,conservative,0.2514815597608775,0.2514815597608775,normal,base_rebalance,0.6807017900614423,0.31929820993855784,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-05-29,2020-05-29,concentrated,conservative,0.007058823529411772,0.007058823529411772,normal,base_rebalance,0.993629789125925,0.006370210874074903,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-06-30,2020-06-30,concentrated,conservative,0.05501742360588342,0.05501742360588342,normal,base_rebalance,0.9949111289670205,0.0050888710329795,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-07-31,2020-07-31,concentrated,conservative,0.010431468486059099,0.010431468486059099,normal,base_rebalance,0.9940717281418168,0.0059282718581832,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-08-31,2020-08-31,concentrated,conservative,0.020022202216295013,0.020022202216295013,normal,base_rebalance,0.9964428722415342,0.003557127758465801,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-09-30,2020-09-30,concentrated,conservative,0.07675046635058713,0.07675046635058713,normal,base_rebalance,0.995407964669319,0.004592035330680901,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-10-30,2020-10-30,concentrated,conservative,0.24367195575478495,0.24367195575478495,normal,base_rebalance,0.9943305783496084,0.005669421650391601,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-11-30,2020-11-30,concentrated,conservative,0.006692989160908101,0.006692989160908101,normal,base_rebalance,0.9942948275988779,0.0057051724011221005,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2020-12-31,2020-12-31,concentrated,conservative,0.007058823529411746,0.007058823529411746,normal,base_rebalance,0.9888900816890085,0.011109918310991701,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2021-01-29,2021-01-29,concentrated,conservative,0.2041200658072356,0.2041200658072356,normal,base_rebalance,0.9949489657567592,0.0050510342432409025,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2021-02-26,2021-02-26,concentrated,conservative,0.14018439885488562,0.14018439885488562,normal,base_rebalance,0.9855780169082633,0.014421983091736904,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2021-03-31,2021-03-31,concentrated,conservative,0.02823529411764704,0.02823529411764704,normal,base_rebalance,0.9978048793834332,0.002195120616566901,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2021-04-30,2021-04-30,concentrated,conservative,0.022912316506468335,0.022912316506468335,normal,base_rebalance,0.9934807015147613,0.006519298485238602,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2021-05-28,2021-05-28,concentrated,conservative,0.016595649625256337,0.016595649625256337,normal,base_rebalance,0.9963387650922555,0.0036612349077445,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2021-06-30,2021-06-30,concentrated,conservative,0.011764705882352953,0.011764705882352953,normal,base_rebalance,0.9871534444317365,0.012846555568263501,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2021-07-30,2021-07-30,concentrated,conservative,0.025581057713879876,0.025581057713879876,normal,base_rebalance,0.9887552145056584,0.011244785494341701,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
2021-08-31,2021-08-31,concentrated,conservative,0.0038054802336425194,0.0038054802336425194,normal,base_rebalance,0.9798056653830715,0.020194334616928704,6,False,True,disabled_or_no_features,0.0,0.0,0.0,0.0
