sell_date,sold_ticker,buy_date,bought_ticker,sold_forward_return,bought_forward_return,opportunity_gap,horizon_days
2021-02-26,GOOGL,2021-03-01,LPX,1.825811996924708,0.11281116702390048,1.7130008299008075,20
2020-03-30,NOW,2020-04-09,VRTX,0.8958763067858961,0.018004145940624383,0.8778721608452718,20
2020-03-30,NOW,2020-04-09,JD,0.8958763067858961,0.05170770919462142,0.8441685975912747,20
2020-03-30,NOW,2020-04-01,JD,0.8958763067858961,0.05695429065908564,0.8389220161268105,20
2020-03-30,NOW,2020-04-07,VRTX,0.8958763067858961,0.08414427161445648,0.8117320351714397,20
2020-03-30,NOW,2020-04-07,JD,0.8958763067858961,0.08549645311018406,0.8103798536757121,20
2020-03-30,NOW,2020-04-03,VRTX,0.8958763067858961,0.12420799130023008,0.7716683154856661,20
2020-03-30,NOW,2020-04-03,JD,0.8958763067858961,0.12659813091660577,0.7692781758692904,20
2020-03-30,NOW,2020-04-01,VRTX,0.8958763067858961,0.16551353899494337,0.7303627677909528,20
2019-06-14,FDS,2019-06-17,HEI,0.599766314596083,0.07089512217152638,0.5288711924245566,20
2020-02-26,GOOG,2020-03-02,NOW,0.19202824294533705,-0.25865271178576466,0.4506809547311017,20
2019-09-25,HD,2019-10-01,MLM,0.2776149253576967,0.002126289096989087,0.27548863626070763,20
2019-09-25,HD,2019-10-01,SHW,0.2776149253576967,0.010185858800130676,0.26742906655756604,20
2023-10-16,FANG,2023-10-18,DTM,0.2377457380846313,-0.023874094679749547,0.26161983276438083,20
2022-10-26,ORLY,2022-11-01,FANG,0.1956885127346546,-0.04149753001409151,0.2371860427487461,20
2022-11-28,FANG,2022-12-01,CPRT,0.11161307994789471,-0.0978276800799851,0.2094407600278798,20
2022-10-26,ORLY,2022-10-27,HUBB,0.1956885127346546,-0.008102937239473085,0.20379144997412768,20
2022-11-28,FANG,2022-12-05,CPRT,0.11161307994789471,-0.08538808304776324,0.19700116299565795,20
2025-01-28,TPR,2025-01-29,BR,0.20612535045298963,0.011292230325982144,0.1948331201270075,20
2022-03-28,BYD,2022-03-30,FCX,-0.027498417151319177,-0.20626305365193176,0.17876463650061258,20
2022-03-24,BYD,2022-03-25,FCX,-0.04666655909324824,-0.22384049051584087,0.17717393142259263,20
2022-03-22,BYD,2022-03-25,FCX,-0.04763262048353001,-0.22384049051584087,0.17620787003231086,20
2025-01-28,TPR,2025-02-03,GRMN,0.20612535045298963,0.03396903177731336,0.17215631867567627,20
2022-03-28,BYD,2022-03-29,FCX,-0.027498417151319177,-0.19532920565310175,0.16783078850178257,20
2021-12-20,AZO,2021-12-30,FDS,0.05119081444639639,-0.11395805415653448,0.16514886860293088,20
2022-11-23,FANG,2022-12-01,CPRT,0.06521878869859554,-0.0978276800799851,0.16304646877858064,20
2022-11-21,FANG,2022-12-01,CPRT,0.06521878869859554,-0.0978276800799851,0.16304646877858064,20
2022-03-24,BYD,2022-03-30,FCX,-0.04666655909324824,-0.20626305365193176,0.15959649455868352,20
2022-03-22,BYD,2022-03-30,FCX,-0.04763262048353001,-0.20626305365193176,0.15863043316840175,20
2022-10-28,ORLY,2022-11-01,FANG,0.11156278835163058,-0.04149753001409151,0.1530603183657221,20
2022-11-28,FANG,2022-12-01,DKS,0.11161307994789471,-0.041153736938578156,0.15276681688647287,20
2022-03-24,BYD,2022-03-29,FCX,-0.04666655909324824,-0.19532920565310175,0.1486626465598535,20
2022-03-22,BYD,2022-03-29,FCX,-0.04763262048353001,-0.19532920565310175,0.14769658516957174,20
2020-02-26,BABA,2020-03-02,NOW,-0.11464026501610947,-0.25865271178576466,0.1440124467696552,20
2022-03-22,BYD,2022-03-23,FCX,-0.04763262048353001,-0.19080588799502884,0.14317326751149884,20
2025-02-25,TPR,2025-03-03,WH,0.01654156844392518,-0.1238690686926448,0.14041063713656998,20
2022-11-21,GILD,2022-12-01,CPRT,0.041256648305916466,-0.0978276800799851,0.13908432838590157,20
2025-02-25,GRMN,2025-03-03,WH,0.012785343540214766,-0.1238690686926448,0.13665441223285957,20
2026-03-23,PR,2026-04-01,LNG,0.07028110507872753,-0.06547272115958691,0.13575382623831445,20
2022-04-04,STLD,2022-04-08,OKE,0.06854075540397031,-0.0654936215353018,0.13403437693927212,20
2022-10-26,ORLY,2022-11-01,GILD,0.1956885127346546,0.0631461027730893,0.1325424099615653,20
2022-04-06,STLD,2022-04-08,OKE,0.06535245252345101,-0.0654936215353018,0.13084607405875281,20
2020-04-06,JD,2020-04-15,JD,0.09672759211284832,-0.0336322318381963,0.13035982395104462,20
2023-01-24,TPR,2023-02-01,TPR,0.037878814571734365,-0.09116250936052317,0.12904132393225753,20
2022-11-28,GILD,2022-12-01,CPRT,0.030747612594105966,-0.0978276800799851,0.12857529267409107,20
2020-04-14,VRTX,2020-04-15,JD,0.09492779739519608,-0.0336322318381963,0.12856002923339238,20
2022-11-23,GILD,2022-12-01,CPRT,0.028213382900526218,-0.0978276800799851,0.12604106298051132,20
