portfolio_kind,ticker,entry_date,entry_signal_date,entry_reason,quantity_open,entry_price,entry_value_usd,entry_fee_unrealized_usd,entry_target_weight,fill_mode,entry_name,entry_sector,entry_industry_group,entry_source_universe,entry_score,entry_raw_score,entry_sleeve,entry_sleeve_role,entry_selection_path,entry_candidate_gate_label,entry_candidate_minimum_pass,entry_defensive_rotation_action,entry_monster_early_score,entry_stale_mega_leader_score,entry_stale_leader_reason,entry_risk_entry_block_score,entry_theme_phase,entry_theme_horizon,entry_theme_holding_profile,entry_theme_short_cycle_flag,entry_theme_structural_growth,entry_style_regime,entry_regime_state,entry_regime_state_score,entry_rs_acceleration_score,entry_h6_dynamic_leader_score,entry_explosion_entry_score,entry_explosion_exit_score,entry_explosion_net_score,entry_quality_score,entry_concentrated_score,entry_selection_confirmation_score,entry_ml_technical_agreement_score,entry_trend_template_full,entry_breakout_setup_quality_score,entry_volatility_contraction_score,entry_oneil_leadership_score,entry_industry_group_strength_score,entry_future_winner_scout_score,entry_profitability_inflection_score,entry_market_cap_live,entry_mktcap,entry_dollar_vol_20d,entry_current_price_live,entry_px,entry_signal_breakdown
main,BKNG,2026-03-02,2026-02-27,target_rebalance,60.0,166.81065368652344,10008.639221191406,25.021598052978515,0.0288,next_close,BOOKING HOLDINGS INC,Consumer Discretionary,Other,current_constituents_proxy,5.269847764226164,5.269847764226164,early_scout,,,early_relaxed,True,neutral,0.2060000994508587,0.0,,0.3197916666666667,,unknown,neutral,0.0,0.35,quality_compounder,neutral,0.0,-0.1385618144311788,0.0,0.0,0.0,0.0,0.5,,1.0,0.0,0.0,-0.5510496083855401,-0.4816909510890741,-0.0494613934670203,0.0709604510026521,-0.4531255419616614,-0.0539050863982512,,10836156182.617188,2708828741.81366,,169.18804931640625,"{""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0, ""h1_oversold_value_score"": 0.0585116373221237, ""h6_dynamic_leader_score"": 0.0, ""rs_acceleration_score"": -0.1385618144311788, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_max"": 0.5, ""theme_phase_multiplier_primary"": 0.5}"
main,LRCX,2025-11-03,2025-10-31,target_rebalance,53.0,160.78236389160156,8521.465286254883,35.77407596588135,0.044165906811963,next_close,LAM RESEARCH CORP,Information Technology,Semiconductors,current_constituents_proxy+strategic_global_hardware,4.386386308994208,4.386386308994208,future_winner,,,future_relaxed,True,promote_monster_early,0.6440703235817202,0.0,,0.1083333333333333,,structural_growth,long_duration,0.0,1.0,quality_compounder,neutral,0.0,0.8443327983193525,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.4774420709163451,-0.1450675030871138,0.7466666666666668,2.9591166385321066,2.283661829002962,0.9178218732574256,,204708801997.2229,1671884535.6666565,,157.01309204101562,"{""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 1.0, ""rs_acceleration_score"": 0.8443327983193525, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_max"": 0.95, ""theme_phase_multiplier_primary"": 0.95}"
main,LRCX,2025-12-01,2025-11-28,target_rebalance,21.0,154.35064697265625,3241.3635864257812,8.103408966064453,0.0552740065439522,next_close,LAM RESEARCH CORP,Information Technology,Semiconductors,current_constituents_proxy+strategic_global_hardware,5.198223157319471,5.198223157319471,future_winner,,,future_relaxed,True,neutral,0.5789352911256553,0.0,,0.2416666666666667,,structural_growth,long_duration,0.0,1.0,quality_compounder,bull,1.0,-0.2817187803677461,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.1919180571839479,-0.1134156486716624,0.7466666666666668,2.5292826006304545,1.8001555068372403,0.5991771034054016,,202810701654.52576,1717301331.0853577,,155.55723571777344,"{""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 1.0, ""rs_acceleration_score"": -0.2817187803677461, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_max"": 0.95, ""theme_phase_multiplier_primary"": 0.95}"
main,LRCX,2026-02-02,2026-01-30,target_rebalance,34.0,237.21578979492188,8065.336853027344,20.16334213256836,0.0827202408325623,next_close,LAM RESEARCH CORP,Information Technology,Semiconductors,current_constituents_proxy+strategic_global_hardware,5.40399431127796,5.40399431127796,future_winner,,,future_relaxed,True,promote_monster_early,0.6110377558066604,0.0,,0.2416666666666667,,structural_growth,long_duration,0.0,1.0,quality_compounder,neutral,0.0,-2.866966181027608,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0732752409094763,-0.1764483978041662,1.12,2.6657743941837824,2.0435246882664737,1.0720971836239896,,293615457424.56055,3092744394.81987,,233.18063354492188,"{""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 1.0, ""rs_acceleration_score"": -2.866966181027608, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_max"": 0.95, ""theme_phase_multiplier_primary"": 0.95}"
main,VZ,2026-03-02,2026-02-27,target_rebalance,395.0,49.239402770996094,19449.564094543457,48.62391023635865,0.0555986310704487,next_close,VERIZON COMMUNICATIONS INC,Communication,Communication Equipment,current_constituents_proxy,4.262232340282488,4.262232340282488,future_winner,,,future_relaxed,True,promote_monster_early,0.5903396418865398,0.0,,0.0,,unknown,neutral,0.0,0.35,quality_compounder,neutral,0.0,0.7611574256453941,0.6172869434333641,0.0,0.0,0.0,0.3581963577688414,,1.0,1.0,1.0,0.5607142857142857,-0.5095763471565302,1.0741984415865289,2.3854961039663216,0.7542020842150088,0.4524653248874998,,211984093511.92477,1889367015.1266289,,49.39702987670898,"{""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 0.6172869434333641, ""rs_acceleration_score"": 0.7611574256453941, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_max"": 1.15, ""theme_phase_multiplier_primary"": 1.15}"
main,GOOGL,2026-02-02,2026-01-30,target_rebalance,80.0,343.4482421875,27475.859375,201.77584228515624,0.2359517315466601,next_close,ALPHABET INC CLASS A,Communication,Internet Content & Information,current_constituents_proxy,6.860854088975458,6.860854088975458,core_compounder,,,core_strict,True,neutral,0.5464692662674047,0.0,,0.2416666666666667,,structural_growth,long_duration,0.0,1.0,quality_compounder,neutral,0.0,-1.2370417049316196,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.781701512214804,0.3561909638940519,-0.053240116752049,-0.406480233504098,1.1606322044266912,0.3040139640938456,,4079154542877.197,10209787160.08896,,337.7622375488281,"{""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 1.0, ""rs_acceleration_score"": -1.2370417049316196, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_max"": 1.05, ""theme_phase_multiplier_primary"": 0.5}"
main,AMAT,2026-02-02,2026-01-30,target_rebalance,46.0,327.9909362792969,15087.583068847656,37.71895767211914,0.0425092904054715,next_close,APPLIED MATERIAL INC,Information Technology,Semiconductors,current_constituents_proxy+strategic_global_hardware,4.977045589670188,4.977045589670188,future_winner,,,future_relaxed,True,promote_monster_early,0.6098770635734855,0.0,,0.2416666666666667,,structural_growth,long_duration,0.0,1.0,quality_compounder,neutral,0.0,-0.666921459781951,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.3161027477399113,-0.1919798345525711,0.14,2.6657743941837824,1.7195311853655668,0.7419554327914455,,271699229248.04688,2448488095.7400517,,321.91851806640625,"{""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 1.0, ""rs_acceleration_score"": -0.666921459781951, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_max"": 0.95, ""theme_phase_multiplier_primary"": 0.95}"
main,AMAT,2026-03-02,2026-02-27,target_rebalance,28.0,372.1799926757813,10421.039794921877,26.05259948730469,0.0792239288155924,next_close,APPLIED MATERIAL INC,Information Technology,Semiconductors,current_constituents_proxy+strategic_global_hardware,5.124847903408512,5.124847903408512,core_compounder,,,core_strict,True,neutral,0.5741309994849437,0.0,,0.2416666666666667,,structural_growth,long_duration,0.0,1.0,quality_compounder,neutral,0.0,-1.0937128085696712,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.4209798721456896,-0.245798763175308,0.7259402139493599,1.6798369471346175,1.338167268360798,0.4074104574419641,,302307590087.8906,3049894448.0781555,,372.2999877929688,"{""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 1.0, ""rs_acceleration_score"": -1.0937128085696712, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_max"": 0.95, ""theme_phase_multiplier_primary"": 0.95}"
main,ETR,2026-03-02,2026-02-27,target_rebalance,95.0,106.0512237548828,10074.866256713865,25.18716564178467,0.0288,next_close,ENTERGY CORP,Utilities,Utilities,current_constituents_proxy,3.413166025399348,3.413166025399348,early_scout,,,early_relaxed,True,neutral,0.5733525912801283,0.0,,0.1333333333333333,,unknown,neutral,0.0,0.35,quality_compounder,neutral,0.0,-0.1005064079769229,0.795022683718848,0.0,0.0,0.0,0.4438361349677888,,1.0,1.0,1.0,0.7323372561628173,0.0746926670660854,0.2256373376525558,0.3769120129576675,0.8980164082396136,0.5154855221598774,,4956243945.884705,301061270.0587082,,106.52861785888672,"{""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 0.795022683718848, ""rs_acceleration_score"": -0.1005064079769229, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_max"": 1.05, ""theme_phase_multiplier_primary"": 1.05}"
main,VRT,2026-03-02,2026-02-27,target_rebalance,65.0,257.68865966796875,16749.76287841797,41.87440719604492,0.0480129783225644,next_close,VERTIV HOLDINGS CLASS A,Industrials,Capital Goods - Machinery,current_constituents_proxy+strategic_global_hardware,3.34220047925278,3.34220047925278,future_winner,,,future_relaxed,True,neutral,0.5171318910622618,0.0,,0.2416666666666667,,structural_growth,long_duration,0.0,1.0,quality_compounder,neutral,0.0,-2.5659798518456287,0.2885805335340521,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.19127963399803,-0.4050643000191394,0.2395419355828323,0.4811150073353228,1.4634694930803869,0.9813805584809868,,97485903970.72266,1583323870.682068,,254.829345703125,"{""explosion_entry_score"": 0.0, ""explosion_exit_score"": 0.0, ""explosion_net_score"": 0.0, ""h1_oversold_value_score"": 0.0, ""h6_dynamic_leader_score"": 0.2885805335340521, ""rs_acceleration_score"": -2.5659798518456287, ""stage2_overext_penalty"": 0.0, ""theme_phase_multiplier_max"": 1.05, ""theme_phase_multiplier_primary"": 0.95}"
