horizon,status,start_date,end_date,days,period_return,cagr,sharpe,max_dd,start_equity_usd,end_equity_usd,avg_cash_weight,end_cash_weight,trade_count,gross_traded_usd,turnover_estimate
1M,completed,2026-04-22,2026-05-22,23,0.08951328491684984,1.8399196629664152,3.9266765444017024,-0.052232555189713925,355513.51627827034,387336.6989526783,0.25623932253084175,0.2480189975582349,0,0.0,0.0
3M,completed,2026-02-23,2026-05-22,64,0.14332770923250693,0.743578788329166,2.2404395174531913,-0.09344596547786987,338780.1203669678,387336.6989526783,0.25451153262477133,0.2480189975582349,29,465366.4661064148,1.3323157043604676
6M,completed,2025-11-24,2026-05-22,124,0.3103081112329913,0.7358045029367093,2.379796344906631,-0.11490199756103103,295607.34275558824,387336.6989526783,0.1322627560255496,0.2480189975582349,114,1629191.4185638428,4.824694921554369
1Y,completed,2025-05-22,2026-05-22,252,0.5486559385446939,0.5491199550482981,2.0111969235603633,-0.1204094728351266,250111.52529894223,387336.6989526783,0.06681013416802273,0.2480189975582349,257,3103369.747489929,10.063124032928076
2Y,completed,2024-05-22,2026-05-22,502,0.808405230464923,0.3450424536730128,1.482511906886348,-0.20859690026876931,214186.89374897344,387336.6989526783,0.07341865207651675,0.2480189975582349,618,5972059.3134765625,21.692629803099596
3Y,completed,2023-05-22,2026-05-22,754,1.4652314559389334,0.35079498317748437,1.6146243317806135,-0.20859690026876931,157119.81040139424,387336.6989526783,0.061410344732256775,0.2480189975582349,939,8094559.915904522,33.235293385985415
5Y,completed,2021-05-24,2026-05-22,1256,1.2097065047120101,0.1720654654851188,0.9055068532770775,-0.3244829545050303,175288.75356374972,387336.6989526783,0.04796939092892028,0.2480189975582349,1591,12546926.098006725,57.883245896026814
FULL,completed,2019-06-03,2026-05-22,1754,2.873366989526783,0.21450845224050852,1.0441382304338422,-0.3244829545050305,100000.0,387336.6989526783,0.055914798680536455,0.2480189975582349,2127,15331472.346304417,39.5817705571387
