signal_date,effective_next_trading_day,portfolio,crisis_state,prior_cash_weight,target_cash_weight,policy_cash_floor,equity_drawdown,equity_drawdown_cash_floor,base_cash_floor,turnover_from_cash_action,estimated_cost_usd,cash_action
2019-06-19,2019-06-20,concentrated,GREEN,0.5189766091311938,0.4840689840859479,0.03,0.0,0.0,0.4840689840859479,0.034907625045245916,9.327782983178391,RELEASE_CASH
2019-07-01,2019-07-02,concentrated,GREEN,0.4840689840859479,0.3840689840859479,0.03,-0.0217615258796513,0.0,0.1026686240119903,0.09999999999999998,26.139836727829444,RELEASE_CASH
2019-07-02,2019-07-03,concentrated,GREEN,0.3840689840859479,0.28406898408594794,0.03,-0.011893731600122526,0.0,0.101144987912277,0.09999999999999998,26.40351735188447,RELEASE_CASH
2019-07-03,2019-07-05,concentrated,GREEN,0.28406898408594794,0.18406898408594793,0.03,-0.00687098535601427,0.0,0.1004720722267185,0.1,26.53773183048017,RELEASE_CASH
2019-07-05,2019-07-08,concentrated,GREEN,0.18406898408594793,0.101002370252064,0.03,-0.011847777677291726,0.0,0.101002370252064,0.08306661383388393,21.933527813826576,RELEASE_CASH
2019-08-02,2019-08-05,concentrated,WATCH,0.101002370252064,0.25,0.25,-0.010526261406714199,0.0,0.0778655840666111,0.148997629747936,40.82500691413028,RAISE_CASH
2019-09-03,2019-09-04,concentrated,GREEN,0.25,0.523150085838124,0.03,-0.01581898715759078,0.0,0.523150085838124,0.27315008583812395,80.7139893476253,RAISE_CASH
2019-10-11,2019-10-14,concentrated,WATCH,0.523150085838124,0.4895206932674641,0.25,-0.05582920455373053,0.0,0.4895206932674641,0.03362939257065983,9.533274001667758,RELEASE_CASH
2019-11-01,2019-11-04,concentrated,GREEN,0.4895206932674641,0.3895206932674641,0.03,-0.04958723401499865,0.0,0.1860801400856594,0.10000000000000003,28.535451645752143,RELEASE_CASH
2019-11-04,2019-11-05,concentrated,GREEN,0.3895206932674641,0.2895206932674641,0.03,-0.06740666745531276,0.0,0.1907868734677849,0.09999999999999998,28.000436124612957,RELEASE_CASH
2019-11-05,2019-11-06,concentrated,GREEN,0.2895206932674641,0.1895206932674641,0.03,-0.057562457651537335,0.0,0.1884667600038192,0.1,28.296001359950623,RELEASE_CASH
2019-11-07,2019-11-08,concentrated,GREEN,0.1895206932674641,0.45,0.03,-0.10519796110732982,0.45,0.1984541245067697,0.26047930673253594,69.97979758327305,RAISE_CASH
2019-11-12,2019-11-13,concentrated,GREEN,0.45,0.35,0.03,-0.0792912049024187,0.0,0.190179803910729,0.10000000000000003,27.643611536611413,RELEASE_CASH
2019-11-13,2019-11-14,concentrated,GREEN,0.35,0.24999999999999997,0.03,-0.0699884556551097,0.0,0.1877571891484916,0.1,27.922919812783416,RELEASE_CASH
2019-11-14,2019-11-15,concentrated,GREEN,0.24999999999999997,0.185439199494482,0.03,-0.05948934341342149,0.0,0.185439199494482,0.06456080050551796,18.23077440785093,RELEASE_CASH
2019-12-02,2019-12-03,concentrated,GREEN,0.185439199494482,0.45,0.03,-0.10423241645720827,0.45,0.0635300719336633,0.264560800505518,71.15301830446995,RAISE_CASH
2019-12-11,2019-12-12,concentrated,GREEN,0.45,0.35,0.03,-0.07385333927701532,0.0,0.0599644582261742,0.10000000000000003,27.806879494664333,RELEASE_CASH
2019-12-12,2019-12-13,concentrated,GREEN,0.35,0.24999999999999997,0.03,-0.07406255849415999,0.0,0.0599623680492561,0.1,27.80059783992665,RELEASE_CASH
2019-12-13,2019-12-16,concentrated,GREEN,0.24999999999999997,0.45,0.03,-0.08008704894214314,0.45,0.0604364064629214,0.20000000000000004,55.23943379697172,RAISE_CASH
2019-12-16,2019-12-17,concentrated,GREEN,0.45,0.35,0.03,-0.07296494047618762,0.0,0.0595968598067916,0.10000000000000003,27.833553022136247,RELEASE_CASH
2019-12-17,2019-12-18,concentrated,GREEN,0.35,0.24999999999999997,0.03,-0.07194663124127443,0.0,0.0594807888672617,0.1,27.864127015850617,RELEASE_CASH
2019-12-18,2019-12-19,concentrated,GREEN,0.24999999999999997,0.14999999999999997,0.03,-0.06963060296599244,0.0,0.059276646949841,0.1,27.93366407935061,RELEASE_CASH
2019-12-19,2019-12-20,concentrated,GREEN,0.14999999999999997,0.0581364187157679,0.03,-0.05337977453053677,0.0,0.0581364187157679,0.09186358128423207,26.10908434757092,RELEASE_CASH
2020-02-04,2020-02-05,concentrated,WATCH,0.0581364187157679,0.25,0.25,0.0,0.0,0.0453325037873749,0.1918635812842321,67.49682920113928,RAISE_CASH
2020-02-06,2020-02-07,concentrated,GREEN,0.25,0.15,0.03,-0.032321884045909965,0.0,0.0472683419618919,0.1,34.042523378876005,RELEASE_CASH
2020-02-07,2020-02-10,concentrated,GREEN,0.15,0.04999999999999999,0.03,-0.03383987160103963,0.0,0.0473383287538215,0.1,33.98912119277469,RELEASE_CASH
2020-02-25,2020-02-26,concentrated,WATCH,0.04999999999999999,0.65,0.03,-0.12092887558037113,0.65,0.0479001842984141,0.6000000000000001,201.54615161883314,RAISE_CASH
2020-03-02,2020-03-03,concentrated,DEFENSE_REVIEW,0.65,0.8363578527178015,0.45,-0.13248807574825205,0.65,0.8363578527178015,0.18635785271780148,61.77637146435188,RAISE_CASH
2020-03-12,2020-03-13,concentrated,CRISIS_DEFENSE,0.8363578527178015,0.8739870553141733,0.7,-0.1726495957069415,0.65,0.8739870553141733,0.037629202596371814,11.896350293072558,RAISE_CASH
2020-04-01,2020-04-02,concentrated,CRISIS_DEFENSE,0.8739870553141733,0.9709060568282424,0.7,-0.17772645629516792,0.65,0.9709060568282424,0.09691900151406907,30.452608098549508,RAISE_CASH
2020-05-01,2020-05-04,concentrated,DEFENSE_REVIEW,0.9709060568282424,0.8709060568282424,0.45,-0.17025393391222043,0.65,0.7203164294988794,0.09999999999999998,31.706218415350282,RELEASE_CASH
2020-05-04,2020-05-05,concentrated,DEFENSE_REVIEW,0.8709060568282424,0.7709060568282424,0.45,-0.16300314410348082,0.65,0.7065536803221895,0.09999999999999998,31.98328526116691,RELEASE_CASH
2020-05-05,2020-05-06,concentrated,DEFENSE_REVIEW,0.7709060568282424,0.7010436501326827,0.45,-0.1580777639769867,0.65,0.7010436501326827,0.06986240669555976,22.475779740392074,RELEASE_CASH
2020-06-01,2020-06-02,concentrated,DEFENSE_REVIEW,0.7010436501326827,0.65,0.45,-0.1305834851802693,0.65,0.3724487690444328,0.05104365013268264,16.957774416594752,RELEASE_CASH
2020-06-15,2020-06-16,concentrated,WATCH,0.65,0.55,0.25,-0.11850317843855895,0.45,0.3636306786343461,0.09999999999999998,33.68371589713251,RELEASE_CASH
2020-06-16,2020-06-17,concentrated,WATCH,0.55,0.45000000000000007,0.25,-0.11614306292275,0.45,0.3621311575255946,0.09999999999999998,33.77390052239084,RELEASE_CASH
2020-06-30,2020-07-01,concentrated,WATCH,0.45000000000000007,0.3500000000000001,0.25,-0.06679376898351808,0.0,0.3396652759633631,0.09999999999999998,35.659633466757796,RELEASE_CASH
2020-07-01,2020-07-02,concentrated,WATCH,0.3500000000000001,0.2500000000000001,0.25,-0.043239173719332835,0.0,0.0263869414313974,0.09999999999999998,36.55970057482219,RELEASE_CASH
2020-07-14,2020-07-15,concentrated,GREEN,0.2500000000000001,0.1500000000000001,0.03,-0.03151976976607562,0.0,0.0243023020808108,0.1,38.960233674363174,RELEASE_CASH
2020-07-15,2020-07-16,concentrated,GREEN,0.1500000000000001,0.0500000000000001,0.03,-0.03126800446979339,0.0,0.0242880809696426,0.1,38.97036174354625,RELEASE_CASH
2020-07-24,2020-07-27,concentrated,GREEN,0.0500000000000001,0.45,0.03,-0.08876293158508874,0.45,0.025444008049023,0.3999999999999999,148.9724362639328,RAISE_CASH
2020-07-27,2020-07-28,concentrated,GREEN,0.45,0.35,0.03,-0.05773017485635079,0.0,0.0239545622886617,0.10000000000000003,38.51144678349612,RELEASE_CASH
2020-07-28,2020-07-29,concentrated,GREEN,0.35,0.24999999999999997,0.03,-0.0690359993506896,0.0,0.0243848589085224,0.1,38.04936718937252,RELEASE_CASH
2020-07-29,2020-07-30,concentrated,GREEN,0.24999999999999997,0.14999999999999997,0.03,-0.04559526903253541,0.0,0.0236038817314108,0.1,39.00741170499336,RELEASE_CASH
2020-07-30,2020-07-31,concentrated,GREEN,0.14999999999999997,0.04999999999999996,0.03,-0.038148804863639585,0.0,0.0233875030132727,0.1,39.311755642274726,RELEASE_CASH
2020-08-07,2020-08-10,concentrated,GREEN,0.04999999999999996,0.45,0.03,-0.08177866228584452,0.45,0.0012628335493704,0.4,157.48387320486822,RAISE_CASH
2020-08-17,2020-08-18,concentrated,GREEN,0.45,0.35,0.03,-0.07171965393865254,0.0,0.0012370309266352,0.10000000000000003,39.802272696478525,RELEASE_CASH
2020-08-18,2020-08-19,concentrated,GREEN,0.35,0.24999999999999997,0.03,-0.047563693050917566,0.0,0.0011890195413497,0.1,40.83801814404566,RELEASE_CASH
2020-08-19,2020-08-20,concentrated,GREEN,0.24999999999999997,0.14999999999999997,0.03,-0.03610557437534523,0.0,0.0011698821550954,0.1,41.329312790160685,RELEASE_CASH
2020-08-20,2020-08-21,concentrated,GREEN,0.14999999999999997,0.04999999999999996,0.03,-0.022465190828460324,0.0,0.0011504090133083,0.1,41.91417733880836,RELEASE_CASH
2020-09-03,2020-09-04,concentrated,GREEN,0.04999999999999996,0.65,0.03,-0.12422858257309055,0.65,0.0542063600442088,0.6000000000000001,235.23563519269555,RAISE_CASH
2020-09-14,2020-09-15,concentrated,WATCH,0.65,0.55,0.25,-0.10631634898177034,0.45,0.0513705458383702,0.09999999999999998,40.007821889997835,RELEASE_CASH
2020-09-15,2020-09-16,concentrated,WATCH,0.55,0.45000000000000007,0.25,-0.09184337891374494,0.45,0.0496489560272259,0.09999999999999998,40.65573797086281,RELEASE_CASH
2020-09-22,2020-09-23,concentrated,WATCH,0.45000000000000007,0.3500000000000001,0.25,-0.07464026480829078,0.0,0.0480637801863138,0.09999999999999998,41.42587528321057,RELEASE_CASH
