portfolio,official_metric_mode,target_type,target_contract_status,status,valid_for_production,evidence_window_label,pit_universe_label_clean,production_promotion_allowed,verdict_status,target_pass,cagr,cagr_target,canonical_cagr_target,cagr_gap_pp,max_dd,max_dd_target,canonical_max_dd_target,max_dd_gap_pp,sharpe,start_date,end_date,years,broker_ledger_trading_days_estimate,broker_ledger_actual_trading_days,data_readiness_status,data_readiness_policy_replay_ready,ending_capital_usd,avg_cash_weight,latest_cash_weight,latest_position_count,broker_trade_count,total_fees_usd,order_preview_count,order_preview_buy_count,order_preview_sell_count,journal_trade_count,journal_win_rate,journal_avg_realized_return,journal_avg_holding_days,journal_profit_factor,legacy_cagr,legacy_max_dd,legacy_sharpe
main,broker_ledger_next_close,interim_operating_gate,unresolved_user_decision_required,completed,False,research_7y,False,False,invalid_window,False,0.3488015189573288,0.3,0.35,0.0,-0.2604774681891311,-0.25,-0.25,1.0477,1.2747306200060973,2019-07-01,2026-06-18,6.965092402464066,1752,1752,warn,True,803711.4406195461,0.26668048334415045,0.14969873564720548,13,1661,37604.65761224628,12,7,5,1125,0.5697777777777778,0.10975892277096956,60.344,3.6114239291382457,0.3319294293877022,-0.14463034431189148,1.843716696195194
concentrated,broker_ledger_next_close,interim_operating_gate,unresolved_user_decision_required,completed,False,research_7y,False,False,invalid_window,False,0.4466882020910221,0.5,0.5,5.3312,-0.2587263200220502,-0.28,-0.25,0.0,1.3944336694130188,2019-07-01,2026-06-18,6.965092402464066,1733,1733,warn,True,1309261.129763248,0.4248326809658293,0.05688547650786673,5,591,36659.54538762331,5,3,2,392,0.5459183673469388,0.11956545698227163,53.12755102040816,3.7593688192712578,0.5059777575073019,-0.1649423408195464,1.7433265841651264
