ticker,peak_market_value_usd,peak_weight,trough_market_value_usd,trough_weight,peak_to_trough_value_delta_usd
AMD,17139.90044403076,0.1342633896210969,6650.39981842041,0.0703942148837596,-10489.500625610352
PENN,8087.799667358398,0.0633548252781187,664.4399971961975,0.0070330706750053,-7423.359670162201
NOW,14523.431739807129,0.1137675904644029,7343.42399597168,0.0777298479593921,-7180.007743835449
STM,7201.445617675781,0.0564116753162285,1073.6341524124146,0.0113643743677073,-6127.811465263367
UI,5815.535614013672,0.0455553126781208,0.0,0.0,-5815.535614013672
PCTY,6737.849807739258,0.0527801521892728,1097.459991455078,0.0116165699167192,-5640.38981628418
FTNT,6699.040042877197,0.0524761404712472,1300.839991569519,0.0137693390466985,-5398.200051307678
PAYC,6326.199951171875,0.0495555415644764,1312.8208618164062,0.0138961560769043,-5013.379089355469
QRVO,6254.399871826172,0.0489931041069487,1387.3799362182615,0.0146853608838756,-4867.01993560791
SHOP,7550.618881225586,0.0591468829145658,2964.103881835937,0.0313749204999384,-4586.514999389648
TSLA,7706.327728271484,0.0603666098124344,3178.735977172852,0.0336467926057702,-4527.591751098633
DXCM,8021.199798583984,0.0628331230570835,3966.5700759887695,0.041985984888795,-4054.629722595215
SE,7219.200107574463,0.0565507530198928,4531.679901123047,0.0479676496833298,-2687.520206451416
RNG,7686.964553833008,0.0602149306680646,5742.630767822266,0.0607855159547665,-1944.3337860107422
