ticker,side,quantity,reference_price,limit_price,gross_value_usd,estimated_fee_usd,cash_impact_usd,current_shares,current_weight,target_weight,target_value_usd,current_value_usd,trade_value_delta_usd,order_type,time_in_force,reason,status,estimated_cash_after_usd,client_order_id,idempotency_key,auto_trade_allowed,paper_only,approval_required,crisis_state,paper_action_types,approval_status
SNDK,SELL,16.0,2184.75,2179.288125,34956.0,87.39,34868.61,60.0,0.1643813305364139,0.12,95693.34880468942,131085.0,-35391.65119531058,limit,day,target_rebalance,ready,153999.9992369749,r1k-M-20260618-S-SNDK-e789416d4191,e789416d41919de254900eb75082d524687961e4dc1e59df3086e7245e8f86c7,False,True,True,GREEN,no_op,pending_user_approval
MRVL,SELL,91.0,310.5799865722656,309.8035366058349,28262.77877807617,70.65694694519043,28192.121831130986,311.0,0.1211248769497441,0.0854036951671839,68104.71325702248,96590.3758239746,-28485.66256695213,limit,day,target_rebalance,ready,182192.12106810583,r1k-M-20260618-S-MRVL-9d4bdd5e4f22,9d4bdd5e4f22d106dc81359c26df015b416eb0e2842f1010c6e3c35f6fe68121,False,True,True,GREEN,no_op,pending_user_approval
WDC,SELL,35.0,746.22998046875,744.3644055175781,26118.04931640625,65.29512329101563,26052.754193115237,154.0,0.144109598120645,0.1105540357192695,88160.71584875125,114919.4169921875,-26758.70114343625,limit,day,target_rebalance,ready,208244.87526122108,r1k-M-20260618-S-WDC-cb3655e04025,cb3655e0402580790cf9d9d0af525aa1ea2d80d7bba0340377535a8fc3828809,False,True,True,GREEN,no_op,pending_user_approval
MU,SELL,12.0,1133.989990234375,1131.155015258789,13607.8798828125,34.01969970703125,13573.86018310547,35.0,0.0497710448894957,0.0315643167005367,25170.793065051184,39689.649658203125,-14518.85659315194,limit,day,target_rebalance,ready,221818.7354443265,r1k-M-20260618-S-MU-d1a0e9bead57,d1a0e9bead5710caba3f6c6f203e71b0ee6b06e1eaa2b099965c5f0017d47cb2,False,True,True,GREEN,no_op,pending_user_approval
STM,SELL,66.0,78.38999938964844,78.19402439117432,5173.739959716797,12.934349899291991,5160.805609817505,1147.0,0.1127518228880549,0.1062076432317211,84694.70874580917,89913.32929992676,-5218.620554117588,limit,day,target_rebalance,ready,226979.54105414404,r1k-M-20260618-S-STM-bace3ace8726,bace3ace872625959581a4f0dbedccffad454759ab9e4503b64a528a65ac30ff,False,True,True,GREEN,no_op,pending_user_approval
CIEN,BUY,68.0,428.2200012207031,429.2905512237549,29118.96008300781,72.79740020751953,-29191.757483215333,104.0,0.055846991269392,0.0926810896196024,73908.03197139411,44534.880126953125,29373.15184444099,limit,day,target_rebalance,ready,197787.7835709287,r1k-M-20260618-B-CIEN-6bf184920be3,6bf184920be3c91a3b4dcebe076d78899f4234db8c5b6cad79ae3a21f24445ff,False,True,True,GREEN,no_op,pending_user_approval
LITE,BUY,19.0,850.0,852.125,16150.0,40.375,-16190.375,39.0,0.0415702872737698,0.0628755839931042,50139.79325292222,33150.0,16989.793252922223,limit,day,target_rebalance,ready,181597.4085709287,r1k-M-20260618-B-LITE-a9537a15d2a0,a9537a15d2a05f316d053c98fbd87de9ccbbc50becda13ffbded840b78e2c43c,False,True,True,GREEN,no_op,pending_user_approval
PWR,BUY,17.0,702.25,704.005625,11938.25,29.845625,-11968.095625,42.0,0.0369862696228116,0.0527475218813877,42063.22508315517,29494.5,12568.725083155172,limit,day,target_rebalance,ready,169629.31294592872,r1k-M-20260618-B-PWR-ea8b516e72fa,ea8b516e72fa86c3a01e557aa9c5392df123cd9c87c79df63f55b22bb6a44906,False,True,True,GREEN,no_op,pending_user_approval
FIX,BUY,4.0,1967.4100341796875,1972.3285592651368,7869.64013671875,19.67410034179688,-7889.314237060546,12.0,0.029605719567836,0.0396742699281637,31638.031256726408,23608.92041015625,8029.110846570158,limit,day,target_rebalance,ready,161739.99870886817,r1k-M-20260618-B-FIX-dac94a794dd6,dac94a794dd6fef88bb13810e9c5e20faf3227005de2712d671d68f71e37e776,False,True,True,GREEN,no_op,pending_user_approval
ON,BUY,40.0,121.62000274658205,121.92405275344848,4864.800109863281,12.162000274658205,-4876.96211013794,329.0,0.0501765040978455,0.0564184280946505,44990.569322280666,40012.98090362549,4977.5884186551775,limit,day,target_rebalance,ready,156863.03659873022,r1k-M-20260618-B-ON-63cf9a886436,63cf9a886436398b05a7ca02a2516352f73ac8326a2e932a4b59d5905e9ce919,False,True,True,GREEN,no_op,pending_user_approval
COHR,BUY,6.0,389.5700073242188,390.5439323425293,2337.4200439453125,5.843550109863282,-2343.263594055176,45.0,0.0219835345489308,0.0251682686738723,20070.299275158333,17530.650329589844,2539.6489455684896,limit,day,target_rebalance,ready,154519.77300467505,r1k-M-20260618-B-COHR-aa49e09f6cb8,aa49e09f6cb8f60c09ff80be010d1b72735cf4828f1e0958996e7644288a293e,False,True,True,GREEN,no_op,pending_user_approval
KEYS,BUY,4.0,363.6700134277344,364.5791884613037,1454.6800537109375,3.636700134277344,-1458.3167538452149,20.0,0.0091208850262724,0.0112571746235747,8976.972815075269,7273.400268554687,1703.5725465205817,limit,day,target_rebalance,ready,153061.45625082983,r1k-M-20260618-B-KEYS-ac0a0aacabab,ac0a0aacababf19d82f1f3797855aa79d2164ee66d6ab9e05c09fa0733383cc4,False,True,True,GREEN,no_op,pending_user_approval
