ticker,target_weight,Name,sector,portfolio_sleeve_label,bridge_reason
CASH,0.1919002291292396,Cash,Cash,,no_op
SNDK,0.12,SANDISK CORP,Information Technology,future_winner,no_op
WDC,0.1105540357192695,WESTERN DIGITAL CORP,Information Technology,future_winner,no_op
STM,0.1062076432317211,STMicroelectronics,Semiconductors,early_scout,no_op
CIEN,0.0926810896196024,CIENA CORP,Information Technology,future_winner,no_op
MRVL,0.0854036951671839,MARVELL TECHNOLOGY INC,Information Technology,future_winner,no_op
LITE,0.0628755839931042,LUMENTUM HOLDINGS INC,Information Technology,future_winner,no_op
ON,0.0564184280946505,ON SEMICONDUCTOR CORP,Information Technology,future_winner,no_op
PWR,0.0527475218813877,QUANTA SERVICES INC,Industrials,future_winner,no_op
FIX,0.0396742699281637,COMFORT SYSTEMS USA INC,Industrials,future_winner,no_op
MU,0.0315643167005367,MICRON TECHNOLOGY INC,Information Technology,future_winner,no_op
COHR,0.0251682686738723,COHERENT CORP,Information Technology,future_winner,no_op
TER,0.013547743237693,TERADYNE INC,Information Technology,unassigned,no_op
KEYS,0.0112571746235747,KEYSIGHT TECHNOLOGIES INC,Information Technology,future_winner,no_op
