portfolio,ticker,current_weight,integrated_target_weight,delta_weight,projected_weight,action,current_value,projected_value,reason,review_flag,source_policy,source_target_book_path,order_side,order_review_action
main,ADI,0.0236152045953019,0.0,-0.0236152045953019,0.0,FULL_EXIT,8690.850128173828,0.0,market_leader_target:market_leader_target_book,operator_review_only,market_leader,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/market_leader_challenger/main_target_book.csv,SELL,FULL_EXIT_REVIEW
main,AMAT,0.0635921061598733,0.0,-0.0635921061598733,0.0,FULL_EXIT,23403.119873046875,0.0,market_leader_target:market_leader_target_book,operator_review_only,market_leader,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/market_leader_challenger/main_target_book.csv,SELL,FULL_EXIT_REVIEW
main,APH,0.020615115938867,0.0,-0.020615115938867,0.0,FULL_EXIT,7586.759719848633,0.0,market_leader_target:market_leader_target_book,operator_review_only,market_leader,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/market_leader_challenger/main_target_book.csv,SELL,FULL_EXIT_REVIEW
main,ATI,0.0261774348229963,0.0,-0.0261774348229963,0.0,FULL_EXIT,9633.800201416016,0.0,market_leader_target:market_leader_target_book,operator_review_only,market_leader,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/market_leader_challenger/main_target_book.csv,SELL,FULL_EXIT_REVIEW
main,CIB,0.0,0.0194722627459567,0.0194722627459567,0.0194722627459567,ADD,0.0,5422.434173182678,market_leader_target:market_leader_target_book,operator_review_only,market_leader,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/market_leader_challenger/main_target_book.csv,BUY,ADD_REVIEW
main,CIEN,0.0378391052631628,0.0439009134586439,0.0060618081954810984,0.0439009134586439,INCREASE,13925.51953125,12225.071964043607,market_leader_target:market_leader_target_book,operator_review_only,market_leader,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/market_leader_challenger/main_target_book.csv,BUY,INCREASE_REVIEW
main,ETR,0.0394100308557097,0.0,-0.0394100308557097,0.0,FULL_EXIT,14503.650405883787,0.0,market_leader_target:market_leader_target_book,operator_review_only,market_leader,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/market_leader_challenger/main_target_book.csv,SELL,FULL_EXIT_REVIEW
main,FTI,0.0280730408340282,0.0,-0.0280730408340282,0.0,FULL_EXIT,10331.419723510742,0.0,market_leader_target:market_leader_target_book,operator_review_only,market_leader,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/market_leader_challenger/main_target_book.csv,SELL,FULL_EXIT_REVIEW
main,GMED,0.0,0.0144972206904211,0.0144972206904211,0.0144972206904211,ADD,0.0,4037.035957941421,market_leader_target:market_leader_target_book,operator_review_only,market_leader,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/market_leader_challenger/main_target_book.csv,BUY,ADD_REVIEW
main,GOOG,0.065462659504143,0.0,-0.065462659504143,0.0,FULL_EXIT,24091.51953125,0.0,market_leader_target:market_leader_target_book,operator_review_only,market_leader,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/market_leader_challenger/main_target_book.csv,SELL,FULL_EXIT_REVIEW
main,KGC,0.0,0.0131843073060034,0.0131843073060034,0.0131843073060034,ADD,0.0,3671.4294285423807,market_leader_target:market_leader_target_book,operator_review_only,market_leader,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/market_leader_challenger/main_target_book.csv,BUY,ADD_REVIEW
main,KO,0.0476611481083029,0.0,-0.0476611481083029,0.0,FULL_EXIT,17540.220474243164,0.0,market_leader_target:market_leader_target_book,operator_review_only,market_leader,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/market_leader_challenger/main_target_book.csv,SELL,FULL_EXIT_REVIEW
main,LITE,0.0,0.0309657499724733,0.0309657499724733,0.0309657499724733,ADD,0.0,8623.021527574409,market_leader_target:market_leader_target_book,operator_review_only,market_leader,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/market_leader_challenger/main_target_book.csv,BUY,ADD_REVIEW
main,LRCX,0.082999132349313,0.0225400948446983,-0.0604590375046147,0.0225400948446983,TRIM,30545.279296875,6276.732301080391,market_leader_target:market_leader_target_book,operator_review_only,market_leader,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/market_leader_challenger/main_target_book.csv,SELL,TRIM_REVIEW
main,MTDR,0.0,0.0296453040276663,0.0296453040276663,0.0296453040276663,ADD,0.0,8255.317408727271,market_leader_target:market_leader_target_book,operator_review_only,market_leader,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/market_leader_challenger/main_target_book.csv,BUY,ADD_REVIEW
