ticker,target_weight,Name,sector,portfolio_sleeve_label
MU,0.3,MICRON TECHNOLOGY INC,Information Technology,future_winner
SNDK,0.2781899142641855,SANDISK CORP,Information Technology,future_winner
CASH,0.1675963139215789,Cash,Cash,
AMD,0.1029905602315827,ADVANCED MICRO DEVICES INC,Information Technology,future_winner
UMC,0.08,United Microelectronics,Semiconductors,future_winner
TXN,0.0712232115826528,TEXAS INSTRUMENT INC,Information Technology,future_winner
