rebalance_date,next_rebalance_date,regime_label,core_target,future_target,early_target,cash_target_used,cash_weight,rebalance_action,due_sleeves,active_rebalance_interval_months,target_n,drawdown_before_month,drawdown_after_month,equity_after_month,regime_state,style_breakout_preference,style_turnaround_preference,style_quality_compounder_preference,style_cash_defense_preference,style_liquidity_tailwind_score,style_rate_pressure_score,style_inflation_pressure_score,style_overheat_risk_score,market_style_regime_label,regime_state_from_candidates,macro_risk_score,macro_risk_state,macro_style_state,recommended_cash_floor,recommended_target_n,recommended_core_capacity,recommended_future_capacity,recommended_early_capacity,recommended_concentrated_capacity,recommended_tactical_capacity,recommended_new_buy_policy,recommended_trim_policy,recommended_action,research_only,production_activation_allowed
2019-04-30,2019-05-31,balanced,0.25,0.35,0.4,0.0,0.2149340706985424,initial_rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.0181989833569119,0.981801016643088,bull,0.29188804883184266,0.21292217773244534,0.40443614973588754,0.07767667593849112,0.0888814424622051,0.11504575354592708,0.15154842147836273,0.13619610681475236,balanced,bull,0.0,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-05-31,2019-06-28,risk_off_alert,0.18,0.36,0.18,0.28,0.3437404015061125,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.0181989833569119,0.0,1.029589629331126,bear,0.04174142549947611,0.20073202515527153,0.41973435083941774,0.5907781509154043,0.3539781394797398,0.0,0.0,0.23822423037981133,cash_defense,bear,0.99,red,cash_defense,0.28,16,0.35,0.25,0.12,0.05,0.0,no_new_buy_except_top_quality_or_recovery,half_trim_then_exit_relative_losers,defend_half_trim_stale_leaders_no_tactical_new_buys,True,False
2019-06-28,2019-07-31,balanced,0.25,0.35,0.4,0.0,0.0294536109988706,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.0391312972042848,neutral,0.3200884751951927,0.24956524899488194,0.3477488818776998,0.028630947181852606,0.13800300483131417,0.0,0.0,0.10592283488058768,balanced,neutral,0.1,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-07-31,2019-08-30,balanced,0.25,0.35,0.4,0.0,0.0391168457903042,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,1.0541952997198465,neutral,0.19317585346522495,0.23746502915201295,0.5003760121538899,0.17615802168646452,0.1535862108558074,0.08971161512466937,0.0765660873921959,0.1441213654435841,quality_compounder,neutral,0.1,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-08-30,2019-09-30,balanced,0.25,0.35,0.4,0.0,0.0849957526688897,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.0054426298988315,1.048457704862383,neutral,0.1483159978810005,0.15733287620012731,0.5329108304054868,0.41002015889497007,0.14334730093386286,0.0,0.0,0.23240372963170627,quality_compounder,neutral,0.1,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-09-30,2019-10-31,balanced,0.25,0.35,0.4,0.0,0.0,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.0054426298988315,0.0,1.0682519077628936,neutral,0.20270656887778524,0.30804081577757325,0.5114560189660293,0.07462060150947561,0.24772235261474837,0.4668566237334311,0.42770545681325706,0.2070316123481732,quality_compounder,neutral,0.1,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-10-31,2019-11-29,growth_reentry_alert,0.25,0.35,0.4,0.0,0.0319860095177855,rebalance,"core_compounder,early_scout,future_winner",1,20,0.0,0.0,1.070842901220597,neutral,0.5561396225400186,0.41641852676267893,0.48532734733609423,0.011230382130235002,0.41354311833890106,0.3249096942471594,0.4148573589770666,0.155776668970087,breakout_growth,neutral,0.18,recovery,breakout_growth,0.1,14,0.25,0.4,0.3,0.1,0.03,staged_scout_then_confirm,keep_cash_until_confirmation,staged_reentry_scout_then_scale_confirmed_new_leaders,True,False
2019-11-29,2019-12-31,balanced,0.25,0.35,0.4,0.0,0.0392068572056495,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,20,0.0,0.0,1.1011417607285052,bull,0.395137168440335,0.33192862478200363,0.3642054218386415,0.022086703843630703,0.43184690552301536,0.1641522447202206,0.0775007344094956,0.11531365444446572,balanced,bull,0.0,green,breakout_growth,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_future_winners_and_monster_breakouts,True,False
2019-12-31,2020-01-31,balanced,0.25,0.35,0.4,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.1588710407689466,neutral,0.3725526609044497,0.2814792415152753,0.5425269426661837,0.0948759499090721,0.18057063733538498,0.5333428856677235,0.7352571999068758,0.21589054503776434,quality_compounder,neutral,0.1,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2020-01-31,2020-02-28,balanced,0.25,0.35,0.4,0.0,0.3030762954281398,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.0303416033373121,1.1237090353308372,neutral,0.21811450708518135,0.11856617684756839,0.5955088126085041,0.5048248423345577,0.12518978279938772,0.0,0.0,0.2832854418294902,quality_compounder,neutral,0.25,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
