rebalance_date,diagnostic_flags,regime_label,previous_regime_label,macro_risk_state,regime_state,cash_weight,cash_target_used,cash_raise_confirmation_count,drawdown_before_month,drawdown_after_month,recommended_action
2019-04-30,unconfirmed_cash_raise,balanced,,green,bull,0.2623560253277189,0.0,0,0.0,-0.0227292505580738,favor_core_compounders_long_hold
2021-08-31,late_risk_alert,balanced,balanced,green,bull,0.2345814966442753,0.0,0,0.0,-0.0529735212197739,favor_core_compounders_long_hold
2021-12-31,unconfirmed_cash_raise,balanced,balanced,green,bull,0.337985598767027,0.0,0,0.0,-0.0482579167481236,favor_core_compounders_long_hold
2022-01-31,late_risk_alert,balanced,balanced,yellow,neutral,0.0722055596031117,0.0,1,-0.0482579167481236,-0.0595420059081185,slow_new_buys_scout_only_require_confirmation
2022-03-31,late_risk_alert;premature_growth_reentry;unconfirmed_cash_raise,growth_reentry_alert,balanced,recovery,neutral,0.6967048277295637,0.0,0,-0.0214997204790761,-0.0880659334502444,staged_reentry_scout_then_scale_confirmed_new_leaders
2022-05-31,balanced_under_drawdown;unconfirmed_cash_raise,balanced,risk_off_alert,yellow,bear,0.6790981679247519,0.0,1,-0.0912358318018296,-0.1470144776210777,slow_new_buys_scout_only_require_confirmation
2022-06-30,late_risk_alert;balanced_under_drawdown,balanced,balanced,yellow,bear,0.0854509246025198,0.0,1,-0.1470144776210777,-0.1160820889393342,slow_new_buys_scout_only_require_confirmation
2022-07-29,late_risk_alert;balanced_under_drawdown,balanced,balanced,yellow,bear,0.1678418673328706,0.0,1,-0.1160820889393342,-0.1374613901942777,slow_new_buys_scout_only_require_confirmation
2022-08-31,late_risk_alert;balanced_under_drawdown,balanced,balanced,yellow,bear,0.1624202935111909,0.0,1,-0.1374613901942777,-0.1746278604680355,slow_new_buys_scout_only_require_confirmation
2022-09-30,balanced_under_drawdown,balanced,balanced,crisis,bear,0.069561538739417,0.0,3,-0.1746278604680355,-0.0947878411266023,raise_cash_exit_distribution_only_hold_best_structural_winners
2022-10-31,balanced_under_drawdown,balanced,balanced,yellow,bear,0.095564988358262,0.0,1,-0.0947878411266023,-0.0832841733169942,slow_new_buys_scout_only_require_confirmation
2022-11-30,late_risk_alert;balanced_under_drawdown,balanced,balanced,green,neutral,0.1918881033145586,0.0,0,-0.0832841733169942,-0.1166249124339842,favor_early_scout_turnaround_accumulation
2022-12-30,late_risk_alert;balanced_under_drawdown,balanced,balanced,yellow,bear,0.0467133429707262,0.0,1,-0.1166249124339842,-0.0861296196620021,slow_new_buys_scout_only_require_confirmation
2023-01-31,late_risk_alert;balanced_under_drawdown,balanced,balanced,green,neutral,0.249344927323409,0.0,0,-0.0861296196620021,-0.0978064644056962,favor_future_winners_and_monster_breakouts
2023-02-28,late_risk_alert;balanced_under_drawdown,balanced,balanced,green,neutral,0.1157351696407733,0.0,0,-0.0978064644056962,-0.0641426005540478,favor_core_compounders_long_hold
2023-03-31,late_risk_alert;unconfirmed_cash_raise,balanced,balanced,green,bull,0.2829816090063526,0.0,0,-0.0641426005540478,-0.0602547998408491,favor_future_winners_and_monster_breakouts
2023-08-31,late_risk_alert;unconfirmed_cash_raise,balanced,balanced,green,bull,0.425278635493065,0.0,0,0.0,-0.0625705482279082,favor_core_compounders_long_hold
2024-03-28,unconfirmed_cash_raise,balanced,balanced,green,strong_bull,0.3295750365725504,0.0,0,0.0,-0.0422329900323938,favor_core_compounders_long_hold
2024-05-31,possible_cash_drag;unconfirmed_cash_raise,balanced,balanced,green,neutral,0.2686249246176417,0.0,0,0.0,0.0,favor_future_winners_and_monster_breakouts
2024-11-29,unconfirmed_cash_raise,growth_reentry_alert,balanced,recovery,bull,0.3618900889428044,0.0,0,0.0,-0.0408439581130599,staged_reentry_scout_then_scale_confirmed_new_leaders
2025-01-31,possible_cash_drag;unconfirmed_cash_raise,balanced,balanced,green,neutral,0.2559655464153407,0.0,0,-0.0111775207702031,0.0,favor_core_compounders_long_hold
2025-05-30,possible_cash_drag;unconfirmed_cash_raise,balanced,balanced,green,neutral,0.2769263073148573,0.0,0,0.0,0.0,favor_future_winners_and_monster_breakouts
2025-09-30,possible_cash_drag;unconfirmed_cash_raise,balanced,balanced,green,neutral,0.3276229617831047,0.0,0,0.0,0.0,favor_core_compounders_long_hold
2025-10-31,unconfirmed_cash_raise,balanced,balanced,green,neutral,0.3585434931775634,0.0,0,0.0,-0.0220465925695819,favor_core_compounders_long_hold
2026-01-30,possible_cash_drag;unconfirmed_cash_raise,balanced,balanced,green,neutral,0.4125088461876118,0.0,0,0.0,0.0,favor_core_compounders_long_hold
2026-05-13,possible_cash_drag;unconfirmed_cash_raise,balanced,risk_off_alert,green,neutral,0.2877770638940676,0.2877770638940676,0,0.0,0.0,favor_future_winners_and_monster_breakouts
