rebalance_date,regime_label,rebalance_action,reported_cash_weight,book_explicit_cash_weight,book_stock_weight_sum,book_total_weight_sum,reported_vs_book_cash_gap,cash_target_used,target_defense_cash,excess_cash_over_target,possible_idle_cash,drawdown_or_risk_defense,confirmed_macro_defense,event_shock_without_confirmation,partial_rebalance,stock_count,target_n,drawdown_before_month,drawdown_after_month,next_rebalance_date,primary_cash_reason
2019-04-30,balanced,initial_rebalance,0.2620595693275108,0.0,0.9999999999999993,0.9999999999999993,0.2620595693275108,0.0,0.0,0.2620595693275108,True,False,False,False,False,18,18.0,0.0,-0.024875016816057,2019-05-31,cash_export_mismatch
2019-05-31,risk_off_alert,"partial_rebalance:core_compounder,early_scout",0.3039719051049858,0.28,0.7199999999999992,0.9999999999999992,0.023971905104985758,0.28,0.28,0.023971905104985758,False,True,True,False,True,18,18.0,-0.024875016816057,0.0,2019-06-28,confirmed_macro_defense_cash
2019-06-28,balanced,rebalance,0.0390162070102584,0.0,0.9999999999999992,0.9999999999999992,0.0390162070102584,0.0,0.0,0.0390162070102584,True,False,False,False,False,18,18.0,0.0,0.0,2019-07-31,cash_export_mismatch
2019-07-31,balanced,"partial_rebalance:core_compounder,early_scout",0.0570133026412094,0.0,0.9999999999999993,0.9999999999999993,0.0570133026412094,0.0,0.0,0.0570133026412094,True,False,False,False,True,18,18.0,0.0,0.0,2019-08-30,cash_export_mismatch
2019-08-30,balanced,rebalance,0.0893819475562389,0.0,0.9999999999999994,0.9999999999999994,0.0893819475562389,0.0,0.0,0.0893819475562389,True,False,False,False,False,18,18.0,0.0,-0.0053663180686598,2019-09-30,cash_export_mismatch
2019-09-30,balanced,"partial_rebalance:core_compounder,early_scout",0.0,0.0,0.9999999999999992,0.9999999999999992,0.0,0.0,0.0,0.0,False,False,False,False,True,18,18.0,-0.0053663180686598,0.0,2019-10-31,no_cash
2019-10-31,growth_reentry_alert,rebalance,0.0298662093752076,0.0,0.9999999999999984,0.9999999999999984,0.0298662093752076,0.0,0.0,0.0298662093752076,True,False,False,False,False,33,20.0,0.0,0.0,2019-11-29,cash_export_mismatch
2019-11-29,balanced,"partial_rebalance:core_compounder,early_scout",0.03669192018672,0.0,0.9999999999999983,0.9999999999999983,0.03669192018672,0.0,0.0,0.03669192018672,True,False,False,False,True,42,20.0,0.0,0.0,2019-12-31,cash_export_mismatch
2019-12-31,balanced,rebalance,0.0,0.0,0.999999999999999,0.999999999999999,0.0,0.0,0.0,0.0,False,False,False,False,False,18,18.0,0.0,0.0,2020-01-31,no_cash
2020-01-31,balanced,"partial_rebalance:core_compounder,early_scout",0.278451389525393,0.0,0.9999999999999992,0.9999999999999992,0.278451389525393,0.0,0.0,0.278451389525393,True,False,False,False,True,18,18.0,0.0,-0.0349353216551481,2020-02-28,cash_export_mismatch
