split,feature,rows,auc,spearman
holdout,crisis_score,1683,0.4739838919085448,-0.022830341347112582
holdout,cash_raise_confirmation_score,1683,0.41960257905507997,-0.07055249381379816
holdout,liquidity_confirmation_score,1683,0.3490884184582884,-0.13245783141372186
holdout,market_trend_damage_score,1683,0.5077487181744162,0.006824252204722749
holdout,volatility_stress_score,1683,0.5358526065620668,0.03216663066839377
holdout,credit_stress_score,1683,0.4383843496248047,-0.07415665084510258
holdout,rate_shock_score,1683,0.6192647932574874,0.10466792764098563
holdout,vix_zscore_252d,1683,0.6304216270932816,0.11445102607654851
holdout,hy_oas_zscore_252d,735,0.1912285245618579,-0.2214962535987331
holdout,m2_6m_change_lag1m,1683,0.3899142882292102,-0.09660950357561321
holdout,net_liquidity_13w_change_pct,1683,0.466078383909513,-0.02976779179615098
holdout,fed_assets_13w_change_pct,1683,0.39266223620799684,-0.09419426410174357
holdout,reverse_repo_13w_change_pct,1657,0.4637914251829309,-0.0320054386567266
holdout,tga_13w_change_pct,1683,0.6071507162819356,0.0940301205427533
holdout,dxy_ret_20d,1683,0.5185011993046234,0.01623566048499026
test,crisis_score,2232,0.31906123292966887,-0.09365719790235934
test,cash_raise_confirmation_score,2232,0.289110050255774,-0.10916081427779767
test,liquidity_confirmation_score,2232,0.3071715618847264,-0.09985550257858103
test,market_trend_damage_score,2232,0.41565750555150993,-0.043809758238296075
test,volatility_stress_score,2232,0.3958473806762503,-0.0557188511225054
test,credit_stress_score,2232,0.5,
test,rate_shock_score,2232,0.47210310075428613,-0.014443211726205487
test,vix_zscore_252d,2183,0.4954730783067514,-0.0018554185550235522
test,hy_oas_zscore_252d,0,,
test,m2_6m_change_lag1m,2106,0.6498872910998834,0.06253151000152238
test,net_liquidity_13w_change_pct,2167,0.5611030566630422,0.025134856240230038
test,fed_assets_13w_change_pct,2167,0.5781080101486046,0.03212993980987739
test,reverse_repo_13w_change_pct,2167,0.3878971849703999,-0.04612885348885556
test,tga_13w_change_pct,2167,0.5304156095203576,0.012511542686986284
test,dxy_ret_20d,2212,0.3027124032200174,-0.09648083225589188
all,crisis_score,3915,0.4520790329692802,-0.03354613546271934
all,cash_raise_confirmation_score,3915,0.4079101668594508,-0.06446578445820525
all,liquidity_confirmation_score,3915,0.36390985371839035,-0.09529524778246666
all,market_trend_damage_score,3915,0.4969013413940529,-0.0021768209324483315
all,volatility_stress_score,3915,0.5009330325474984,0.0006716611037439217
all,credit_stress_score,3915,0.48996670479744886,-0.013739158288812463
all,rate_shock_score,3915,0.5905688622754491,0.06340904415469593
all,vix_zscore_252d,3866,0.6164172579491598,0.07712903722776947
all,hy_oas_zscore_252d,735,0.1912285245618579,-0.2214962535987331
all,m2_6m_change_lag1m,3789,0.4368450839973551,-0.042247938843975055
all,net_liquidity_13w_change_pct,3850,0.48385846372035174,-0.010715448211837194
all,fed_assets_13w_change_pct,3850,0.4440194657393068,-0.03716232026320804
all,reverse_repo_13w_change_pct,3824,0.4298942312851167,-0.04669392343048952
all,tga_13w_change_pct,3850,0.5635750384409772,0.04220388337644462
all,dxy_ret_20d,3895,0.438733212015157,-0.04224821678003553
