signal,split,status,row_count,spearman,low_quantile_count,high_quantile_count,low_quantile_mean,high_quantile_mean,high_minus_low,high_quantile_positive_rate
w4_sec_score,full,ok,34835,0.008544005761809194,6967,6967,0.011175416265731859,0.015109267998573844,0.003933851732841985,0.5484426582460169
w4_sec_score,is,ok,23807,0.005121205643114102,4762,4762,0.011800587999458453,0.014480454416510271,0.002679866417051818,0.5533389332213355
w4_sec_score,oos,ok,11028,0.018035486519840497,2206,2205,0.010396105178585654,0.01755789201692427,0.007161786838338615,0.5414965986394558
financial_statement_proxy_score,full,ok,47435,0.008887731916180136,9487,9487,0.009385329833307888,0.013882308676962508,0.0044969788436546206,0.5531780330979235
financial_statement_proxy_score,is,ok,32992,0.010253616964904316,6599,6599,0.009694783841841404,0.014142831020612397,0.004448047178770993,0.5587210183361115
financial_statement_proxy_score,oos,ok,14443,0.005093189701283519,2889,2889,0.008897325923181914,0.01301508249339428,0.004117756570212365,0.5382485289027346
technical_momentum_score,full,ok,47429,0.0019382586428654941,9486,9486,0.01110607970752935,0.013492407740010452,0.002386328032481101,0.5468058191018342
technical_momentum_score,is,ok,32986,-0.008129984872042157,6598,6597,0.01406962683079928,0.013209349707667779,-0.0008602771231315011,0.5543428831286948
technical_momentum_score,oos,ok,14443,0.02363575539536726,2889,2889,0.004483181006897382,0.014216344826100758,0.009733163819203375,0.5347871235721703
macro_regime_score,full,ok,47410,0.004000373659501393,9482,9482,0.011383829197765939,0.013166078521327763,0.0017822493235618245,0.5566336215988188
macro_regime_score,is,ok,32972,0.003506807220680697,6596,6595,0.01266928553181113,0.013493874572801441,0.0008245890409903107,0.5648218347232752
macro_regime_score,oos,ok,14438,0.004227205914479642,2888,2888,0.008484652651742497,0.011991849140819511,0.003507196489077014,0.5335872576177285
risk_control_score,full,ok,47419,0.0009148068460482448,9484,9484,0.015939164258894436,0.011380388851445683,-0.004558775407448753,0.5573597638127372
risk_control_score,is,ok,32978,0.003910347129623232,6596,6595,0.015065209675442452,0.014540283112139686,-0.0005249265633027658,0.5686125852918877
risk_control_score,oos,ok,14441,-0.00453917454805968,2889,2886,0.017319305235315004,0.006211770275547615,-0.01110753495976739,0.533957033957034
all_source_equal_score,full,ok,47435,0.008480819157333291,9487,9487,0.011078401645624911,0.012467587387417092,0.0013891857417921809,0.5513861073047328
all_source_equal_score,is,ok,32992,0.004927989540367033,6599,6599,0.013092791006290645,0.014246177778306732,0.0011533867720160875,0.5619033186846492
all_source_equal_score,oos,ok,14443,0.01640548437011597,2889,2889,0.0069897011829101316,0.008780995071113146,0.0017912938882030148,0.5275181723779855
growth_confirmation_score,full,ok,47435,0.009989871978211093,9487,9487,0.009957904198999543,0.014632831799506033,0.004674927600506491,0.5576051438811005
growth_confirmation_score,is,ok,32992,0.0038765206569913455,6599,6599,0.01207911428238213,0.015104203150439758,0.003025088868057628,0.564176390362176
growth_confirmation_score,oos,ok,14443,0.023105634239209895,2889,2889,0.005082471912461877,0.013624783086850547,0.00854231117438867,0.5441329179646937
drawdown_aware_fusion_score,full,ok,47435,0.007556506232418178,9487,9487,0.01114110169823417,0.012482301322466992,0.0013411996242328212,0.5501212185095393
drawdown_aware_fusion_score,is,ok,32992,0.0038127165612196466,6599,6599,0.012752628629509283,0.014358774830999725,0.0016061462014904417,0.560539475678133
drawdown_aware_fusion_score,oos,ok,14443,0.015919504527879134,2889,2889,0.007028277184735815,0.0077982149039837745,0.0007699377192479599,0.5233644859813084
three_plus_sleeve_consensus_score,full,ok,44206,0.008873729399258219,8842,8841,0.011502594085021033,0.01289930068244583,0.0013967065974247964,0.5533310711457979
three_plus_sleeve_consensus_score,is,ok,30704,0.004210814367738598,6141,6141,0.013409233168736958,0.014686284489203732,0.0012770513204667742,0.5640775118058948
three_plus_sleeve_consensus_score,oos,ok,13502,0.019121932589657394,2701,2701,0.007138051269126105,0.009492714786746686,0.002354663517620581,0.5309144761199556
