rebalance_date,ticker,Name,sector,industry_group,forward_return_audit_only,w4_sec_score,financial_statement_proxy_score,technical_momentum_score,macro_regime_score,risk_control_score,all_source_equal_score,growth_confirmation_score,drawdown_aware_fusion_score,three_plus_sleeve_consensus_score,positive_sleeve_count,negative_sleeve_count
2023-03-31,AMAT,APPLIED MATERIAL INC,Information Technology,Semiconductors,-0.0796679145457966,1.0,0.32641307565557837,0.4735638027452974,0.29225978647686834,0.18090154211150655,0.45462764139785,0.5321243670328575,0.44431866080251975,0.45462764139785,5,0
2021-06-30,GOOGL,ALPHABET INC CLASS A,Communication,Internet Content & Information,0.1100183836027333,0.39999998172861684,0.5279088390041736,0.49060489060489065,0.33603603603603605,0.35795795795795793,0.422501541066335,0.446365879571872,0.4242638991683935,0.422501541066335,5,0
2025-02-28,VRSN,VERISIGN INC,Information Technology,Software - Infrastructure,0.0723054745547959,1.0,0.2966175234138599,0.5666131621187801,0.2782905296950241,0.04173354735152487,0.4366509525158378,0.5497964354281037,0.422780713408959,0.4366509525158378,5,0
2024-12-31,V,VISA INC CLASS A,Financials,Consumer Finance,0.0843981019047119,0.39884350633873533,0.3977439157854815,0.5615366919714745,0.3476247987117552,0.32286634460547503,0.4057230514825843,0.4371328228648476,0.4085662033000045,0.4057230514825843,5,0
2020-03-31,VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Biotechnology,0.0738411155876304,0.3976196059727075,0.28933805239014415,0.7136686207960504,0.32100431965442766,0.28077753779697623,0.4004816273220612,0.45004086476041355,0.4077250330195542,0.4004816273220612,5,0
2019-09-30,GOOGL,ALPHABET INC CLASS A,Communication,Internet Content & Information,0.0267159938291392,0.3999995750346625,0.4235326737798725,0.36458040976705025,0.3347249508840865,0.48199083169613627,0.40096568823236156,0.38220217531056616,0.4071493394069587,0.40096568823236156,5,0
2020-03-31,AMZN,AMAZON.COM INC,Consumer Discretionary,Internet Content & Information,0.2089168285981146,0.399999983320696,0.1960985752634352,0.7283245911755631,0.2918466522678186,0.34089272858171354,0.39143250612184527,0.4258913474522655,0.4046416927346275,0.39143250612184527,5,0
2023-11-30,V,VISA INC CLASS A,Financials,Consumer Finance,0.0107901242090879,0.39999564988529657,0.4700290651377608,0.43141821946169767,0.3430706521739131,0.3707729468599034,0.4030573067037143,0.4155457750290562,0.404352567986768,0.4030573067037143,5,0
2026-02-27,ARES,ARES MANAGEMENT CORP CLASS A,Financials,Capital Markets,0.0160259834535112,-0.599572831718919,-0.2204336066191368,-0.6662820216939764,-0.2294022617124394,-0.24340333871836295,-0.39181881209256686,-0.45076666843519475,-0.3989258360059868,-0.39181881209256686,0,5
2021-06-30,GOOG,ALPHABET INC CLASS C,Communication,Internet Content & Information,0.0851803353515801,0.39999999927767105,0.5304828415781763,0.47348777348777354,0.33445945945945943,0.26036036036036037,0.3997580868326881,0.4415589341521858,0.39625929070422944,0.3997580868326881,5,0
2020-01-31,ADBE,ADOBE INC,Information Technology,Software - Application,0.0027446908991024,0.39999943654797276,0.3876478575667583,0.5172268907563026,0.31176470588235294,0.3395424836601307,0.3912362748827034,0.41443283193204417,0.39571024486406575,0.3912362748827034,5,0
