months,cagr,sharpe,max_dd,terminal_multiple,avg_monthly_return,vol_ann,model,cash_cap,single_name_cap,avg_cash_weight,avg_turnover_monthly,delta_cagr_vs_base,delta_max_dd_vs_base,production_activation_allowed
83,0.35868955754540366,1.875055428601023,-0.13959440253355904,8.331981746506672,0.02707653480053202,0.17328470009486896,cash0.00_cap0.18,0.0,0.18,-4.493560811265223e-18,0.4923715096859872,0.014687014387317454,-0.0853772423312893,False
83,0.35864617810634947,1.8754986212331795,-0.13965798382272399,8.330141958299953,0.027073122896154177,0.17322192140042011,cash0.00_cap0.22,0.0,0.22,-3.869164861327788e-18,0.4929864538734199,0.014643634948263262,-0.08544082362045424,False
83,0.35862414079626204,1.8757145711308176,-0.13969357162265228,8.329207455470215,0.027071402229699802,0.1731909703940457,cash0.00_cap0.25,0.0,0.25,7.153121803048943e-18,0.49330957505874656,0.014621597638175832,-0.08547641142038254,False
83,0.3585870033197853,1.8760624874348208,-0.139758696950674,8.327632825659872,0.02706852393386902,0.1731404414202453,cash0.00_cap0.33,0.0,0.33,4.929854215614812e-18,0.4938628027300922,0.01458446016169912,-0.08554153674840426,False
83,0.3504801811781346,1.8821752562279517,-0.13522467702135899,7.989939447424995,0.02650004771434271,0.16895375259018877,cash0.03_cap0.18,0.03,0.18,0.027488169051787442,0.484728527853213,0.006477638020048415,-0.08100751681908924,False
83,0.35040400543559835,1.8824470028293483,-0.13530245583303357,7.986822737773731,0.0264945880011646,0.16889455880357518,cash0.03_cap0.22,0.03,0.22,0.02748816905178744,0.485186940659349,0.006401462277512149,-0.08108529563076383,False
83,0.35036495496100395,1.882576038988133,-0.13534517451327566,7.985225401558955,0.02649180168321855,0.1688652217041346,cash0.03_cap0.25,0.03,0.25,0.027488169051787442,0.4854225089245897,0.0063624118029177446,-0.08112801431100591,False
83,0.35029873968108416,1.882778298050124,-0.13542213218805443,7.9825175298332836,0.026487097144150852,0.1688170965529944,cash0.03_cap0.33,0.03,0.33,0.027488169051787442,0.48582221489440774,0.006296196522997954,-0.08120497198578469,False
83,0.3459232940141086,1.889613439015177,-0.13230543230338476,7.805315716408539,0.026175159777874907,0.16622548868947584,cash0.05_cap0.18,0.05,0.18,0.044341170875745656,0.48127538980852197,0.0019207508560223907,-0.07808827210111502,False
83,0.345831324508038,1.8897918251079548,-0.13239275626040847,7.8016274432816894,0.02616871271723484,0.16616885967790626,cash0.05_cap0.22,0.05,0.22,0.044341170875745656,0.48162214017043264,0.0018287813499517913,-0.07817559605813873,False
83,0.3457839917853265,1.8898732684481978,-0.13244026918012586,7.799729829950598,0.026165406600511955,0.16614070607176798,cash0.05_cap0.25,0.05,0.25,0.04434117087574567,0.4818011022933951,0.0017814486272402785,-0.07822310897785612,False
83,0.3457034967177577,1.8899953988901876,-0.13252518210805897,7.796503613723394,0.026159802901282486,0.16609439102323922,cash0.05_cap0.33,0.05,0.33,0.044341170875745656,0.48211353020842773,0.0017009535596714809,-0.07830802190578923,False
83,0.3414312126225547,1.9081118054119024,-0.1274229836928955,7.6269017327486734,0.02584145037145452,0.1625153219942024,cash0.08_cap0.18,0.08,0.18,0.06645769787619038,0.47920328057047545,-0.002571330535531491,-0.07320582349062577,False
83,0.34131434188781484,1.9081480927303605,-0.12752369350206927,7.622306892358569,0.02583343428735437,0.16246181972420867,cash0.08_cap0.22,0.08,0.22,0.06645769787619038,0.4794354606655813,-0.002688201270271362,-0.07330653329979953,False
83,0.3412541295787799,1.9081574750187706,-0.12757788812372772,7.61994053507985,0.02582931432383605,0.1624351113280017,cash0.08_cap0.25,0.08,0.25,0.06645769787619041,0.47955687892625704,-0.0027484135793063302,-0.07336072792145798,False
83,0.34115167641085464,1.9081588216227579,-0.12767382449210052,7.6159155469001805,0.025822319699634586,0.16239100901050457,cash0.08_cap0.33,0.08,0.33,0.06645769787619038,0.47976401859122497,-0.002850866747231562,-0.07345666428983078,False
