,median_value
r_12m,0.0977230909334399
r_24m,0.2080818262297579
px,83.4550552368164
open_px,83.44141733179075
mktcap,13714557885.742188
fund_panel_raw_flow_4q_cov_mean,0.5
fund_effective_age_days,56.0
fund_join_gap_days,44.0
shares,178633000.0
assets,7887500000.0
liabilities,4744000000.0
book_to_market_proxy,0.17901679609497215
capital_efficiency_score,0.0
dividend_yield_ttm,0.011913764319690464
dividend_policy_score,0.02828318591345422
garp_score,0.009411207877946854
fundamental_presence_score,0.8596
fundamental_reliability_score,0.8477800000000001
sales_growth_yoy,0.0
asset_growth_yoy,0.045702306079664634
fund_history_quarters_available,30.0
earn_gap_1d,0.0004252928827550573
rs_sector_6m,-0.016975748264534712
debt_to_equity,0.8576434310996613
dilution_penalty,0.0
sage_composite_score,0.008615155329612685
sage_g_score,0.0
sage_v_score,0.0
sage_q_score,0.0
sage_c_score,0.008392817975094613
mom_1m,0.013000001813206374
mom_3m,0.03228188188759096
mom_6m,0.06389696677753287
mom_12m,0.13032067461445118
mom_18m,0.21302715423228813
mom_24m,0.29982406965519004
mom_36m,0.4593072233720379
multi_year_winner_score,0.05594209169118419
fundamental_turnaround_acceleration_score,0.0
cashflow_inflection_under_loss_score,0.0
value_inflection_score,-0.02354503036797098
uptrend_continuation_score,0.03461800609805003
uptrend_breakdown_penalty,0.2
dist_ma200,0.048081351077944756
golden_cross_fresh_20d,0.0
death_cross_recent_20d,0.0
near_52w_high_pct,-0.10279634601690546
ma200_slope_1m,0.01026039617771679
breakout_distance_63d,-0.06157060857436103
breakout_fresh_20d,0.0
breakout_volume_z,0.0
volume_dryup_20d,0.011552150530599437
volatility_contraction_score,0.03959852802227892
atr14_pct,0.05233907639361275
post_breakout_hold_score,0.41
rsi14,52.24593931705882
macd_hist,0.005130174695541834
bb_pb,0.5669274171710036
obv_trend,0.003165316741159725
vol_252d,0.01916185912061755
dd_1y,0.317612238455488
dollar_vol_20d,121596890.3572464
debt_to_equity_delta_4q,-0.004287172817003582
shares_yoy,0.0
quality_trend_score,0.0
event_reaction_score,0.0
moat_proxy_score,0.07492946493132231
profitability_inflection_score,-0.01433914902518263
anticipatory_growth_score,0.018038006617311513
archetype_emerging_growth_score,-0.00852309094954638
archetype_compounder_score,-0.026022622736911527
archetype_cyclical_recovery_score,0.008273251751309274
archetype_defensive_value_score,-0.06554085022864654
archetype_alignment_score,-0.004010657270002181
future_winner_scout_score,-0.01427680269704407
long_hold_compounder_score,-0.009567967868358281
revision_blueprint_score,0.006923918648457822
growth_blueprint_score,0.0017763252464439688
valuation_blueprint_score,0.0
moat_quality_blueprint_score,0.02323706033702746
technical_blueprint_score,0.1933628349231802
macro_hedge_score,-0.008002909185890717
strategy_blueprint_score,0.04724928198155953
val_residual_ep,0.0
val_residual_sp,0.0
val_residual_fcfy,0.0
spy_ret_1m,0.020519537835420598
spy_ret_3m,0.04968026801470882
qqq_rel_spy_1m,0.004196818835443317
smh_rel_spy_1m,0.011265185005279288
vix_z_63d,-0.08070829600574604
vix_change_1m,-0.47000000000000064
dgs10_change_1m,0.010000000000000009
dxy_ret_1m,-0.0005324945512185097
dba_ret_1m,0.003970136867885277
gld_ret_1m,0.007063051653704022
slv_ret_1m,0.011071409497942275
cper_ret_1m,0.0038004715727117944
uso_ret_1m,0.011527811609505001
ung_ret_1m,-0.014869874505675895
m2_yoy_lag1m,0.03981219586916418
cpi_yoy,0.02854124785561929
core_cpi_yoy,0.032133335461932644
cpi_3m_ann,0.031584911773706814
ppi_yoy,0.016704770186683815
ppi_cpi_gap,-0.008898976018857141
unrate_level,3.9
unrate_3m_change,0.0
sahm_realtime,0.1
reverse_repo_bil,6.0
fed_assets_change_1m_bil,-6.0
reverse_repo_change_1m_bil,1.4
tga_change_1m_bil,-0.6469999999999914
net_liquidity_change_1m_bil,6.0
liquidity_impulse_score,0.2
liquidity_drain_score,0.28218819182705157
fear_greed_delta_1w,-1.4034234086536088
fear_greed_risk_off_score,0.07872945864050129
fear_greed_risk_on_score,0.3002418077696498
macro_risk_off_score,0.07068099216511503
market_regime_score,0.1242121114882542
inflation_pressure_score,0.07629521562128783
liquidity_regime_score,-0.07754615346506988
inflation_reacceleration_score,-0.06529786822494771
upstream_cost_pressure_score,0.05761152255495432
labor_softening_score,0.06323350870093089
stagflation_score,0.0444056160825018
growth_liquidity_reentry_score,-0.012201683550591322
macro_beta_vix_interaction,0.00010420265957000867
macro_duration_rate_interaction,0.0
macro_tech_leadership_interaction,0.0
macro_semis_cycle_interaction,0.0
macro_energy_oil_interaction,0.0
macro_materials_copper_interaction,0.0
macro_defensive_riskoff_interaction,0.0
macro_momentum_regime_interaction,0.000112384799070621
within_sector_leader_score,0.023239936025855067
leader_emergence_score,-0.0136505482628814
leader_safety_score,-0.009157868026493921
dynamic_leader_score,0.028567811919851922
market_breadth_above_ma200,0.6427584576633044
market_breadth_above_ma150,0.6542472895412893
market_trend_template_ratio,0.4039078967127622
market_near_high_ratio,0.9516883993053957
market_sector_participation,0.6666666666666665
market_leadership_narrowing,0.05624044955468583
market_overheat_ratio,0.24612750110339907
market_breadth_regime_score,0.5638297811094278
bench_ret_1m,0.0190108482748228
bench_ret_3m,0.04499802617750048
bench_ret_6m,0.07178038729277048
bench_ret_12m,0.14378029079159926
bench_dd_1y,0.18902207791150916
rs_benchmark_3m,-0.0016429398331700984
rs_benchmark_6m,-0.0011910603821811971
rs_benchmark_12m,0.008275550712607993
dd_gap_benchmark,-0.12674041138982717
systemic_crisis_score,0.13645229679953494
carry_unwind_stress_score,0.13579226486380647
war_oil_rate_shock_score,0.2006849678404067
defensive_rotation_score,0.20132620324268924
growth_reentry_score,0.3740042941791722
live_event_risk_score,0.16666666666666666
live_event_systemic_score,0.1456100187702816
live_event_war_oil_rate_score,0.1365449794978875
live_event_defensive_score,0.15796974611257167
live_event_growth_reentry_score,0.3466033207844071
actual_report_age_days_latest,44.0
actual_report_age_days,56.0
actual_priority_weight,0.6266666666666667
proxy_fallback_weight,0.53
actual_results_score,0.05932788510177352
fundamental_pillar_score,0.053706204477192473
technical_pillar_score,0.010411199783733994
event_revision_pillar_score,0.02716854158922638
macro_pillar_score,-4.334432373434005e-05
compounder_pillar_score,0.029994098928875012
multidimensional_breadth_score,0.5
multidimensional_confirmation_score,0.39285714285714285
rs_industry_1m,0.0
rs_industry_3m,0.0
rs_industry_6m,0.0
rs_industry_12m,0.0
rs_industry_group_1m,0.0
rs_industry_group_3m,0.0
rs_industry_group_6m,-0.005900799349754113
rs_industry_group_12m,-0.021135922378475225
oneil_leadership_score,0.000559994680536826
ni_loss_narrowing_4q,0.0
