variant_id,status,cagr,max_dd,sharpe,trade_count,avg_cash_weight,target_distance,valid_for_production,bull_variant,neutral_variant,bear_variant,neutral_multiplier,bear_multiplier,reason
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.33_rrs_heavy_N4_cap0.33_bm1.0_nm0.9,completed,0.1801321758608596,-0.25903849656353894,0.7195747957190397,423,0.05406632762389525,0.22890632070267933,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.33,rs_heavy_N4_cap0.33,0.9,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.33_rrs_heavy_N4_cap0.33_bm1.0_nm1.0,completed,0.1914905502019204,-0.2759012805891504,0.7373564254016252,421,0.004604860367103728,0.23441073038723,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.33,rs_heavy_N4_cap0.33,1.0,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.25_rrs_heavy_N4_cap0.33_bm1.0_nm1.0,completed,0.16328094407707883,-0.2543005425040451,0.6861783395919554,422,0.12460736271492341,0.24101959842696627,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.25,rs_heavy_N4_cap0.33,1.0,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.33_rrs_heavy_N2_cap0.4_bm1.0_nm1.0,completed,0.17779802101057474,-0.27323501214506285,0.71137815245317,365,0.04898159630976083,0.2454369911344881,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.33,rs_heavy_N2_cap0.4,1.0,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.25_rrs_heavy_N4_cap0.33_bm1.0_nm0.9,completed,0.15394593058369566,-0.25180638082486073,0.6635564715015858,422,0.16207659279534956,0.24786045024116507,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.25,rs_heavy_N4_cap0.33,0.9,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.33_rrs_heavy_N2_cap0.4_bm1.0_nm0.9,completed,0.1661874973498103,-0.268175281532125,0.6917205596456062,365,0.09852708055247074,0.2519877841823147,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.33,rs_heavy_N2_cap0.4,0.9,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.33_rrs_heavy_N3_cap0.25_bm1.0_nm0.9,completed,0.15876827195620424,-0.27148424796623116,0.6697896014111008,394,0.10966145301824141,0.26271597601002694,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.33,rs_heavy_N3_cap0.25,0.9,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N2_cap0.4_rrs_heavy_N4_cap0.33_bm1.0_nm0.9,completed,0.1700571009672034,-0.2828262596592177,0.7038203789267952,345,0.13935379430850495,0.26276915869201434,True,rs_heavy_N2_cap0.5,rs_heavy_N2_cap0.4,rs_heavy_N4_cap0.33,0.9,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.25_rrs_heavy_N2_cap0.4_bm0.75_nm1.0,completed,0.13926983904843437,-0.2529487800575042,0.6476551590880597,364,0.2139063957534921,0.26367894100906986,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.25,rs_heavy_N2_cap0.4,1.0,0.75,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.25_rrs_heavy_N2_cap0.4_bm1.0_nm1.0,completed,0.14952059508232685,-0.26324863395109677,0.6570881373106559,365,0.1691189631188056,0.26372803886876994,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.25,rs_heavy_N2_cap0.4,1.0,1.0,
