rebalance_date,market_style_regime_label,style_breakout_preference,style_turnaround_preference,style_quality_compounder_preference,style_cash_defense_preference,style_liquidity_tailwind_score,style_rate_pressure_score,style_inflation_pressure_score,style_overheat_risk_score,n_candidates,top_breakout,top_turnaround,top_compounder
2020-10-30,quality_compounder,0.1405070546320745,0.2766393977238646,0.7006961949449231,0.5006181404637859,0.3494206420442401,0.4205676510631398,0.3080162640637691,0.4020156665034979,473,"PEN,EXR,PAYX,DLB,ALGN","NRG,AEP,CNP,EIX,CHH","MU,LOW,FDS,TREX,AFG"
2020-11-30,balanced,0.4004988659194037,0.3861726970530751,0.3477633037523031,0.0041857676224289,0.5267297796587416,0.0874209306449348,0.1748418612898696,0.1479107402473806,479,"QRVO,CRUS,LRCX,DLB,ADI","TECH,MRNA,HALO,CW,CORT","MU,QCOM,GEN,FDS,APPF"
2020-12-31,balanced,0.2843911450807159,0.2033146527389945,0.35050672427217283,0.0660748077433244,0.1924878071870906,0.0,0.0,0.1672049231530594,475,"DLB,MDT,EXP,AVGO,ADI","ORCL,CIEN,ZBRA,LNG,GEN","MU,QCOM,GEN,FDS,APPF"
2021-01-29,quality_compounder,0.2103920359300956,0.236664344376193,0.6239999857813049,0.5230991580715401,0.5766563454663534,0.4100866439948469,0.3187793343787514,0.462853869816186,484,"SWKS,UI,MSFT,EA,SMG","TECH,MRNA,HALO,AXON,LNG","QCOM,GEN,APPF,FDS,CIEN"
2021-02-26,quality_compounder,0.1247534343272177,0.2520416373156918,0.8266440296613244,0.4960407329201503,0.2936650461629808,0.75,0.6,0.5184968578053071,503,"EXR,ZBRA,LSCC,COO,TROW","CDW,XYZ,ORCL,AKAM,CPAY","LPX,TROW,TER,MAS,WAT"
2021-03-31,balanced,0.1992016372602455,0.2738711944082843,0.4294577582372613,0.0258942340252467,0.2287938014202369,0.5567074745969378,0.232446245069386,0.2622182267191881,525,"AMAT,SMG,CSCO,NSC,IRM","RS,AMGN,STLD,SCCO,GILD","LPX,TROW,TER,MSA,DLTR"
2021-04-30,balanced,0.3344097039039918,0.24697206976392028,0.423674331248742,0.0485393478658381,0.1980731437784547,0.264663746926994,0.4649060016195358,0.2239904787698702,544,"AON,POOL,EXR,CCI,YUM","RS,STLD,RGLD,SCCO,NEM","LPX,TER,RH,DLTR,WAT"
2021-05-28,balanced,0.2219479127493125,0.2308966290012174,0.4183633040858954,0.1154317850775241,0.1799911732207948,0.25,0.4,0.2198939169484392,548,"NVDA,AMT,GEN,CARR,EXR","SFM,TGT,PEG,BJ,EVRG","LOW,RH,UTHR,IDXX,SEIC"
2021-06-30,balanced,0.345731789120159,0.1889613198309599,0.3444224062951717,0.06119897052949471,0.1478053475508485,0.0651405483404735,0.1042248773447576,0.1700121455399488,559,"TROW,ROP,GMED,NVDA,ADBE","NOW,ZM,MRNA,UTHR,NBIX","LOW,UTHR,IDXX,SEIC,MA"
2021-07-30,balanced,0.2477998248369035,0.2768039093347437,0.3681705299525489,0.116442150485803,0.3742715995496162,0.0459905664974466,0.0735849063959146,0.1770240531831435,556,"CARR,ENPH,OTIS,EW,RGEN","MRNA,UTHR,JBL,ZM,SCI","MA,LOW,UTHR,CROX,MCO"
2021-08-31,balanced,0.3142579778786538,0.2827852005185902,0.3617784236440172,0.0125287134173563,0.2342675387245436,0.1609040017067453,0.0565059838576099,0.1651736784630306,547,"GOOGL,TROW,RGEN,EXR,VRSK","JD,GOOG,GOOGL,BIIB,NVDA","MA,UTHR,TREX,LRCX,IDXX"
2021-09-30,quality_compounder,0.1025332140855111,0.2440067368705725,0.753309981317902,0.5276640010430673,0.139413949487199,0.4235483447136223,0.3070966894272446,0.3900047565963063,564,"LSCC,RGEN,VRSK,FND,MSCI","NVDA,LRCX,WAL,BPOP,FITB","CPRT,TW,RH,MA,TREX"
2021-10-29,balanced,0.3563424436841199,0.3402100224358869,0.3372572587190481,0.0213092578749627,0.2958915632728233,0.0491665701319001,0.0169522264967545,0.1089620777451925,573,"MSFT,NVDA,INTU,FDS,LSCC","CPRT,ALB,DLB,CTAS,OLN","CPRT,RH,UTHR,FDS,TREX"
2021-11-30,quality_compounder,0.1911260667789704,0.2464120274979787,0.6319956521476126,0.5009153711274393,0.2512503243624452,0.25,0.4,0.3304400676998064,572,"FDS,INTU,LRCX,AAPL,QCOM","NFG,LNG,SAIA,ZTO,ALB","RH,HLI,FDS,CORT,MA"
2021-12-31,quality_compounder,0.2503624170814902,0.3385648743288879,0.5431114327807585,0.0795389418594488,0.1146388923718756,0.4387391452258147,0.613555085292722,0.1891575978839755,583,"SBAC,STE,LRCX,CSCO,FDS","FCX,MP,ORLY,RGLD,RS","COO,HLI,FDS,MA,CORT"
2022-01-31,quality_compounder,0.0916972943081642,0.3473727158539436,0.8442388454984036,0.5209375540724701,0.1885936688912949,0.6787028476703659,0.6162428232587814,0.4182233720035356,574,"MA,FICO,ATO,MKC,V","V,MA,MP,FCX,RGLD","COO,HLI,MA,FDS,NOC"
