rank,ticker,target_weight,main_v2_sleeves,main_v2_score,regime_state,row_type
1,NVDA,0.15,core,2.3212548306088236,neutral,equity
2,ZTO,0.15,early,0.6406384939872403,neutral,equity
3,UI,0.1342000473025111,"core,future",1.8269621728701368,neutral,equity
4,MRVL,0.12958545626514587,future,1.7314508927289076,neutral,equity
5,CIEN,0.0792867827853689,future,1.6196314356687251,neutral,equity
6,FTI,0.06028434290580051,future,1.5682143677696807,neutral,equity
7,VRT,0.05004782239591677,future,1.5371006089892039,neutral,equity
8,WDC,0.049077973845842705,future,1.5339939173481372,neutral,equity
9,GLW,0.03689821118678864,future,1.4919957946049056,neutral,equity
10,LITE,0.030724531586306433,future,1.4680276746337115,neutral,equity
11,CW,0.029251794007907818,core,1.878514306536041,neutral,equity
12,AAPL,0.02243997467927387,core,1.8410797677111208,neutral,equity
13,CASH,0.07820306303913738,cash,0.0,neutral,cash
