rebalance_date,net_return,equity,drawdown
2020-02-28,-0.08056866821372713,1.648410790155413,-0.11128889686716359
2018-11-30,-0.07687755252764103,1.2600207632229494,-0.11031145063618897
2022-03-31,-0.07633942057084557,5.35683573634064,-0.11297523537500587
2023-08-31,-0.05861259305931209,7.703955959760227,-0.0586125930593121
2024-03-28,-0.057663713330940745,10.471386854612527,-0.05766371333094078
2018-09-28,-0.05405089783547239,1.3396997303513842,-0.054050897835472345
2022-05-31,-0.05386759083259935,5.147396105803468,-0.14765580952815127
2017-10-31,-0.0476620106934792,1.1264788544577888,-0.047662010693479195
2022-11-30,-0.0449832677977972,5.841266542324533,-0.044983267797797155
2024-11-29,-0.03682538113954048,13.483877295898928,-0.03682538113954048
