hard_stop,target_n,weighting_mode,active_rebalance_interval_months,cost_bps,cagr,sharpe,max_dd,calmar,ending_equity,months,target_cagr,target_max_dd,target_pass,rank_score
-0.08,2,winner_take_all,1,25.0,0.4931096904569401,1.6212676427819341,-0.1786999814479735,2.759427765248557,16.0005295358177,83,0.5,-0.18,False,5.68463361159737
-0.1,2,winner_take_all,1,25.0,0.4931096904569401,1.6212676427819341,-0.1786999814479735,2.759427765248557,16.0005295358177,83,0.5,-0.18,False,5.68463361159737
-0.12,2,winner_take_all,1,25.0,0.4931096904569401,1.6212676427819341,-0.1786999814479735,2.759427765248557,16.0005295358177,83,0.5,-0.18,False,5.68463361159737
-0.08,2,score_power,1,25.0,0.4931096904569401,1.6212676427819341,-0.1786999814479735,2.759427765248557,16.0005295358177,83,0.5,-0.18,False,5.68463361159737
-0.1,2,score_power,1,25.0,0.4931096904569401,1.6212676427819341,-0.1786999814479735,2.759427765248557,16.0005295358177,83,0.5,-0.18,False,5.68463361159737
-0.12,2,score_power,1,25.0,0.4931096904569401,1.6212676427819341,-0.1786999814479735,2.759427765248557,16.0005295358177,83,0.5,-0.18,False,5.68463361159737
-0.08,2,conviction_curve,1,25.0,0.49310969045693986,1.6212676427819341,-0.1786999814479736,2.759427765248554,16.000529535817698,83,0.5,-0.18,False,5.684633611597346
-0.1,2,conviction_curve,1,25.0,0.49310969045693986,1.6212676427819341,-0.1786999814479736,2.759427765248554,16.000529535817698,83,0.5,-0.18,False,5.684633611597346
-0.12,2,conviction_curve,1,25.0,0.49310969045693986,1.6212676427819341,-0.1786999814479736,2.759427765248554,16.000529535817698,83,0.5,-0.18,False,5.684633611597346
-0.08,3,score_power,1,25.0,0.48664017776524404,1.7578067668428823,-0.16228191302279515,2.998733307370412,15.527107932901384,83,0.5,-0.18,False,5.125944407996931
-0.1,3,score_power,1,25.0,0.48664017776524404,1.7578067668428823,-0.16228191302279515,2.998733307370412,15.527107932901384,83,0.5,-0.18,False,5.125944407996931
-0.12,3,score_power,1,25.0,0.48664017776524404,1.7578067668428823,-0.16228191302279515,2.998733307370412,15.527107932901384,83,0.5,-0.18,False,5.125944407996931
-0.08,3,conviction_curve,1,25.0,0.4758972857264643,1.759831682907801,-0.1816559307671608,2.61977290648688,14.767430212994254,83,0.5,-0.18,False,3.7612841053356303
-0.1,3,conviction_curve,1,25.0,0.4758972857264643,1.759831682907801,-0.1816559307671608,2.61977290648688,14.767430212994254,83,0.5,-0.18,False,3.7612841053356303
-0.12,3,conviction_curve,1,25.0,0.4758972857264643,1.759831682907801,-0.1816559307671608,2.61977290648688,14.767430212994254,83,0.5,-0.18,False,3.7612841053356303
-0.08,3,winner_take_all,1,25.0,0.4751270379314454,1.7537046959876386,-0.18327613975836243,2.5924107663870988,14.714206441193094,83,0.5,-0.18,False,3.506788752852025
-0.1,3,winner_take_all,1,25.0,0.4751270379314454,1.7537046959876386,-0.18327613975836243,2.5924107663870988,14.714206441193094,83,0.5,-0.18,False,3.506788752852025
-0.12,3,winner_take_all,1,25.0,0.4751270379314454,1.7537046959876386,-0.18327613975836243,2.5924107663870988,14.714206441193094,83,0.5,-0.18,False,3.506788752852025
-0.08,4,score_power,1,25.0,0.46107907807572124,1.8234919621150343,-0.11950725590819533,3.858168063284116,13.771880425033212,83,0.5,-0.18,False,2.422683294536175
-0.1,4,score_power,1,25.0,0.46107907807572124,1.8234919621150343,-0.11950725590819533,3.858168063284116,13.771880425033212,83,0.5,-0.18,False,2.422683294536175
-0.12,4,score_power,1,25.0,0.46107907807572124,1.8234919621150343,-0.11950725590819533,3.858168063284116,13.771880425033212,83,0.5,-0.18,False,2.422683294536175
-0.08,4,conviction_curve,1,25.0,0.4581386136144201,1.8288591619904304,-0.11967453237968662,3.8282047525441922,13.581313527373648,83,0.5,-0.18,False,2.1044321271969544
-0.1,4,conviction_curve,1,25.0,0.4581386136144201,1.8288591619904304,-0.11967453237968662,3.8282047525441922,13.581313527373648,83,0.5,-0.18,False,2.1044321271969544
-0.12,4,conviction_curve,1,25.0,0.4581386136144201,1.8288591619904304,-0.11967453237968662,3.8282047525441922,13.581313527373648,83,0.5,-0.18,False,2.1044321271969544
-0.08,3,score_power,1,50.0,0.4593228979969153,1.6815525349672664,-0.18209701914419818,2.5224075613955477,13.657792040977613,83,0.5,-0.18,False,1.8152723810639302
