rebalance_date,regime_label,rebalance_action,reported_cash_weight,period_end_cash_weight,book_explicit_cash_weight,book_stock_weight_sum,book_total_weight_sum,reported_vs_book_cash_gap,cash_target_used,target_defense_cash,excess_cash_over_target,possible_idle_cash,drawdown_or_risk_defense,confirmed_macro_defense,event_shock_without_confirmation,partial_rebalance,stock_count,target_n,drawdown_before_month,drawdown_after_month,next_rebalance_date,primary_cash_reason
2019-04-30,balanced,initial_rebalance,0.0,0.1767721292506969,0.0,0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,0.0,False,False,False,False,False,18,18.0,0.0,-0.013408145220544,2019-05-31,no_cash
2019-05-31,risk_off_alert,"partial_rebalance:core_compounder,early_scout",0.28,0.3007957717904378,0.28,0.7199999999999991,0.9999999999999991,0.0,0.28,0.28,0.0,False,True,True,False,True,18,18.0,-0.013408145220544,0.0,2019-06-28,confirmed_macro_defense_cash
2019-06-28,balanced,rebalance,0.0,0.0320582421999168,0.0,0.999999999999999,0.999999999999999,0.0,0.0,0.0,0.0,False,False,False,False,False,26,18.0,0.0,0.0,2019-07-31,no_cash
2019-07-31,balanced,"partial_rebalance:core_compounder,early_scout",0.0,0.0,0.0,0.999999999999999,0.999999999999999,0.0,0.0,0.0,0.0,False,False,False,False,True,18,18.0,0.0,0.0,2019-08-30,no_cash
2019-08-30,balanced,rebalance,0.0,0.0483432476234341,0.0,0.9999999999999994,0.9999999999999994,0.0,0.0,0.0,0.0,False,False,False,False,False,18,18.0,0.0,0.0,2019-09-30,no_cash
2019-09-30,balanced,"partial_rebalance:core_compounder,early_scout",0.0,0.0,0.0,0.9999999999999992,0.9999999999999992,0.0,0.0,0.0,0.0,False,False,False,False,True,18,18.0,0.0,0.0,2019-10-31,no_cash
2019-10-31,growth_reentry_alert,rebalance,0.0,0.0384882088639682,0.0,0.9999999999999988,0.9999999999999988,0.0,0.0,0.0,0.0,False,False,False,False,False,31,20.0,0.0,0.0,2019-11-29,no_cash
2019-11-29,balanced,"partial_rebalance:core_compounder,early_scout",0.0,0.0402105948087484,0.0,0.9999999999999981,0.9999999999999981,0.0,0.0,0.0,0.0,False,False,False,False,True,38,20.0,0.0,0.0,2019-12-31,no_cash
2019-12-31,balanced,rebalance,0.0,0.0,0.0,0.9999999999999992,0.9999999999999992,0.0,0.0,0.0,0.0,False,False,False,False,False,18,18.0,0.0,0.0,2020-01-31,no_cash
2020-01-31,balanced,"partial_rebalance:core_compounder,early_scout",0.0,0.3583524919736185,0.0,0.9999999999999994,0.9999999999999994,0.0,0.0,0.0,0.0,False,False,False,False,True,18,18.0,0.0,-0.0152386775858672,2020-02-28,no_cash
2020-02-28,risk_off_alert,rebalance,0.28,0.8516744284347131,0.28,0.7199999999999994,0.9999999999999994,0.0,0.28,0.28,0.0,False,True,True,False,False,18,18.0,-0.0152386775858672,-0.0721546745933488,2020-03-31,confirmed_macro_defense_cash
2020-03-31,systemic_alert,"partial_rebalance:core_compounder,early_scout",0.4,0.3573691946775003,0.4,0.5999999999999992,0.9999999999999992,0.0,0.4,0.4,0.0,False,True,True,False,True,18,18.0,-0.0721546745933488,0.0,2020-04-30,confirmed_macro_defense_cash
2020-04-30,balanced,rebalance,0.0,0.0,0.0,0.9999999999999991,0.9999999999999991,0.0,0.0,0.0,0.0,False,False,False,False,False,28,18.0,0.0,0.0,2020-05-29,no_cash
2020-05-29,balanced,"partial_rebalance:core_compounder,early_scout",0.0059110385321276,0.0056583249997136,0.0059110385321276,0.9940889614678717,0.9999999999999993,0.0,0.0,0.0,0.0059110385321276,False,False,False,False,True,18,18.0,0.0,0.0,2020-06-30,partial_rebalance_leftover
2020-06-30,balanced,rebalance,0.0149643596343234,0.0137464957698853,0.0149643596343234,0.9850356403656759,0.9999999999999993,0.0,0.0,0.0,0.0149643596343234,False,False,False,False,False,18,18.0,0.0,0.0,2020-07-31,cap_limited_leftover
2020-07-31,balanced,"partial_rebalance:core_compounder,early_scout",0.0,0.0729389146350262,0.0,0.9999999999999991,0.9999999999999991,0.0,0.0,0.0,0.0,False,False,False,False,True,18,18.0,0.0,0.0,2020-08-31,no_cash
2020-08-31,balanced,rebalance,0.0,0.1648123486979803,0.0,0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,0.0,False,False,False,False,False,17,18.0,0.0,-0.0252581572453993,2020-09-30,no_cash
2020-09-30,balanced,"partial_rebalance:core_compounder,early_scout",0.0,0.1716612426817772,0.0,0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,0.0,False,False,False,False,True,18,18.0,-0.0252581572453993,-0.0324715404579084,2020-10-30,no_cash
2020-10-30,risk_off_alert,rebalance,0.28,0.3314843369836346,0.28,0.7199999999999993,0.9999999999999993,0.0,0.28,0.28,0.0,False,True,True,False,False,17,18.0,-0.0324715404579084,0.0,2020-11-30,confirmed_macro_defense_cash
2020-11-30,growth_reentry_alert,"partial_rebalance:core_compounder,early_scout",0.0,0.0,0.0,0.9999999999999988,0.9999999999999988,0.0,0.0,0.0,0.0,False,False,False,False,True,26,18.0,0.0,0.0,2020-12-31,no_cash
2020-12-31,balanced,rebalance,0.0,0.1935557999261509,0.0,0.9999999999999992,0.9999999999999992,0.0,0.0,0.0,0.0,False,False,False,False,False,17,18.0,0.0,-0.0100003368167828,2021-01-29,no_cash
2021-01-29,risk_off_alert,"partial_rebalance:core_compounder,early_scout",0.28,0.4673478026056074,0.28,0.7199999999999992,0.9999999999999992,0.0,0.28,0.28,0.0,False,True,True,False,True,17,18.0,-0.0100003368167828,0.0,2021-02-26,confirmed_macro_defense_cash
2021-02-26,risk_off_alert,rebalance,0.2799999999999999,0.4449791337718921,0.2799999999999999,0.7199999999999992,0.9999999999999991,0.0,0.28,0.2799999999999999,0.0,False,True,True,False,False,17,18.0,0.0,-0.0107583745937266,2021-03-31,confirmed_macro_defense_cash
2021-03-31,growth_reentry_alert,"partial_rebalance:core_compounder,early_scout",0.0,0.2989524967636655,0.0,0.9999999999999987,0.9999999999999987,0.0,0.0,0.0,0.0,False,False,False,False,True,26,18.0,-0.0107583745937266,0.0,2021-04-30,no_cash
2021-04-30,balanced,rebalance,0.0,0.0562583912982481,0.0,0.9999999999999987,0.9999999999999987,0.0,0.0,0.0,0.0,False,False,False,False,False,30,21.0,0.0,0.0,2021-05-28,no_cash
2021-05-28,balanced,"partial_rebalance:core_compounder,early_scout",0.0,0.1034744235103398,0.0,0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,0.0,False,False,False,False,True,17,18.0,0.0,0.0,2021-06-30,no_cash
2021-06-30,balanced,rebalance,0.0,0.12997705666172,0.0,0.9999999999999988,0.9999999999999988,0.0,0.0,0.0,0.0,False,False,False,False,False,25,18.0,0.0,0.0,2021-07-30,no_cash
