as_of_date,snapshot_semantics,portfolio_kind,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,cost_basis,unrealized_pnl_usd,realized_pnl_usd,first_entry_date,latest_entry_date,holding_days,open_lot_count,open_lot_quantity,avg_entry_price,entry_reasons,entry_sleeves,target_portfolio_weight,target_combined_weight,delta_portfolio_weight,preview_action,review_action,review_reason,review_quantity_delta,review_trade_value_delta_usd,review_order_count,review_order_status,monster_recommendation,monster_stage,monster_priority_score,monster_reason,entry_monster_early_score_max,entry_stale_mega_leader_score_max,entry_risk_entry_block_score_max,account_source,approval_status,risk_state,combined_current_cash_weight,combined_target_cash_weight,combined_cash_gap_weight,macro_recommended_cash_floor,macro_cash_raise_gate,macro_cash_raise_confirmation_count,cash_policy_flag
2026-06-18,current_broker_ledger_mark_to_market,concentrated,equity,SNDK,227.0,2184.75,495938.25,0.3843085291265034,1119.450046085576,241823.08953857425,5897.287351074218,2026-03-02,2026-05-01,108,2,227.0,1119.450046085576,target_rebalance,"future_winner,unassigned",0.285,0.22288802906797345,-0.0993085291265034,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-58.0,-126715.5,1,ready,,,0.0,,0.6218788055761281,0.0,0.3333333333333333,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,
2026-06-18,current_broker_ledger_mark_to_market,concentrated,equity,BE,927.0,328.9100036621094,304899.5733947754,0.2362703553973594,290.5199890136719,35587.54357910156,0.0,2026-05-01,2026-05-01,48,1,927.0,290.5199890136719,target_rebalance,future_winner,0.285,0.17771568657195413,0.048729644602640565,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,191.0,62821.81069946289,1,ready,,,0.0,,0.4967421090537263,0.0,0.3333333333333333,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,
2026-06-18,current_broker_ledger_mark_to_market,concentrated,equity,WDC,362.0,746.22998046875,270135.2529296875,0.2093310643384013,393.8560785433973,127559.35249697768,107262.5611451045,2026-02-02,2026-05-01,136,2,362.0,404.2141112438223,target_rebalance,future_winner,0.165584707077611,0.14472182018585317,-0.04374635726079029,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-75.0,-55967.24853515625,1,ready,,,0.0,,0.5684355337047516,0.0,0.3333333333333333,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,
2026-06-18,current_broker_ledger_mark_to_market,concentrated,equity,CIEN,213.0,428.2200012207031,91210.86026000977,0.0706803952848714,439.561390192674,-2415.715851029803,78340.21142552322,2026-03-02,2026-05-01,108,2,213.0,471.3604121678312,target_rebalance,future_winner,0.1211413625731833,0.11042271325013679,0.0504609672883119,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,152.0,65089.44018554688,1,ready,,,0.0,,0.617061506509996,0.0,0.2416666666666667,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,
2026-06-18,current_broker_ledger_mark_to_market,concentrated,equity,LITE,64.0,850.0,54400.0,0.0421552158650432,548.3013530975077,19308.71340175951,257030.06481990492,2026-02-02,2026-05-01,136,2,64.0,645.5414109230042,target_rebalance,"future_winner,unassigned",0.0647739303492055,0.06427384827855517,0.022618714484162306,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,34.0,28900.0,1,ready,,,0.0,,0.5903633063031878,0.0,0.3333333333333333,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,
2026-06-18,current_broker_ledger_mark_to_market,concentrated,cash,CASH,0.0,1.0,73885.08091878268,0.0572544399878211,1.0,0.0,0.0,,,,0,0.0,0.0,,,0.0,0.1211988444817284,,RESERVE_CASH,RESERVE_CASH,Combined cash is below target under macro gate `none`.,0.0,0.0,0,,,,0.0,,0.0,0.0,0.0,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,below_combined_cash_target
2026-06-18,current_broker_ledger_mark_to_market,main,equity,SNDK,43.0,2184.75,93944.25,0.1205902398344272,763.4664534229344,61115.19250281382,24163.427652215472,2026-03-02,2026-05-01,108,2,43.0,817.1916390352471,target_rebalance,"future_winner,unassigned",0.12,0.22288802906797345,-0.0005902398344272003,HOLD,HOLD,No preview order or no material target gap.,0.0,0.0,0,,,,0.0,,0.6218788055761281,0.0,0.3333333333333333,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,
2026-06-18,current_broker_ledger_mark_to_market,main,equity,WDC,116.0,746.22998046875,86562.677734375,0.1111149864807959,337.059477295969,47463.7783680426,43979.36538485656,2026-02-02,2026-05-01,136,2,116.0,398.019121893521,target_rebalance,future_winner,0.1101625994631662,0.14472182018585317,-0.0009523870176297022,HOLD,HOLD,No preview order or no material target gap.,0.0,0.0,0,,,,0.0,,0.5684355337047516,0.0,0.3333333333333333,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,
2026-06-18,current_broker_ledger_mark_to_market,main,equity,STM,1049.0,78.38999938964844,82231.10935974121,0.1055548285237489,55.75,23749.35935974121,2400.7985619640344,2026-05-01,2026-05-01,48,1,1049.0,55.75,target_rebalance,early_scout,0.1054857037733562,0.03970863616069735,-6.912475039269617e-05,HOLD,HOLD,No preview order or no material target gap.,0.0,0.0,0,,,,0.0,,0.5536243508334536,0.0,0.325,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,
2026-06-18,current_broker_ledger_mark_to_market,main,equity,CIEN,168.0,428.2200012207031,71940.96020507812,0.0923460205925253,402.5450711275545,4313.38825564897,22921.3564749571,2026-03-02,2026-06-18,108,3,168.0,417.57678658621654,target_rebalance,"future_winner,unknown",0.0926673484376771,0.11042271325013679,0.0003213278451518059,HOLD,HOLD,No preview order or no material target gap.,0.0,0.0,0,,,,0.0,,0.617061506509996,0.0,0.2416666666666667,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,
2026-06-18,current_broker_ledger_mark_to_market,main,equity,MRVL,214.0,310.5799865722656,66464.11712646484,0.0853157465695224,164.9499969482422,31164.817779541016,11499.85028213501,2026-05-01,2026-05-01,48,1,214.0,164.9499969482422,target_rebalance,future_winner,0.0851957691151814,0.03207077051402298,-0.0001199774543410026,HOLD,HOLD,No preview order or no material target gap.,0.0,0.0,0,,,,0.0,,0.6253640185640638,0.0,0.2416666666666667,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,
2026-06-18,current_broker_ledger_mark_to_market,main,equity,LITE,58.0,850.0,49300.0,0.0632832645301576,498.4315695774017,20390.9689645107,60832.50203988002,2026-02-02,2026-06-18,136,3,58.0,599.4727662185143,target_rebalance,"future_winner,unassigned,unknown",0.0634454659578951,0.06427384827855517,0.0001622014277374989,HOLD,HOLD,No preview order or no material target gap.,0.0,0.0,0,,,,0.0,,0.5903633063031878,0.0,0.3333333333333333,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,
2026-06-18,current_broker_ledger_mark_to_market,main,equity,ON,361.0,121.62000274658205,43904.82099151611,0.0563578174635969,105.03833715803404,5985.98127746582,440.96551027297954,2026-05-01,2026-06-18,48,2,361.0,105.03833715803405,target_rebalance,"future_winner,unknown",0.0564119034408005,0.02123548185900175,5.4085977203598146e-05,HOLD,HOLD,No preview order or no material target gap.,0.0,0.0,0,,,,0.0,,0.5970161957356914,0.0,0.4583333333333333,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,
2026-06-18,current_broker_ledger_mark_to_market,main,equity,PWR,58.0,702.25,40730.5,0.0522831441368272,730.4976017392914,-1638.3609008789062,947.7120635414124,2026-05-01,2026-06-18,48,2,58.0,730.4976017392914,target_rebalance,"future_winner,unknown",0.0527207485074118,0.019845997568527535,0.0004376043705845989,HOLD,HOLD,No preview order or no material target gap.,0.0,0.0,0,,,,0.0,,0.5299240549065717,0.0,0.2416666666666667,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,
2026-06-18,current_broker_ledger_mark_to_market,main,equity,MU,23.0,1133.989990234375,26081.769775390625,0.0334795037750652,470.2160957551985,15266.79957302106,27121.028719310634,2026-05-01,2026-05-01,48,1,23.0,542.2100219726562,target_rebalance,future_winner,0.0320349841684777,0.012059127305941924,-0.0014445196065875007,HOLD,HOLD,No preview order or no material target gap.,0.0,0.0,0,,,,0.0,,0.600953795187578,0.0,0.2416666666666667,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,
2026-06-18,current_broker_ledger_mark_to_market,main,equity,FIX,12.0,1931.77001953125,23181.240234375,0.0297562790646873,1866.2886962890625,785.77587890625,0.0,2026-05-01,2026-05-01,48,1,12.0,1866.2886962890625,target_rebalance,future_winner,0.0396220611661259,0.014915177644953875,0.009865782101438597,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,3.0,5795.31005859375,1,ready,,,0.0,,0.5585411728376259,0.0,0.2416666666666667,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,
2026-06-18,current_broker_ledger_mark_to_market,main,equity,COHR,50.0,389.5700073242188,19478.500366210938,0.0250033081404807,290.0401208496094,4976.494323730467,6853.306067543031,2025-12-01,2026-06-18,199,4,50.0,307.3726013183594,target_rebalance,"future_winner,unassigned,unknown",0.0254754447010883,0.009589879277299672,0.0004721365606076,HOLD,HOLD,No preview order or no material target gap.,0.0,0.0,0,,,,0.0,,0.4491572991718355,0.0,0.4166666666666667,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,
2026-06-18,current_broker_ledger_mark_to_market,main,equity,TER,24.0,437.9200134277344,10510.080322265623,0.0134911195388872,212.23284727510728,5416.49198766305,11686.72692438529,2026-01-02,2026-03-02,167,2,24.0,256.6916122436523,target_rebalance,"future_winner,unassigned",0.0135901159004233,0.005115811416787659,9.899636153610017e-05,HOLD,HOLD,No preview order or no material target gap.,0.0,0.0,0,,,,0.0,,0.5222342923711394,0.0,0.325,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,
2026-06-18,current_broker_ledger_mark_to_market,main,equity,KEYS,19.0,350.70001220703125,6663.300231933594,0.008553253371629,313.2699890136719,711.1704406738281,-3614.9098824310304,2026-03-02,2026-03-02,108,1,19.0,313.2699890136719,target_rebalance,future_winner,0.0112586848918166,0.004238176416565813,0.002705431520187599,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,6.0,2104.2000732421875,1,ready,,,0.0,,0.5042553554700467,0.0,0.1083333333333333,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,
2026-06-18,current_broker_ledger_mark_to_market,main,cash,CASH,0.0,1.0,158043.60175717325,0.2028704879776486,1.0,0.0,0.0,,,,0,0.0,0.0,,,0.0,0.1211988444817284,,RESERVE_CASH,RESERVE_CASH,Combined cash is below target under macro gate `none`.,0.0,0.0,0,,,,0.0,,0.0,0.0,0.0,simulated_broker_replay,blocked_by_safety_audit,green,0.11206958992709844,0.1211988444817284,0.009129254554629956,0.03,none,0.0,below_combined_cash_target
